,Player,Rk,Tm,Age,Pos,G,GS,Att,Yds,TD,1D,Lng,Y/A,Y/G,Fmb,Year,Tgt,Rec,Ctch%,Y/R,Y/Tgt,R/G
292,Roy Helu,108.0,WAS,26,RB,48,5,255.0,1132,7,61,17.75,3.75,18.98,6,2014,155.0,129.0,86.58,8.4,7.22,2.62
293,Royce Freeman,64.75,2TM,25,RB,61,8,353.0,1356,8,70,21.5,3.92,22.52,1,2021,99.0,79.0,77.7,6.4,4.92,1.3
294,Rudi Johnson,47.67,CIN,25,RB,36,21,593.0,2478,21,131,39.67,4.13,58.03,4,2004,61.0,42.0,68.3,6.1,4.23,1.13
295,Ryan Mathews,19.5,SDG,26,RB,54,46,849.0,3731,20,166,38.0,4.35,67.93,14,2013,174.0,137.0,79.42,7.38,5.88,2.58
296,Ryan Moats,94.0,HOU,26,RB,24,1,103.0,441,4,23,28.0,3.93,19.57,3,2008,12.0,7.0,42.23,2.17,1.33,0.3
297,Ryan Torain,78.0,WAS,25,RB,20,13,238.0,1011,6,44,37.33,4.17,44.57,3,2011,36.0,24.0,66.7,5.35,3.6,1.3
298,Ryan Williams,74.0,ARI,22,RB,5,3,58.0,164,0,8,25.0,2.8,32.8,2,2012,10.0,7.0,70.0,6.3,4.4,1.4
299,Ryquell Armstead,123.5,JAX,25,RB,18,1,50.0,188,0,8,21.0,4.2,23.4,0,2021,28.0,17.0,66.65,7.8,5.0,1.2
300,Samaje Perine,117.0,CIN,25,RB,44,9,251.0,952,4,42,24.0,3.85,16.3,2,2020,40.0,36.0,86.13,5.33,4.8,0.9
301,Sammy Morris,134.25,BUF,26,RB,53,9,134.0,488,6,37,14.75,3.38,10.25,3,2003,78.0,61.0,78.08,8.85,6.88,1.33
302,Saquon Barkley,45.25,NYG,24,RB,44,44,659.0,2937,19,123,51.25,3.77,55.38,3,2021,260.0,190.0,71.25,8.18,5.83,3.98
303,Shane Vereen,88.0,NWE,25,RB,42,8,217.0,907,7,44,18.75,4.15,20.27,2,2014,159.0,107.0,65.7,12.1,7.83,3.27
304,Shaun Alexander,20.75,SEA,26,RB,64,44,994.0,4241,46,229,62.75,4.4,66.28,13,2003,207.0,150.0,66.72,7.7,5.1,2.35
305,Shonn Greene,23.5,NYJ,27,RB,61,31,822.0,3423,18,163,30.75,4.3,55.5,11,2012,100.0,65.0,50.8,5.6,3.77,1.05
306,Shyrone Stith,120.0,JAX,22,RB,14,0,20.0,55,1,3,12.0,2.8,3.9,1,2000,,,,,,
307,Sony Michel,26.0,LAR,26,RB,55,35,743.0,3137,18,199,36.75,4.5,57.05,4,2021,73.0,47.0,66.25,9.32,6.45,0.82
308,Spencer Ware,99.67,KAN,25,RB,27,16,289.0,1334,9,71,34.33,4.4,35.8,4,2016,48.0,39.0,89.3,7.15,5.7,1.45
309,Stanley Havili,174.0,IND,26,RB,28,10,13.0,29,1,2,6.0,2.35,1.0,0,2013,33.0,25.0,72.0,6.6,4.85,0.95
310,Stepfan Taylor,132.25,ARI,25,RB,61,4,120.0,393,1,25,16.0,3.23,6.62,0,2016,27.0,20.0,65.17,6.7,4.83,0.47
311,Stevan Ridley,34.5,NWE,25,RB,52,25,649.0,2817,22,158,36.5,4.35,54.6,9,2014,36.0,23.0,66.55,6.0,3.85,0.5
312,Steve Slaton,73.0,2TM,25,RB,45,26,442.0,1896,13,93,38.5,4.12,35.4,10,2011,122.0,100.0,78.67,5.42,4.4,1.98
313,Steven Jackson,17.25,STL,24,RB,57,46,971.0,4249,30,197,53.0,4.42,74.2,13,2007,241.0,190.0,78.08,8.35,6.55,3.27
314,Storm Johnson,115.0,JAX,22,RB,6,1,29.0,86,2,5,20.0,3.0,14.3,0,2014,1.0,1.0,100.0,-4.0,-4.0,0.2
315,T.J. Duckett,36.5,ATL,24,RB,55,13,552.0,2175,31,124,37.0,3.98,39.33,7,2005,34.0,29.0,88.03,7.7,6.67,0.53
316,T.J. Yeldon,47.5,JAX,25,RB,51,30,465.0,1872,6,73,34.75,4.22,36.9,5,2018,233.0,171.0,73.88,7.6,5.6,3.3
317,Taiwan Jones,169.33,OAK,25,RB,40,0,27.0,117,0,4,13.33,4.23,3.4,3,2013,8.0,6.0,77.8,15.17,10.7,0.13
318,Tarik Cohen,78.0,CHI,25,RB,51,22,264.0,1101,5,57,28.5,4.35,22.23,13,2020,275.0,209.0,73.83,7.38,5.5,3.65
319,Tashard Choice,63.5,3TM,27,RB,61,4,279.0,1216,9,57,36.0,4.25,19.55,4,2011,104.0,72.0,69.7,7.62,5.33,1.2
320,Tatum Bell,45.5,DET,26,RB,47,19,525.0,2524,14,116,43.0,4.78,51.23,10,2007,87.0,61.0,69.95,7.78,5.45,1.55
321,Terrance West,52.5,BAL,26,RB,43,23,465.0,1816,11,81,26.75,3.77,38.25,7,2017,67.0,51.0,72.55,7.38,5.03,0.95
322,Tevin Coleman,35.5,ATL,25,RB,56,20,528.0,2340,18,102,54.5,4.42,41.15,7,2018,134.0,92.0,59.4,10.07,6.45,1.6
323,Theo Riddick,108.5,DET,25,RB,54,11,164.0,566,2,31,18.5,3.1,12.35,1,2016,224.0,171.0,69.47,7.88,5.53,3.25
324,Thomas Clayton,173.0,2TM,26,RB,3,0,7.0,17,0,0,5.0,2.4,5.7,0,2010,,,,,,
325,Thomas Jones,38.0,TAM,25,RB,55,18,499.0,1891,12,93,42.25,3.75,36.6,13,2003,131.0,97.0,75.3,6.72,5.1,1.82
326,Tim Hightower,41.5,WAS,25,RB,53,41,523.0,2054,24,112,45.5,3.9,43.12,12,2011,187.0,128.0,65.88,7.03,4.62,2.33
327,Toby Gerhart,71.0,MIN,26,RB,61,6,276.0,1305,5,64,37.75,5.05,21.38,7,2013,103.0,77.0,74.25,7.72,5.72,1.25
328,Todd Gurley,5.5,LAR,24,RB,58,57,1042.0,4547,46,240,47.0,4.4,79.2,11,2018,252.0,187.0,75.32,9.68,7.27,3.2
329,Tommy Bohanon,211.33,NYJ,25,RB,36,14,20.0,67,0,5,4.33,2.53,1.6,0,2015,26.0,17.0,72.93,11.77,8.77,0.5
330,Tony Hunt,179.5,PHI,23,RB,14,2,14.0,25,2,7,5.0,1.95,1.75,1,2008,6.0,6.0,100.0,7.0,7.0,1.0
331,Tony Pollard,41.75,DAL,25,RB,62,6,510.0,2616,17,125,50.25,5.08,42.08,3,2022,161.0,121.0,75.17,8.03,6.05,1.95
332,Travis Henry,19.0,BUF,26,RB,54,48,963.0,3849,27,212,35.5,3.85,67.25,23,2004,140.0,103.0,73.95,6.35,4.75,1.82
333,Travis Homer,132.75,SEA,24,RB,49,2,83.0,453,1,19,32.5,5.53,9.22,1,2022,61.0,52.0,85.88,8.75,7.53,1.1
334,Travis Minor,64.0,MIA,25,RB,59,4,253.0,1042,8,56,34.75,4.3,19.07,0,2004,69.0,46.0,68.83,6.07,4.17,1.1
335,Travis Prentice,76.5,MIN,25,RB,30,11,187.0,525,9,33,11.5,1.95,16.45,3,2001,44.0,38.0,93.0,7.6,7.2,1.2
336,Trayveon Williams,167.0,CIN,25,RB,23,0,47.0,238,0,10,27.0,4.8,9.9,1,2022,10.0,8.0,72.23,8.33,6.0,0.33
337,Tre Mason,40.0,STL,22,RB,25,12,254.0,972,5,48,52.0,3.55,39.85,5,2015,51.0,34.0,66.75,7.1,4.6,1.35
338,Trent Richardson,21.0,IND,24,RB,46,37,614.0,2032,17,65,27.0,3.3,44.37,7,2014,156.0,113.0,73.2,8.23,6.0,2.47
339,Trenton Cannon,168.33,2TM,27,RB,42,0,51.0,150,1,9,12.33,2.53,3.27,1,2021,28.0,20.0,84.0,6.9,5.55,0.65
340,Troy Fleming,173.0,TEN,24,RB,16,0,7.0,40,0,2,13.0,5.7,2.5,0,2004,43.0,29.0,67.3,7.75,5.25,1.0
341,Trung Canidate,100.0,WAS,26,RB,46,13,240.0,1095,7,48,27.0,3.67,21.77,5,2003,47.0,32.0,60.15,7.0,4.47,0.65
342,Ty Johnson,84.25,NYJ,25,RB,62,6,208.0,925,4,40,32.5,4.55,15.22,3,2022,131.0,86.0,66.35,7.22,4.67,1.38
343,Tyler Ervin,258.67,2TM,26,RB,26,0,6.0,25,0,2,6.33,5.33,1.43,5,2019,23.0,16.0,70.67,7.0,5.4,0.7
344,Vernand Morency,75.33,GNB,27,RB,39,3,171.0,726,4,12,26.33,4.07,18.2,4,2007,73.0,57.0,77.7,7.4,5.7,1.43
345,Verron Haynes,99.5,PIT,26,RB,53,0,159.0,660,3,39,18.25,4.22,12.35,4,2005,57.0,39.0,63.98,7.4,4.97,0.75
346,Vick Ballard,80.0,IND,23,RB,17,13,224.0,877,2,56,19.0,4.35,56.95,3,2013,29.0,18.0,56.5,1.95,1.55,1.05
347,Wali Lundy,43.0,HOU,23,RB,14,8,124.0,476,4,29,35.0,3.8,34.0,1,2006,39.0,33.0,84.6,6.2,5.2,2.4
348,Wayne Gallman,63.25,NYG,26,RB,53,14,338.0,1444,9,73,28.75,4.05,26.2,6,2020,112.0,80.0,71.38,6.7,4.75,1.5
349,Wendell Smallwood,81.0,WAS,25,RB,52,12,233.0,931,5,57,19.25,3.92,18.5,3,2019,79.0,56.0,66.9,8.1,5.35,1.12
350,William Green,51.5,CLE,26,RB,46,30,568.0,2109,9,102,38.25,3.77,46.03,12,2005,71.0,45.0,64.2,6.03,3.85,0.97
351,Willis McGahee,11.33,BUF,25,RB,46,40,868.0,3365,24,186,41.67,3.87,73.03,9,2006,101.0,68.0,67.03,7.6,5.03,1.5
352,Xavier Omon,187.5,BUF,24,RB,7,0,11.0,27,0,1,4.5,2.6,3.45,0,2009,1.0,0.0,0.0,0.0,0.0,0.0
353,Zac Stacy,62.0,NYJ,24,RB,35,17,357.0,1355,9,65,24.67,3.57,34.37,3,2015,70.0,53.0,75.87,7.0,5.33,1.47
354,Zack Moss,50.33,2TM,25,RB,39,3,301.0,1282,9,70,30.33,4.27,32.87,3,2022,63.0,48.0,78.1,6.3,4.83,1.23
355,Jaylen Samuels,241.0,HOU,25,RB,45,8,,564,4,32,17.0,,11.0,2,2021,104.0,85.0,77.88,6.0,4.78,1.73
356,Luke Stocker,261.67,TAM,26,RB,43,27,,298,1,15,22.67,,6.7,0,2014,55.0,35.0,64.5,7.97,5.07,0.8
