Year,T5APY,PosImp
2011,11163014,.0927
2012,12532365,.1039
2013,13332222,.1079
2014,13332222,.1002 
2015,1469167,.1025
2016,14370042,.0925
2017,15390242,.0922
2018,16780000,.0947
2019,18750000,.0996
2020,21705000,.1095
2021,20905000,.1145
2022,27390000,.1066
