,Player,Rk,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Lng,Y/Tgt,R/G,Y/G,Fmb,Year
47,Chris Herndon,268.5,MIN,25,TE,49,30,110,75,61.4,836,9.8,8,46,20.5,6.15,1.4,14.7,4,2021
48,Chris Luzar,364.5,JAX,24,TE,23,1,6,4,62.5,35,7.5,0,1,13.0,5.0,0.2,1.55,0,2003
49,Clay Harbor,210.0,JAX,26,TE,55,25,108,71,65.28,713,10.03,6,35,25.25,6.62,1.27,12.45,3,2013
50,Clive Walford,196.33,OAK,26,TE,44,10,115,70,62.9,768,10.53,6,41,30.0,6.57,1.57,16.9,0,2017
51,Coby Fleener,88.0,IND,27,TE,60,45,311,183,58.42,2154,11.7,17,109,50.0,6.78,3.02,35.12,1,2015
52,Colby Parkinson,319.33,SEA,23,TE,37,3,44,32,78.67,371,9.17,2,18,20.33,7.2,0.73,8.0,0,2022
53,Cole Kmet,97.33,CHI,23,TE,50,43,206,138,66.87,1399,9.93,9,68,37.67,6.67,2.73,27.73,2,2022
54,Courtney Anderson,172.67,OAK,26,TE,39,28,112,62,56.67,763,12.5,6,38,33.0,7.07,1.57,19.6,2,2006
55,Craig Stevens,359.5,TEN,27,TE,58,28,40,21,40.52,297,9.62,3,12,23.75,5.42,0.35,4.95,0,2011
56,Crockett Gillmore,229.33,BAL,25,TE,32,16,76,51,64.67,604,11.17,6,30,30.0,7.33,1.7,19.8,0,2016
57,D.J. Williams,396.33,2TM,25,TE,35,3,22,9,32.23,70,4.87,0,3,6.33,2.37,0.23,1.8,0,2013
58,Dallas Clark,122.25,IND,27,TE,52,49,190,121,64.22,1618,13.5,14,81,54.5,8.68,2.4,31.33,2,2006
59,Dallas Goedert,82.5,PHI,26,TE,57,40,272,193,71.55,2295,11.7,16,124,36.5,8.4,3.48,41.08,3,2021
60,Dalton Keene,401.0,NWE,21,TE,6,0,5,3,60.0,16,5.3,0,0,8.0,3.2,0.5,2.7,1,2020
61,Dalton Schultz,202.75,DAL,25,TE,60,36,212,154,66.6,1545,8.97,12,87,20.75,6.12,2.42,24.2,1,2021
62,Dan Gronkowski,342.0,DEN,25,TE,14,4,16,9,47.4,69,6.05,0,3,8.5,3.15,0.6,3.7,0,2010
63,Daniel Graham,161.5,NWE,27,TE,51,38,159,99,63.0,1158,11.9,15,57,40.5,7.5,1.9,22.27,1,2005
64,Dante Rosario,201.5,CAR,26,TE,62,22,144,82,63.3,894,12.47,5,50,32.5,8.3,1.35,14.7,0,2010
65,Darnell Sanders,276.0,CLE,24,TE,26,15,26,18,65.7,118,7.0,2,4,13.0,4.55,0.6,4.1,1,2003
66,Dave Stachelski,400.0,NOR,24,TE,5,0,1,1,100.0,5,5.0,0,0,5.0,5.0,0.2,1.0,0,2001
67,David Johnson,323.67,PIT,24,TE,47,24,24,18,67.47,146,7.87,1,7,18.33,5.5,0.4,3.07,0,2011
68,David Martin,263.75,GNB,25,TE,47,9,60,39,63.98,344,9.72,4,20,21.75,5.53,0.82,7.28,0,2004
69,David Morgan,358.67,MIN,25,TE,38,12,19,16,88.87,135,6.9,1,7,13.33,5.97,0.43,3.3,0,2018
70,David Njoku,189.0,CLE,24,TE,49,25,187,112,58.1,1279,10.72,11,60,36.5,6.28,2.08,22.68,0,2020
71,David Paulson,310.5,PIT,24,TE,32,9,21,13,61.8,153,12.15,0,4,21.5,7.4,0.4,4.8,2,2013
72,David Thomas,268.25,NOR,26,TE,47,21,82,56,73.65,617,11.0,2,29,25.0,7.95,1.02,11.25,0,2009
73,Dawson Knox,123.75,BUF,26,TE,57,47,230,149,63.33,1780,12.18,20,89,45.75,7.65,2.6,30.88,2,2022
74,Dedrick Epps,422.0,NYJ,24,TE,3,0,1,1,100.0,9,9.0,0,0,9.0,9.0,0.3,3.0,1,2012
75,Dennis Pitta,191.5,BAL,28,TE,47,8,188,122,54.23,1244,7.65,11,68,29.75,4.9,2.85,27.38,0,2013
76,Derek Fine,261.0,BUF,26,TE,18,11,30,19,66.65,158,8.25,1,7,15.5,5.7,1.05,8.7,0,2009
77,Derek Schouman,281.0,BUF,24,TE,21,15,34,27,85.6,275,9.3,1,13,19.33,7.8,2.13,22.47,1,2009
78,Devin Asiasi,406.5,CIN,25,TE,21,3,11,4,39.3,44,11.0,1,2,16.0,3.45,0.2,2.35,0,2022
79,Devin Funchess,110.0,CAR,24,TE,61,40,311,161,50.35,2233,14.3,21,119,42.75,7.1,2.6,36.5,1,2018
80,Dion Sims,222.0,MIA,25,TE,56,22,106,74,68.25,699,8.5,8,37,24.0,5.88,1.35,12.62,1,2016
81,Dominique Byrd,345.0,STL,23,TE,14,0,8,6,73.35,83,15.25,1,4,20.5,10.9,0.4,6.35,0,2007
82,Donald Lee,221.25,GNB,26,TE,62,22,107,63,59.05,664,12.03,4,35,24.75,6.97,1.02,10.85,2,2006
83,Doug Jolley,130.5,NYJ,26,TE,63,32,189,119,64.55,1296,10.93,6,62,38.25,7.17,1.9,20.55,1,2005
84,Drew Sample,292.75,CIN,26,TE,44,25,76,58,83.03,458,5.28,1,20,16.25,4.0,1.18,7.22,1,2022
85,Durham Smythe,243.5,MIA,26,TE,63,41,95,73,69.28,680,9.03,2,32,22.25,6.25,1.12,10.57,0,2021
86,Dustin Keller,60.75,NYJ,27,TE,64,43,375,213,56.98,2559,11.93,15,131,44.0,6.83,3.33,39.95,2,2011
87,Dustin Lyman,286.67,CHI,27,TE,35,11,36,26,62.63,205,6.63,2,10,12.33,4.53,0.83,6.43,0,2003
88,Dwayne Allen,219.25,IND,25,TE,43,42,147,91,57.85,1045,13.0,13,59,30.5,7.4,1.8,22.85,2,2015
89,Ed Dickson,163.25,BAL,26,TE,60,44,188,111,57.55,1178,11.3,7,62,41.5,6.4,1.82,19.38,0,2013
90,Eric Ebron,89.75,DET,24,TE,56,37,288,186,63.42,2070,10.95,11,109,45.5,7.03,3.33,37.02,1,2017
91,Eric Johnson,71.33,SFO,25,TE,44,38,246,158,62.67,1508,9.37,5,80,29.0,5.9,3.53,33.67,2,2004
92,Eric Saubert,395.67,JAX,26,TE,26,5,16,10,65.77,85,8.47,0,3,12.33,5.43,0.57,5.17,0,2020
93,Erron Kinney,155.75,TEN,26,TE,60,44,154,98,63.23,1014,10.88,5,58,25.5,6.9,1.65,16.95,2,2003
94,Evan Engram,58.5,NYG,26,TE,50,39,356,216,62.12,2420,11.28,13,113,54.25,7.05,4.45,49.98,1,2020
95,Evan Rodriguez,415.0,BUF,25,TE,19,5,9,4,25.0,21,2.65,0,2,5.5,1.3,0.15,0.9,0,2013
96,Fendi Onobun,430.5,JAX,25,TE,4,0,5,2,25.0,15,3.75,0,1,4.0,1.9,0.35,2.5,0,2011
97,Foster Moreau,205.5,LVR,25,TE,61,34,132,91,72.78,1107,13.35,12,59,36.75,9.72,1.5,18.02,2,2022
