,Player,Rk,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Lng,Y/Tgt,R/G,Y/G,Fmb,Year
204,Nick Boyle,216.25,BAL,25,TE,48,26,103,75,79.05,613,8.1,0,32,21.5,6.33,1.48,12.0,0,2018
205,Nick Kasa,433.0,OAK,23,TE,16,1,5,1,20.0,9,9.0,1,1,9.0,1.8,0.1,0.6,0,2013
206,Nick O'Leary,310.75,MIA,26,TE,47,19,59,40,61.6,559,18.77,3,26,29.0,9.78,0.77,11.28,1,2018
207,Nick Vannett,252.75,2TM,26,TE,55,22,84,61,74.92,591,10.03,4,29,23.0,7.53,1.02,10.05,1,2019
208,Noah Fant,65.75,SEA,25,TE,64,57,312,220,70.58,2391,11.15,14,110,49.5,7.7,3.45,37.62,1,2022
209,O.J. Howard,176.25,TAM,26,TE,42,37,159,105,64.9,1602,15.0,14,79,49.75,9.82,2.62,39.17,4,2020
210,Orson Charles,348.0,CIN,22,TE,29,6,12,9,65.0,109,10.3,0,5,16.5,7.05,0.3,3.45,0,2013
211,Owen Daniels,67.25,HOU,27,TE,54,52,304,207,68.0,2501,11.97,15,139,35.25,8.12,3.92,47.98,7,2009
212,Quinn Sypniewski,248.5,BAL,25,TE,31,12,54,36,82.7,261,7.35,1,15,11.0,6.1,1.2,8.65,1,2007
213,Randall Telfer,401.0,CLE,25,TE,30,19,11,5,51.8,40,7.0,0,2,13.5,4.8,0.15,1.3,0,2017
214,Randy McMichael,58.25,MIA,26,TE,64,64,373,221,59.0,2456,11.28,15,121,40.75,6.65,3.48,38.38,4,2005
215,Richard Angulo,409.0,MIN,25,TE,7,0,2,1,50.0,11,5.5,0,1,5.5,5.5,0.25,2.75,0,2005
216,Richard Gordon,421.5,2TM,27,TE,34,5,10,4,57.15,14,2.38,1,1,3.25,1.57,0.2,0.57,0,2014
217,Richard Quinn,441.0,DEN,24,TE,29,4,3,1,25.0,9,4.5,0,0,4.5,2.25,0.05,0.3,0,2010
218,Richard Rodgers,165.25,GNB,25,TE,63,24,181,120,65.47,1166,10.6,13,59,40.5,6.92,1.9,18.4,0,2017
219,Rico Gathers,387.0,DAL,24,TE,15,4,7,3,42.9,45,15.0,0,2,32.0,6.4,0.2,3.0,0,2018
220,Rob Gronkowski,67.75,NWE,24,TE,50,44,328,226,68.12,3255,14.32,42,175,42.75,9.75,4.7,68.35,2,2013
221,Rob Housler,182.5,ARI,26,TE,55,28,168,105,58.42,1133,11.57,1,51,28.0,6.7,1.9,20.6,3,2014
222,Robert Royal,268.33,WAS,26,TE,35,29,61,31,50.07,249,8.57,5,17,24.0,4.27,0.87,7.23,1,2005
223,Ryan Griffin,188.5,HOU,26,TE,56,19,152,99,64.2,1028,10.82,6,51,36.75,6.95,1.8,19.38,1,2016
224,Ryan Hannam,295.33,SEA,25,TE,47,5,34,22,76.2,215,12.2,2,14,24.0,9.8,0.47,4.53,0,2005
225,Ryan Izzo,298.0,NWE,25,TE,18,16,29,19,65.85,313,17.15,1,10,45.5,11.35,1.05,17.8,1,2020
226,Ryan Krause,350.5,GNB,26,TE,11,1,8,7,91.65,92,10.85,1,5,17.5,9.5,1.35,20.85,0,2007
227,Ryan Taylor,409.67,GNB,26,TE,45,2,11,8,88.9,45,6.67,1,5,7.67,6.1,0.2,1.03,1,2013
228,Scott Chandler,402.0,2TM,25,TE,13,1,3,1,33.3,8,8.0,0,0,8.0,2.7,0.1,0.6,0,2010
229,Sean Ryan,334.5,NYJ,27,TE,26,4,14,9,63.35,90,11.3,0,3,16.0,7.05,0.35,3.7,1,2007
230,Seth Devalve,250.0,JAX,26,TE,53,16,95,60,69.58,736,12.8,4,34,30.0,8.95,1.07,13.18,1,2019
231,Shad Meier,274.5,TEN,26,TE,52,13,64,42,55.7,334,11.15,3,15,22.75,5.6,0.78,5.97,2,2004
232,Shawn Nelson,285.0,BUF,25,TE,17,13,33,20,66.8,181,8.75,1,8,18.5,5.85,1.0,9.0,3,2010
233,Stephen Sullivan,483.5,CAR,26,TE,17,0,7,2,16.65,46,11.5,0,2,16.5,3.85,0.05,1.65,0,2022
234,T.J. Hockenson,59.5,2TM,25,TE,57,49,373,246,64.95,2587,10.62,18,135,51.0,6.85,4.28,44.55,2,2022
235,Taylor Thompson,367.33,TEN,25,TE,35,8,25,11,45.27,83,8.0,1,3,11.33,3.73,0.43,3.9,0,2014
236,Terry Jones,218.5,2TM,26,TE,53,35,90,59,64.35,493,8.5,5,22,23.0,5.42,1.1,9.28,0,2005
237,Teyo Johnson,277.33,ARI,24,TE,30,9,38,26,77.6,288,11.13,3,9,19.67,8.53,0.83,9.73,0,2005
238,Tim Euhus,290.0,BUF,25,TE,23,8,20,14,66.65,115,7.3,2,6,13.0,4.95,0.6,4.85,0,2005
239,Tim Massaquoi,449.0,BUF,25,TE,4,0,1,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,2007
240,Todd Heap,101.25,BAL,24,TE,50,43,301,168,59.4,2038,12.15,13,105,34.25,7.25,3.42,40.83,2,2004
241,Tom Santi,271.5,IND,24,TE,9,4,24,18,74.8,171,9.9,1,9,22.0,7.3,2.2,23.2,1,2009
242,Tommy Sweeney,366.0,BUF,27,TE,24,4,26,18,78.83,165,8.73,1,8,16.33,6.5,0.73,7.93,1,2022
243,Tony Moeaki,103.5,KAN,25,TE,30,29,129,80,61.65,1009,12.75,4,55,36.0,7.85,2.65,33.65,0,2012
244,Tony Scheffler,124.0,DEN,26,TE,57,28,213,138,62.9,1896,14.15,14,89,48.5,8.75,2.42,33.4,2,2009
245,Tony Stewart,281.5,CIN,25,TE,38,17,67,37,66.53,318,7.83,2,19,12.75,5.2,0.97,8.9,0,2004
246,Travis Beckum,323.0,NYG,25,TE,48,4,39,26,50.55,264,8.6,3,12,27.75,5.3,0.42,4.55,0,2012
247,Travis Kelce,30.0,KAN,27,TE,48,42,307,224,73.17,2862,12.77,14,141,52.0,9.33,4.67,59.63,6,2016
248,Trent Smith,350.0,SFO,26,TE,5,2,8,3,37.5,7,2.3,0,0,6.0,0.9,0.6,1.4,0,2005
249,Trevon Wesco,447.0,CHI,27,TE,54,13,14,8,56.67,113,13.3,0,5,19.75,7.92,0.15,2.02,0,2022
250,Troy Fumagalli,323.5,DEN,25,TE,19,5,24,14,60.0,118,8.15,2,7,19.0,4.75,0.75,6.75,0,2020
251,Troy Niklas,366.0,ARI,25,TE,41,18,32,19,74.45,203,8.25,3,11,12.75,6.67,0.42,4.08,0,2017
252,Tyler Conklin,227.0,MIN,26,TE,64,21,130,93,73.65,922,10.65,4,42,30.75,7.78,1.4,13.93,2,2021
253,Tyler Davis,412.0,GNB,25,TE,39,1,14,8,45.7,61,5.1,0,2,15.0,3.57,0.17,1.33,0,2022
254,Tyler Eifert,175.75,CIN,26,TE,37,30,184,123,74.25,1491,12.28,20,82,45.75,9.1,3.3,40.83,0,2016
255,Tyler Higbee,161.0,LAR,26,TE,63,54,197,129,60.4,1406,10.57,7,71,34.5,6.57,2.1,22.73,1,2019
256,Tyler Kroft,255.5,CIN,26,TE,51,35,95,67,72.75,661,9.88,8,35,29.5,7.2,1.2,11.8,0,2018
257,Vance McDonald,252.75,SFO,26,TE,48,30,118,64,46.4,866,14.28,7,34,39.25,6.47,1.27,17.62,3,2016
258,Vernon Davis,96.0,SFO,25,TE,56,54,304,181,58.25,2097,11.75,22,91,53.25,6.78,3.12,36.4,4,2009
259,Virgil Green,317.25,DEN,26,TE,56,17,29,23,79.58,206,9.47,1,11,21.25,7.85,0.42,3.85,0,2014
260,Visanthe Shiancoe,276.0,NYG,26,TE,64,23,61,35,61.92,253,7.2,3,16,13.0,4.3,0.55,3.98,1,2006
261,Will Dissly,222.25,SEA,25,TE,41,36,96,76,76.47,900,13.1,9,42,42.75,9.6,2.17,28.45,2,2021
262,Zach Ertz,59.75,PHI,26,TE,61,27,364,247,67.25,2840,11.75,13,149,40.75,7.85,4.12,47.1,2,2016
263,Zach Gentry,294.33,PIT,26,TE,38,25,49,39,86.2,303,6.57,0,19,20.33,5.47,0.83,6.2,0,2022
264,Zach Miller,127.54,SEA,27,TE,185,131,746,501,68.35,5729,11.02,30,261,49.92,7.52,2.6,29.62,5,2012
