,Player,Rk,Tm,Age,Pos,G,GS,Intcpt,IntYds,IntTD,Lng,PD,FF,Fmb,FR,FumYds,FumTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Year
298,Michael Buchanan,913.0,NWE,23,DE,18,0,0,0,0,0.0,0,0,0,1,0,0,2.0,11,7,4,2,5,0,2014
299,Michael Danna,570.33,KAN,25,DE,43,7,0,0,0,0.0,1,4,0,0,0,0,10.5,78,36,42,10,26,0,2022
300,Michael Dogbe,740.5,ARI,26,DE,40,5,0,0,0,0.0,0,0,0,1,0,0,2.0,61,32,29,4,4,0,2022
301,Michael Haynes,487.0,CHI,25,DE,43,4,1,45,1,15.0,4,1,0,0,0,0,5.5,79,62,17,10,0,0,2005
302,Michael Johnson,472.67,CIN,25,RDE,81,44,3,3,0,0.5,20,1,0,4,0,0,24.0,208,146,62,36,46,0,2012
303,Mike Catapano,868.67,NYJ,26,DE,29,4,0,0,0,0.0,0,0,0,0,0,0,2.0,11,8,3,2,8,0,2016
304,Mike Neal,730.25,GNB,26,LOLB,36,11,1,5,0,1.25,1,2,0,0,0,0,10.5,64,48,16,14,15,0,2013
305,Montez Sweat,364.0,WAS,26,DE,59,59,1,15,1,3.75,10,7,0,0,0,0,29.0,165,99,66,37,74,0,2022
306,Myles Garrett,326.5,CLE,25,LDE,51,49,0,0,0,0.0,6,10,0,3,0,0,42.5,152,107,45,42,83,0,2020
307,Nate Orchard,686.0,2TM,25,DE,38,13,1,46,0,11.5,5,2,0,1,0,0,5.0,69,43,26,9,14,0,2018
308,Nick Bosa,364.25,SFO,25,DE,51,49,1,46,0,11.5,4,8,0,2,6,0,43.0,156,116,40,56,106,0,2022
309,Nick Perry,483.75,GNB,25,DE,46,16,0,0,0,0.0,4,5,0,1,0,0,12.5,100,66,34,17,13,0,2015
310,Nick Reed,751.5,2TM,24,DE,26,0,0,0,0,0.0,3,0,0,3,81,1,1.0,23,14,9,1,3,0,2011
311,Noah Spence,833.25,WAS,25,LB,41,6,0,0,0,0.0,2,4,0,0,0,0,7.5,37,24,13,3,16,0,2019
312,O'Brien Schofield,480.5,SEA,26,LB,50,11,0,0,0,0.0,1,3,0,1,0,0,11.5,91,78,13,15,21,0,2013
313,Obum Gwacham,961.0,NYJ,26,DE,14,0,0,0,0,0.0,0,1,0,1,0,0,2.5,10,7,3,2,4,0,2017
314,Ogbonnia Okoronkwo,738.67,LAR,26,LB,33,0,0,0,0,0.0,1,2,0,0,0,0,4.5,34,20,14,5,13,0,2021
315,Oshane Ximines,711.25,NYG,26,OLB,45,9,0,0,0,0.0,6,1,1,1,1,0,6.5,67,34,33,9,22,0,2022
316,Osi Umenyiora,316.75,NYG,25,RDE,56,35,0,0,0,0.0,8,9,0,6,88,1,28.5,194,140,54,36,7,0,2006
317,Otis Leverette,868.0,SFO,26,DE,17,1,1,1,0,0.25,1,0,0,0,0,0,2.0,31,25,6,7,0,0,2004
318,Owamagbe Odighizuwa,957.0,NYG,24,DE,18,0,0,0,0,0.0,1,0,0,0,0,0,0.0,6,4,2,0,2,0,2016
319,Parys Haralson,447.75,SFO,25,ROLB,55,37,0,0,0,0.0,4,0,0,2,0,0,15.5,137,97,40,29,32,0,2009
320,Pat O'Connor,846.0,TAM,27,DE,24,0,0,0,0,0.0,0,0,0,0,0,0,1.0,10,7,3,1,2,0,2020
321,Paul Kruger,700.0,BAL,26,LB,51,7,2,26,0,6.5,13,1,0,3,9,0,15.5,69,47,22,17,26,0,2012
322,Pernell McPhee,487.0,BAL,26,DE,60,6,0,0,0,0.0,7,3,0,1,0,0,17.0,92,64,28,24,48,0,2014
323,Phillip Merling,672.0,MIA,26,DE,47,5,1,25,1,6.25,8,0,0,2,1,0,3.5,66,50,16,5,10,0,2011
324,Preston Smith,338.75,WAS,26,LOLB,64,50,4,51,0,10.75,13,4,0,3,13,1,24.5,168,107,61,29,59,0,2018
325,Quanterus Smith,733.0,DEN,25,DE,15,0,0,0,0,0.0,2,0,0,0,0,0,0.0,11,7,4,2,1,0,2014
326,Quentin Groves,455.0,OAK,27,LB,63,22,2,33,0,8.25,6,3,0,2,0,0,2.5,107,84,23,18,12,1,2011
327,Quentin Moses,774.0,MIA,27,DE,44,2,0,0,0,0.0,0,0,0,1,0,0,3.5,34,28,6,6,8,0,2010
