,Unnamed: 0.1,Unnamed: 0,Player,Tm,Pos,Rk,Age,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Lng,Y/Tgt,R/G,Fmb,Year,Rookie,Vet,Con_Len,Con_Sal,Cap,%Cap,New_Con_Len,New_Perc_Cap,Con_Yrs_Lft
0,0,0,Larry Fitzgerald,ARI,WR,-1.4367200222192524,2.6212321221661044,0.8769335662313709,1.7794334932753115,2.1344640423625707,2.6241799590423884,0.7065926813294322,1.656729747444319,-0.5114707049909412,1.3415743387434298,2.1777716685475155,-0.2050765040335036,-0.1069271508398297,2.4041866497831887,1.1901298684096662,2016,0.0,1.0,1.0,11000000.0,155270000.0,0.0708443356733432,1,0.0658682634730539,0
1,1,1,Antonio Brown,PIT,WR,-1.429926945055786,0.8611918152775581,0.6713275501574943,1.6049792292287124,2.220782065330304,2.589829962622656,0.5795969058280043,2.3406453960520106,0.0013356817515154,3.5433948183605093,2.389253560479636,0.6039408971995847,0.3835992523727596,2.6227952899622484,-0.6118273267176453,2016,0.0,1.0,5.0,41960000.0,155270000.0,0.0540477877246087,4,0.1017964071856287,0
2,2,2,Julian Edelman,NWE,WR,-1.4163407907288534,1.5652079380329766,0.8769335662313709,1.256070701135514,2.32867959403997,2.315029991264792,0.2138490723838923,1.8742201644345045,-0.1627623620060704,0.24066409893489,1.9662897766153944,1.7725215878696012,-0.0415236304114844,2.0762736895146,2.091108465973322,2016,0.0,1.0,4.0,17000000.0,155270000.0,0.0273716751465189,0,0.0310383747178329,1
3,3,3,Jordy Nelson,GNB,WR,-1.409547713565387,1.9172159994106857,0.8769335662313709,1.7794334932753115,2.177623053846437,2.280679994845059,0.3256053548251486,2.269895501368456,0.1859459809787998,4.27733497823287,2.283512614513576,1.008449597816129,0.3835992523727596,2.0762736895146,0.2891512708460105,2016,0.0,1.0,4.0,39050000.0,155270000.0,0.0628743479100921,0,0.0584580838323353,1
4,4,4,Mike Evans,TAM,WR,-1.4027546364019208,-0.8988484916109883,0.8769335662313709,1.7794334932753115,2.630792674427036,2.246329998425326,-0.0960206198395917,2.4375989554331774,0.3500440247363861,3.5433948183605093,3.3409220741741805,0.3342684301218885,0.154686930873551,2.021621529469835,-0.6118273267176453,2016,1.0,0.0,4.0,14631502.0,155270000.0,0.0235581599793907,0,0.0219034461077844,1
5,5,5,Doug Baldwin,SEA,WR,-1.3959615592384549,0.8611918152775581,0.8769335662313709,1.6049792292287124,1.5949763988142391,2.17763000558586,0.90470609111166,1.9318682267692524,-0.0191765737181827,1.7085444186796097,1.701937411700243,0.9635041866365128,0.6125115738719676,1.9669693694250707,0.2891512708460105,2016,0.0,1.0,4.0,46000000.0,155270000.0,0.0740645327494042,0,0.0688622754491018,3
6,6,6,Jarvis Landry,MIA,WR,-1.3891684820749883,-0.546840430233279,0.8769335662313709,1.7794334932753115,1.7244534332658388,2.17763000558586,0.7319918364297178,1.9528311585273423,0.0013356817515154,0.60763417887107,1.807678357666304,1.502849120791905,0.5144062932294495,1.9669693694250707,1.1901298684096662,2016,1.0,0.0,4.0,3474911.0,155270000.0,0.0055949491208861,0,0.0052019625748502,1
7,7,7,Michael Thomas,NOR,WR,-1.382375404911522,-0.8988484916109883,0.6713275501574943,1.081616437088915,1.5086583758465062,2.108930012746394,0.9453447392721168,1.955451524997104,0.0628724481606103,2.4424845785519693,2.283512614513576,0.3792138413015046,0.7433186147286581,2.0762736895146,1.1901298684096662,2016,1.0,0.0,4.0,5118971.0,155270000.0,0.0082420477233206,0,0.0076631302395209,3
8,8,8,T.Y. Hilton,IND,WR,-1.3755823277480557,0.5091837538998487,0.8769335662313709,1.7794334932753115,2.242361571072237,2.074580016326661,0.0665339728022361,2.770385497092859,0.7808013896000495,1.3415743387434298,2.4949945064456966,1.143285831354977,0.7106168545144856,1.8576650493355409,-0.6118273267176453,2016,0.0,1.0,5.0,65000000.0,155270000.0,0.0837251239775874,0,0.0778443113772455,3
9,9,9,Golden Tate,DET,WR,-1.3687892505845891,0.8611918152775581,0.8769335662313709,1.7794334932753115,1.810771456233572,2.074580016326661,0.5084792715472052,1.7982295368114276,-0.0602010846575791,0.60763417887107,1.4904555197681224,1.323067476073441,0.2854939717302416,1.8576650493355409,1.1901298684096662,2016,0.0,1.0,5.0,31000000.0,155270000.0,0.039930443743157,0,0.037125748502994,2
10,10,10,Demaryius Thomas,DEN,WR,-1.3619961734211232,1.2131998766552672,0.8769335662313709,1.7794334932753115,2.004987007910972,2.0402300199069283,0.2595675515644062,1.8139517356299952,-0.0191765737181827,0.9746042588072498,1.649066938717213,0.7837225419180488,0.1219851706593785,1.803012889290776,1.1901298684096662,2016,0.0,1.0,5.0,70000000.0,155270000.0,0.0901655181297095,0,0.0838323353293413,3
11,11,11,Michael Crabtree,OAK,WR,-1.355203096257657,1.2131998766552672,0.8769335662313709,1.7794334932753115,2.0265665136529045,2.005880023487196,0.2036894103437779,1.6043224180490936,-0.1627623620060704,2.0755144986157896,1.9662897766153944,0.8286679530976648,-0.0742253906256569,1.803012889290776,1.1901298684096662,2016,0.0,1.0,4.0,34000000.0,155270000.0,0.0547433502930379,0,0.0508982035928143,2
