Player,Rk,Tm,Age,Pos,G,GS,Att,Yds,TD,1D,Lng,Y/A,Y/G,Fmb,Year
Karlos Williams,51.0,BUF,22,RB,11,3,93,517,7,25,41.0,5.6,47.0,2,2015
Ke'Shawn Vaughn,129.67,TAM,25,RB,37,1,79,342,2,22,28.67,4.1,9.8,1,2022
Kendall Hunter,53.33,SFO,25,RB,43,1,262,1202,7,60,38.33,4.67,28.57,2,2013
Kenjon Barner,134.67,PHI,27,RB,31,0,61,260,2,15,13.33,3.47,7.73,2,2016
Kenneth Darby,133.0,STL,28,RB,41,1,95,408,2,22,21.25,4.4,10.03,1,2010
Kenneth Dixon,59.5,BAL,24,RB,18,0,148,715,4,50,28.5,4.95,43.65,3,2018
Kenyan Drake,51.0,2TM,25,RB,62,24,456,2175,17,106,61.25,4.88,35.83,7,2019
Kerrith Whyte Jr,115.0,PIT,23,RB,6,0,24,122,0,5,21.0,5.1,20.3,0,2019
Kerryon Johnson,57.0,DET,23,RB,34,16,283,1225,8,63,35.0,4.17,41.93,3,2020
Kerwynn Williams,111.67,ARI,25,RB,21,0,98,545,3,25,34.33,6.2,29.53,2,2016
Kevan Barlow,29.25,SFO,25,RB,60,18,715,3033,21,152,49.5,4.33,50.27,10,2004
Kevin Jones,27.5,DET,25,RB,53,49,761,3067,24,154,50.0,3.98,57.17,11,2007
Kevin Smith,49.5,DET,25,RB,42,29,561,2212,16,112,34.75,4.08,47.9,6,2011
Knile Davis,87.75,2TM,25,RB,57,2,250,805,11,41,21.0,2.8,12.9,7,2016
Knowshon Moreno,40.75,DEN,25,RB,44,30,604,2430,16,125,28.75,4.17,52.58,9,2012
Kolby Smith,90.67,KAN,25,RB,27,9,162,540,3,33,16.67,2.9,16.0,0,2009
Kyle Johnson,205.0,DEN,27,FB,16,14,4,9,1,3,4.0,2.3,0.6,0,2005
Kyle Juszczyk,219.5,BAL,25,RB,32,18,7,25,1,3,6.0,2.95,0.8,0,2016
La'Mical Perine,133.5,NYJ,23,RB,14,0,72,263,2,19,17.0,3.75,15.5,0,2021
LaBrandon Toefield,96.25,JAX,26,RB,43,2,150,545,6,28,22.5,3.35,11.68,1,2006
LaDainian Tomlinson,5.5,SDG,25,RB,63,63,1363,5899,54,321,61.25,4.33,93.58,19,2004
LaMichael James,152.67,2TM,25,RB,17,0,44,193,0,12,17.33,3.77,13.4,3,2014
LaMont Jordan,64.75,NYJ,26,RB,62,0,262,1277,10,72,44.75,5.15,20.68,5,2004
LaRod Stephens-Howling,108.75,ARI,25,RB,57,10,182,651,5,25,31.5,3.62,11.72,1,2012
Ladell Betts,52.0,WAS,26,RB,48,2,321,1271,5,67,22.25,3.98,26.9,5,2005
Lamar Gordon,68.25,PHI,25,RB,40,15,225,772,3,49,17.75,3.23,20.4,9,2005
Lamar Miller,34.75,MIA,24,RB,61,48,638,2930,19,137,64.75,4.62,46.67,5,2015
Larry Johnson,42.5,KAN,27,RB,48,28,892,4205,47,232,39.25,4.65,73.38,7,2006
Latavius Murray,27.0,OAK,26,RB,45,31,543,2278,20,119,62.0,4.4,50.4,7,2016
Laurence Maroney,45.25,NWE,24,RB,45,14,582,2430,21,139,40.5,4.0,49.73,5,2009
Le'Ron McClain,94.0,BAL,26,FB,63,54,314,1185,12,92,30.5,3.27,18.62,5,2010
Le'Veon Bell,16.0,PIT,24,RB,47,47,908,4045,26,225,52.5,4.5,87.42,5,2016
LeSean McCoy,20.5,PHI,24,RB,58,44,835,3866,30,205,55.5,4.58,67.28,9,2012
Lee Suggs,109.5,MIA,26,RB,29,3,269,1074,4,54,32.75,3.77,31.02,8,2006
LenDale White,38.5,TEN,25,RB,58,18,628,2349,24,127,36.25,3.77,38.4,7,2009
Leon Washington,55.0,NYJ,27,RB,55,13,370,1782,13,70,41.5,4.95,34.5,11,2009
Leonard Fournette,25.75,TAM,25,RB,49,39,763,2998,23,150,60.5,3.83,59.98,3,2020
Leonard Henry,82.0,MIA,26,RB,6,2,46,141,0,5,53.0,3.1,23.5,1,2004
Lex Hilliard,126.5,MIA,27,RB,32,4,39,130,2,14,11.0,3.25,4.1,0,2011
Lorenzo Booker,108.5,PHI,24,RB,17,2,48,178,0,10,15.0,3.6,11.6,0,2008
Lorenzo Taliaferro,184.67,BAL,25,RB,19,0,82,339,5,19,12.67,2.63,12.73,1,2016
Marcus Murphy,180.33,BUF,27,RB,25,1,60,291,0,9,18.33,3.57,21.23,4,2018
Marion Barber III,28.25,DAL,25,RB,60,16,715,3052,36,187,35.5,4.3,50.55,13,2008
Marion Grice,144.0,ARI,23,RB,10,0,15,41,1,3,8.0,2.7,4.1,0,2014
Mark Ingram,33.75,NOR,25,RB,50,21,582,2426,20,128,32.75,4.25,48.58,4,2014
Mark Walton,109.0,MIA,22,RB,21,4,67,235,0,16,14.5,3.1,15.55,1,2019
