,Player,Rk,Tm,Age,Pos,G,GS,Intcpt,IntYds,IntTD,Lng,PD,FF,Fmb,FR,FumYds,FumTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Year
0,A'Shawn Robinson,291.5,DET,24,RDT,58,37,1,2,1,0.5,16,3,0,3,3,0,5.0,172,120,52,16,14,0,2019
1,A.J. Brown,973.5,PHI,25,WR,30,29,0,0,0,0.0,0,0,2,1,0,0,0.0,4,4,0,0,0,0,2022
2,A.J. Derby,1004.0,MIA,27,TE,4,0,0,0,0,0.0,0,1,0,1,0,0,0.0,1,1,0,0,0,0,2018
3,A.J. Edds,861.0,2TM,24,LB,11,0,0,0,0,0.0,0,0,0,0,0,0,0.0,13,3,10,0,1,0,2011
4,A.J. Epenesa,602.33,BUF,24,DE,43,3,0,0,0,0.0,7,2,0,1,0,0,9.0,44,32,12,12,23,0,2022
5,A.J. Feeley,1148.0,MIA,27,QB,17,13,0,0,0,0.0,0,0,12,3,-6,0,0.0,0,0,0,0,0,0,2004
6,A.J. Green,1181.5,CIN,24,WR,31,31,0,0,0,0.0,0,0,3,2,0,0,0.0,0,0,0,0,0,0,2012
7,A.J. Hawk,49.5,GNB,25,LILB,64,62,5,83,0,16.0,14,3,0,3,0,0,8.5,400,295,105,24,16,0,2009
8,A.J. Klein,367.5,CAR,25,MLB,60,23,1,8,0,2.0,2,4,0,0,0,0,4.0,146,99,47,16,5,0,2016
9,AJ Dillon,1163.5,GNB,24,RB,34,5,0,0,0,0.0,0,0,3,3,3,0,0.0,2,2,0,0,0,0,2022
10,AJ Terrell,128.67,ATL,24,CB,44,44,4,42,0,11.67,32,4,1,1,21,0,1.0,202,149,53,7,2,0,2022
11,Aaron Brown,1158.0,DET,24,RB,15,2,0,0,0,0.0,0,0,0,0,0,0,0.0,1,0,1,0,0,0,2009
12,Aaron Burbridge,625.0,SFO,23,WR,16,3,0,0,0,0.0,0,0,1,0,0,0,0.0,12,9,3,0,0,0,2016
13,Aaron Colvin,272.5,JAX,26,RLB,48,25,0,0,0,0.0,14,1,0,2,41,1,5.0,167,139,28,12,8,0,2017
14,Aaron Curry,338.0,OAK,26,LB,48,39,0,0,0,0.0,12,4,0,2,6,1,5.5,203,163,40,18,19,0,2012
15,Aaron Dobson,1154.0,NWE,22,WR,12,9,0,0,0,0.0,0,0,1,1,0,0,0.0,0,0,0,0,0,0,2013
16,Aaron Donald,218.0,LAR,26,RDE,62,58,0,0,0,0.0,8,9,0,2,40,0,39.0,205,150,55,72,108,0,2017
17,Aaron Hernandez,1216.0,NWE,23,TE,24,17,0,0,0,0.0,1,0,0,1,0,0,0.0,0,0,0,0,0,0,2012
18,Aaron Jones,1239.0,GNB,26,RB,30,30,0,0,0,0.0,0,0,5,2,0,0,0.0,0,0,0,0,0,0,2020
19,Aaron Kampman,349.25,GNB,26,LDE,56,48,0,0,0,0.0,8,6,0,2,3,0,13.5,203,138,65,20,0,0,2005
20,Aaron Lynch,532.25,SFO,24,DE,44,19,0,0,0,0.0,7,0,0,1,0,0,15.0,83,64,19,29,46,0,2017
21,Aaron Maybin,781.25,NYJ,24,DE,48,1,0,0,0,0.0,0,5,0,0,0,0,6.0,37,27,10,5,10,0,2012
22,Aaron Ripkowski,938.67,GNB,25,RB,47,10,0,0,0,0.0,0,0,0,1,0,0,0.0,11,9,2,0,0,0,2017
23,Aaron Rodgers,1277.0,GNB,25,QB,16,16,0,0,0,0.0,0,0,10,5,-22,0,0.0,0,0,0,0,0,0,2008
24,Aaron Ross,398.0,NYG,28,DB,49,26,6,109,2,23.25,21,0,1,0,0,0,2.5,140,114,26,9,7,0,2010
25,Aaron Rouse,278.33,2TM,25,FS,41,18,4,173,1,44.33,11,0,0,0,0,0,1.0,143,110,33,4,3,0,2009
26,Aaron Schobel,276.0,BUF,27,RDE,64,59,1,6,0,1.5,13,7,0,4,0,0,34.5,227,148,79,43,0,0,2004
27,Aaron Shea,956.33,CLE,27,TE,23,10,0,0,0,0.0,0,0,0,1,0,0,0.0,11,9,2,0,0,0,2003
28,Aaron Walker,734.0,SFO,24,TE,16,4,0,0,0,0.0,0,0,0,0,0,0,0.0,9,8,1,0,0,0,2004
29,Aaron Wallace,1016.67,TEN,25,LB,13,0,0,0,0,0.0,0,0,0,0,0,0,1.0,17,12,5,1,2,0,2018
30,Aaron Williams,234.5,BUF,24,FS,49,44,6,69,0,15.0,28,3,1,0,0,0,0.0,222,162,60,4,0,0,2014
31,Abdul Hodge,793.33,CIN,27,LB,30,1,0,0,0,0.0,2,1,0,1,29,1,0.0,29,21,8,0,0,0,2009
32,Ace Sanders,1180.0,JAX,23,WR,27,4,0,0,0,0.0,0,0,2,1,0,0,0.0,1,1,0,0,0,0,2014
33,Adalius Thomas,272.33,BAL,26,LOLB,45,26,2,57,1,10.67,22,5,0,1,0,0,10.5,136,113,23,25,0,0,2003
34,Adam Archuleta,71.0,STL,27,SS,58,55,2,24,0,6.0,18,3,2,4,162,2,11.5,340,297,43,26,0,0,2004
35,Adam Carriker,423.0,WAS,26,LDE,47,41,0,0,0,0.0,3,0,0,3,0,0,3.5,92,67,25,15,10,1,2010
36,Adam Gotsis,497.75,DEN,27,DT,57,28,0,0,0,0.0,13,2,0,3,0,0,5.0,109,69,40,9,15,0,2019
37,Adam Haayer,1174.0,MIN,27,T,4,1,0,0,0,0.0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,2004
38,Adam Hayward,538.25,TAM,26,LB,59,4,0,0,0,0.0,2,0,0,2,0,0,1.0,80,64,16,3,2,0,2010
39,Adam Jennings,917.0,DET,27,WR,46,2,0,0,0,0.0,0,0,5,2,0,0,0.0,16,11,5,0,0,0,2009
40,Adam Jones,246.33,DAL,25,LCB,39,34,4,130,1,27.67,30,2,12,6,22,0,1.0,148,121,27,5,1,0,2008
41,Adam Podlesh,797.0,JAX,25,P,11,0,0,0,0,0.0,0,0,0,0,0,0,0.0,5,5,0,0,0,0,2008
42,Adam Seward,710.5,CAR,26,LB,40,2,0,0,0,0.0,0,0,0,1,0,0,0.0,45,39,6,2,1,0,2008
43,Adam Shaheen,1096.0,CHI,25,TE,8,2,0,0,0,0.0,0,0,1,0,0,0,0.0,1,1,0,0,0,0,2019
44,Adam Snyder,1286.0,SFO,26,LG/RG,30,21,0,0,0,0.0,0,0,0,4,0,0,0.0,0,0,0,0,0,0,2008
45,Adam Terry,1318.0,BAL,23,T,7,0,0,0,0,0.0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,2005
46,Adam Trautman,1363.33,NOR,25,TE,43,28,0,0,0,0.0,0,0,1,1,0,0,0.0,2,2,0,0,0,0,2022
47,Adimchinobe Echemandu,939.5,OAK,26,RB,6,0,0,0,0,0.0,0,0,0,0,0,0,0.0,5,4,1,0,0,0,2006
48,Adolphus Washington,598.0,2TM,24,DT,35,21,0,0,0,0.0,3,0,0,0,0,0,4.5,62,38,24,11,9,0,2018
49,Adoree' Jackson,231.25,TEN,25,DB,46,41,2,7,0,1.75,33,3,5,2,0,0,0.0,200,176,24,6,0,0,2020
50,Adrian Amos,70.75,CHI,25,FS,60,56,3,117,1,29.0,18,3,0,3,40,0,2.0,274,235,39,13,2,0,2018
51,Adrian Clayborn,625.0,TAM,26,DE,36,36,0,0,0,0.0,1,5,0,0,0,0,13.0,109,74,35,27,30,0,2014
52,Adrian Colbert,462.25,NYG,27,DB,33,19,0,0,0,0.0,8,2,0,1,0,0,0.0,93,74,19,1,0,0,2020
53,Adrian Madise,1048.0,DEN,23,WR,11,0,0,0,0,0.0,0,0,1,0,0,0,0.0,1,1,0,0,0,0,2003
54,Adrian Peterson,874.67,CHI,30,RB,120,30,0,0,0,0.0,0,0,17,10,-2,0,0.0,61,53,8,0,0,0,2009
55,Adrian Tracy,648.0,NYG,25,LB,16,0,0,0,0,0.0,0,1,0,0,0,0,1.0,12,9,3,1,1,0,2012
56,Adrian Wilson,137.5,ARI,25,SS,62,45,9,194,1,30.75,32,5,0,2,35,1,3.0,310,243,67,15,0,0,2004
57,Adrien Clarke,1142.5,NYJ,26,LG,28,18,0,0,0,0.0,0,0,0,2,0,0,0.0,0,0,0,0,0,0,2007
58,Adrien Robinson,958.0,NYG,26,LB,16,1,0,0,0,0.0,0,0,0,0,0,0,0.0,3,2,1,0,0,0,2014
59,Ahkello Witherspoon,359.0,SFO,25,DB,47,33,4,67,1,12.0,24,1,0,1,0,0,0.0,117,99,18,2,0,0,2020
60,Ahmad Black,588.33,TAM,24,DB,24,3,2,34,0,11.33,5,1,0,1,0,0,0.0,53,41,12,0,1,0,2013
61,Ahmad Bradshaw,928.5,NYG,24,RB,58,12,0,0,0,0.0,0,2,15,3,-1,0,0.0,17,17,0,0,0,0,2010
62,Ahmad Carroll,360.67,2TM,23,DB,35,28,3,38,0,12.67,21,0,1,1,40,1,3.0,104,96,8,7,1,0,2006
63,Ahmad Dixon,927.0,2TM,23,SS,8,0,0,0,0,0.0,0,0,0,1,0,0,0.0,3,2,1,0,0,0,2014
64,Ahmed Plummer,116.25,SFO,27,LCB,61,59,12,130,1,23.0,60,0,0,1,0,0,0.0,271,237,34,3,0,0,2003
65,Ahtyba Rubin,346.5,CLE,25,RDT,60,37,1,1,0,0.25,2,1,0,1,0,0,7.0,214,143,71,7,17,0,2011
66,Akeem Ayers,224.25,2TM,25,LB,59,47,3,7,0,1.75,15,3,0,1,0,0,13.0,252,170,82,25,26,0,2014
67,Akeem Davis-Gaither,355.0,CIN,25,LB,41,3,1,0,0,0.0,7,1,0,1,3,0,0.5,105,71,34,2,2,0,2022
68,Akeem Dent,352.75,HOU,27,RILB,62,27,0,0,0,0.0,3,1,0,0,0,0,2.5,174,106,68,12,10,0,2014
69,Akeem King,773.5,SEA,26,DB,21,1,0,0,0,0.0,1,0,0,0,0,0,0.0,22,17,5,0,1,0,2018
70,Akeem Spence,523.0,TAM,25,DT,56,30,0,0,0,0.0,0,0,0,3,0,0,5.5,96,64,32,9,16,0,2016
71,Akiem Hicks,475.0,2TM,26,DE,61,33,0,0,0,0.0,1,1,0,1,0,1,9.5,140,75,65,22,23,0,2015
72,Akin Ayodele,70.75,JAX,26,LLB,64,46,3,37,0,8.75,11,8,0,5,15,1,8.5,349,279,70,17,0,0,2005
73,Akwasi Owusu-Ansah,824.5,2TM,23,DB,14,2,0,0,0,0.0,0,0,0,0,0,0,0.0,22,15,7,0,0,0,2011
74,Al Afalava,569.33,TEN,25,DB,29,15,1,0,0,0.0,8,1,0,1,43,0,2.0,73,54,19,3,3,0,2012
75,Al Johnson,1195.0,DAL,26,C,16,16,0,0,0,0.0,0,0,1,1,0,0,0.0,0,0,0,0,0,0,2005
76,Al Woods,880.0,PIT,26,DT,39,2,0,0,0,0.0,2,0,0,0,0,0,2.5,38,22,16,1,5,0,2013
77,Al-Quadin Muhammad,644.5,IND,25,DE,51,8,0,0,0,0.0,1,2,0,1,0,0,5.0,80,56,24,15,17,0,2020
78,Alameda Ta'amu,762.0,ARI,23,DT,14,3,0,0,0,0.0,0,0,0,0,0,0,0.0,7,5,2,2,1,0,2013
79,Alan Ball,567.25,DAL,25,FS,44,19,2,27,0,6.75,8,1,0,0,0,0,0.5,89,74,15,0,1,0,2010
80,Alan Branch,574.5,ARI,26,DT,47,3,0,0,0,0.0,3,2,0,0,0,0,4.0,73,59,14,9,13,0,2010
81,Alan Harper,885.0,NYJ,25,DT,11,0,0,0,0,0.0,0,0,0,0,0,0,0.0,5,3,2,0,0,0,2004
82,Albert Haynesworth,400.5,TEN,24,RDT,52,38,0,0,0,0.0,11,3,0,2,12,0,7.5,151,104,47,30,0,0,2005
83,Albert Okwuegbunam,1546.0,DEN,23,TE,14,6,0,0,0,0.0,0,0,1,1,2,0,0.0,0,0,0,0,0,0,2021
84,Aldon Smith,350.25,SFO,25,ROLB,50,30,1,6,0,1.5,5,6,0,1,0,0,44.0,152,120,32,46,81,1,2014
85,Aldrick Robinson,953.0,WAS,24,WR,15,2,0,0,0,0.0,0,0,0,0,0,0,0.0,2,2,0,0,0,0,2012
86,Alec Ogletree,93.5,LAR,25,MLB,52,52,5,157,1,37.5,33,11,0,1,0,0,3.5,408,304,104,28,6,0,2016
87,Alex Anzalone,437.5,NOR,26,MLB,38,20,1,2,0,0.5,3,3,0,0,0,0,4.0,123,85,38,8,8,0,2020
88,Alex Armah,1033.0,CAR,25,FB,41,3,0,0,0,0.0,0,0,0,0,0,0,0.0,5,2,3,0,0,0,2019
89,Alex Bannister,640.75,SEA,25,WR,55,4,0,0,0,0.0,0,0,0,2,0,0,0.0,49,43,6,0,0,0,2004
90,Alex Barron,1115.5,STL,24,RT,28,27,0,0,0,0.0,0,0,0,2,0,0,0.0,0,0,0,0,0,0,2006
91,Alex Brown,237.5,CHI,26,RDE,63,57,1,0,0,0.0,24,9,0,5,0,0,20.0,202,164,38,35,0,0,2005
92,Alex Carrington,666.0,BUF,26,DE,44,9,0,0,0,0.0,6,1,0,0,0,0,4.0,52,33,19,14,8,0,2013
93,Alex Collins,1164.0,BAL,23,RB,26,12,0,0,0,0.0,0,0,6,2,0,0,0.0,0,0,0,0,0,0,2017
94,Alex Green,847.0,NYJ,25,RB,13,0,0,0,0,0.0,0,0,0,0,0,0,0.0,6,3,3,0,0,0,2013
95,Alex Hall,717.0,NYG,25,LB,32,2,0,0,0,0.0,0,2,0,1,0,0,3.0,39,35,4,3,8,0,2010
96,Alex Henery,991.0,PHI,26,K,48,0,0,0,0,0.0,0,0,0,0,0,0,0.0,4,4,0,0,0,0,2013
97,Alex Highsmith,201.33,PIT,25,LB,49,38,1,2,0,0.67,2,6,0,0,0,0,22.5,185,114,71,32,41,0,2022
98,Alex Lewis,532.75,BAL,26,LG,50,14,1,33,0,8.25,5,2,0,2,0,0,2.0,136,105,31,4,2,0,2018
99,Alex Mack,1230.0,CLE,26,C,16,16,0,0,0,0.0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,2011
100,Alex Magee,741.0,2TM,23,DT,25,1,0,0,0,0.0,0,1,0,0,0,0,4.0,18,14,4,2,6,0,2010
101,Alex Okafor,586.0,ARI,25,DE,42,25,1,26,0,6.5,4,1,0,2,0,0,13.5,75,64,11,18,30,0,2016
102,Alex Smith,1235.75,TAM,26,TE,53,49,0,0,0,0.0,0,0,21,9,-14,0,0.0,2,1,1,0,0,0,2008
103,Alex Stepanovich,1267.5,ARI,25,C,21,21,0,0,0,0.0,0,0,0,3,-4,0,0.0,0,0,0,0,0,0,2006
104,Alexander Mattison,1385.5,MIN,23,RB,29,4,0,0,0,0.0,0,0,2,3,1,0,0.0,0,0,0,0,0,0,2021
105,Alfonso Boone,448.33,CHI,27,LDT,43,11,0,0,0,0.0,5,1,0,2,6,0,4.5,76,66,10,8,0,0,2003
106,Alfonso Marshall,846.0,CHI,23,DB,7,0,0,0,0,0.0,0,0,0,0,0,0,0.0,7,4,3,0,0,0,2004
107,Alfonzo Dennard,352.33,NWE,25,DB,29,20,5,95,1,29.0,17,1,0,1,0,0,0.0,90,81,9,4,0,0,2014
108,Alfred Blue,805.5,HOU,26,RB,57,14,0,0,0,0.0,0,3,4,2,0,0,0.0,19,16,3,0,0,0,2017
109,Alfred Fincher,825.5,WAS,25,LB,38,0,0,0,0,0.0,0,0,0,0,0,0,0.0,26,18,8,0,0,0,2008
110,Alfred Morris,1240.0,WAS,26,RB,48,48,0,0,0,0.0,0,0,11,4,0,0,0.0,0,0,0,0,0,0,2014
111,Alge Crumpler,1047.0,ATL,25,TE,32,21,0,0,0,0.0,0,0,1,2,0,0,0.0,1,1,0,0,0,0,2002
112,Allen Bailey,544.75,KAN,25,RDE,55,18,0,0,0,0.0,6,0,0,2,1,0,7.0,86,63,23,15,13,0,2014
113,Allen Barbre,1141.0,GNB,25,RT,10,7,0,0,0,0.0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,2009
114,Allen Bradford,831.0,2TM,25,RB,10,0,0,0,0,0.0,0,0,0,0,0,0,0.0,4,3,1,0,0,0,2013
115,Allen Robinson,1272.0,JAX,23,WR,16,16,0,0,0,0.0,0,0,1,1,0,0,0.0,0,0,0,0,0,0,2016
116,Alohi Gilman,436.0,LAC,25,S,43,9,2,18,0,6.0,4,1,0,2,4,0,0.0,107,68,39,0,1,0,2022
117,Alonzo Jackson,743.0,2TM,25,LB,16,1,0,0,0,0.0,0,0,0,0,0,0,0.0,24,15,9,1,0,0,2005
118,Alphonso Smith,533.75,DET,27,DB,42,11,8,112,2,18.0,19,2,1,2,9,0,0.0,87,70,17,5,1,0,2012
119,Alshon Jeffery,1201.5,CHI,25,WR,25,22,0,0,0,0.0,0,0,4,3,0,0,0.0,0,0,0,0,0,0,2015
120,Alterraun Verner,106.0,TEN,25,RCB,64,47,11,124,1,17.0,51,2,0,5,81,1,0.0,288,241,47,12,0,0,2013
121,Alton Robinson,550.5,SEA,23,DE,30,3,0,0,0,0.0,1,2,0,0,0,0,5.0,44,26,18,10,7,0,2021
122,Alvin Bowen,1185.0,JAX,27,LB,2,0,0,0,0,0.0,0,0,0,0,0,0,0.0,1,0,1,0,0,0,2010
123,Alvin Kamara,1260.0,NOR,25,RB,15,10,0,0,0,0.0,0,0,1,3,0,0,0.0,0,0,0,0,0,0,2020
124,Alvin McKinley,694.0,CLE,25,DT,36,0,0,0,0,0.0,2,0,0,0,0,0,0.0,55,31,24,1,0,0,2003
125,Alvin Pearman,1005.25,JAX,26,RB,33,0,0,0,0,0.0,0,0,6,2,0,0,0.0,8,7,1,0,0,0,2008
126,Amani Hooker,274.75,TEN,24,DB,53,24,6,32,0,6.75,15,2,1,1,0,0,0.0,179,127,52,3,0,0,2022
127,Amani Oruwariye,243.25,DET,26,CB,53,36,9,73,0,12.5,24,0,0,2,0,0,0.0,173,143,30,4,0,0,2022
128,Amara Darboh,928.0,SEA,23,WR,16,0,0,0,0,0.0,0,0,0,0,0,0,0.0,2,2,0,0,0,0,2017
129,Amari Cooper,1169.0,2TM,24,WR,15,15,0,0,0,0.0,0,0,2,1,0,0,0.0,0,0,0,0,0,0,2018
130,Amari Spievey,265.0,DET,24,DB,35,26,5,82,0,18.67,7,0,0,1,0,0,1.0,142,117,25,3,5,0,2012
131,Ameer Abdullah,1040.5,2TM,25,RB,26,9,0,0,0,0.0,0,0,6,2,0,0,0.0,1,1,0,0,0,0,2018
132,Amik Robertson,574.67,LVR,24,CB,35,9,2,7,0,2.33,9,1,0,1,68,1,1.0,61,46,15,2,0,0,2022
133,Amini Silatolu,1264.0,CAR,24,LG,15,15,0,0,0,0.0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,2012
134,Amobi Okoye,435.0,HOU,23,RDT,62,58,0,0,0,0.0,6,2,0,2,0,0,11.0,138,91,47,20,30,0,2010
135,Amon Gordon,702.0,2TM,26,DT,11,4,0,0,0,0.0,0,0,0,0,0,0,0.0,23,17,6,1,0,0,2007
136,Andra Davis,172.75,CLE,27,LILB,59,43,5,49,0,11.0,19,2,0,2,0,0,7.5,382,257,125,17,0,0,2005
137,Andre Branch,489.5,JAX,26,LDE,51,12,0,0,0,0.0,11,5,0,3,49,1,14.0,91,69,22,16,21,0,2015
138,Andre Brown,984.0,NYG,26,RB,10,2,0,0,0,0.0,0,0,0,1,1,0,0.0,1,1,0,0,0,0,2012
139,Andre Caldwell,990.67,CIN,26,WR,35,11,0,0,0,0.0,0,0,1,0,0,0,0.0,4,4,0,0,0,0,2011
140,Andre Carter,381.0,SFO,25,RDE,53,52,0,0,0,0.0,12,7,0,2,4,0,27.5,145,120,25,34,0,0,2004
141,Andre Dyson,175.25,TEN,25,LCB,62,60,16,260,3,36.75,59,3,0,0,0,0,1.0,226,200,26,4,0,0,2004
142,Andre Ellington,992.0,ARI,24,RB,15,1,0,0,0,0.0,0,0,1,1,0,0,0.0,1,1,0,0,0,0,2013
143,Andre Fluellen,733.75,DET,26,DT,51,5,0,0,0,0.0,1,1,0,0,0,0,2.5,46,28,18,6,10,0,2011
144,Andre Hal,306.25,HOU,25,FS,61,38,9,100,1,15.5,26,2,0,0,0,0,1.0,176,124,52,6,2,0,2017
145,Andre Johnson,1189.5,HOU,23,WR,32,32,0,0,0,0.0,0,0,1,1,0,0,0.0,2,0,2,0,0,0,2004
146,Andre King,990.67,CLE,30,WR,33,1,0,0,0,0.0,0,0,1,0,0,0,0.0,7,4,3,0,0,0,2003
147,Andre Lott,649.33,WAS,25,DB,31,3,0,0,0,0.0,1,0,0,0,0,0,1.0,37,32,5,1,0,0,2004
148,Andre Roberts,1270.0,ARI,23,WR,16,16,0,0,0,0.0,0,0,1,2,0,0,0.0,0,0,0,0,0,0,2011
149,Andre Smith,993.5,BUF,24,LB,76,30,0,0,0,0.0,0,1,0,3,0,0,0.0,27,18,9,1,0,0,2021
150,Andre Williams,1147.5,LAC,25,RB,24,0,0,0,0,0.0,0,0,0,0,0,0,0.0,3,2,1,0,0,0,2017
151,Andre Woolfolk,432.5,TEN,26,DB,39,12,3,32,0,8.0,18,1,0,1,8,0,0.0,136,108,28,2,0,0,2006
152,Andre' Davis,1210.5,NWE,26,WR,25,8,0,0,0,0.0,0,0,1,1,0,0,0.0,1,0,1,0,0,0,2005
153,Andre' Goodman,386.25,DET,27,LCB,43,21,5,19,0,5.75,28,1,0,2,35,0,0.0,133,115,18,2,0,0,2005
154,Andrew Billings,489.67,CIN,24,NT,47,37,0,0,0,0.0,0,0,0,0,0,0,3.5,80,49,31,14,12,0,2019
155,Andrew Brown,914.0,LAC,26,DT,23,1,0,0,0,0.0,0,0,0,0,0,0,1.0,18,12,6,1,3,0,2021
156,Andrew Gachkar,402.75,SDG,26,LILB,63,8,0,0,0,0.0,1,1,0,1,13,1,2.0,120,92,28,12,2,0,2014
157,Andrew Jackson,687.0,IND,22,LB,26,0,0,0,0,0.0,0,0,0,0,0,0,2.0,20,16,4,6,2,0,2014
158,Andrew Luck,1223.75,IND,26,QB,55,55,0,0,0,0.0,0,0,32,9,-33,0,0.0,0,0,0,0,0,0,2015
159,Andrew Pinnock,837.0,SDG,25,FB,28,0,0,0,0,0.0,0,0,0,0,0,0,0.0,8,8,0,0,0,0,2005
160,Andrew Quarless,1095.0,GNB,25,TE,39,15,0,0,0,0.0,0,0,1,0,0,0,0.0,3,3,0,0,0,0,2013
161,Andrew Thomas,1048.67,NYG,23,T,45,44,0,0,0,0.0,0,0,0,1,0,0,0.0,7,7,0,0,0,0,2022
162,Andrew Van Ginkel,336.75,MIA,27,LB,56,31,1,23,0,5.75,13,4,0,2,78,1,11.0,181,114,67,23,38,0,2022
163,Andrew Walter,1296.5,OAK,26,QB,14,9,0,0,0,0.0,0,0,15,4,-24,0,0.0,0,0,0,0,0,0,2008
164,Andrew Whitworth,1315.5,CIN,28,LT,32,32,0,0,0,0.0,0,0,0,3,0,0,0.0,0,0,0,0,0,0,2009
165,Andrew Williams,900.5,SFO,25,DE,9,3,0,0,0,0.0,1,0,0,0,0,0,0.0,12,10,2,1,0,0,2004
166,Andrus Peat,1260.0,NOR,22,LG,12,8,0,0,0,0.0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,2015
167,Andy Dalton,1170.0,CIN,27,QB,16,16,0,0,0,0.0,0,0,3,1,-5,0,0.0,0,0,0,0,0,0,2014
168,Andy Isabella,1189.25,2TM,26,0,41,3,0,0,0,0.0,0,0,1,1,0,0,0.0,6,3,3,0,0,0,2022
169,Andy Janovich,873.75,DEN,26,RB,50,19,0,0,0,0.0,0,0,0,0,0,0,0.0,17,14,3,0,0,0,2019
170,Andy Lee,1016.33,SFO,24,P,48,0,0,0,0,0.0,0,0,0,0,0,0,0.0,5,4,1,0,0,0,2006
171,Andy Levitre,1240.0,BUF,23,LG,16,16,0,0,0,0.0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,2009
172,Andy Studebaker,667.75,KAN,26,LOLB,54,7,2,96,0,23.5,4,2,0,2,-1,1,2.5,75,54,21,2,5,0,2011
173,Anfernee Jennings,555.0,NWE,25,LB,30,7,0,0,0,0.0,2,1,0,0,0,0,1.5,47,25,22,1,5,0,2022
174,Angelo Blackson,651.25,HOU,26,DT,54,6,0,0,0,0.0,5,1,0,1,0,0,3.5,57,38,19,5,8,0,2018
175,Angelo Crowell,467.5,BUF,25,RLB,49,25,4,3,0,0.5,13,3,0,0,0,0,5.0,220,147,73,12,2,0,2006
176,Anquan Boldin,1112.0,ARI,23,WR,16,16,0,0,0,0.0,0,0,3,1,0,0,0.0,0,0,0,0,0,0,2003
177,Anthony Adams,427.5,SFO,26,LDT,58,34,0,0,0,0.0,8,1,0,0,0,0,6.0,134,97,37,15,6,0,2006
178,Anthony Allen,570.0,BAL,24,RB,16,0,0,0,0,0.0,0,0,0,0,0,0,0.0,12,11,1,0,0,0,2012
179,Anthony Averett,439.0,BAL,27,LCB,44,21,3,21,0,5.25,22,0,0,0,0,0,0.0,101,87,14,1,0,0,2021
180,Anthony Barr,131.0,MIN,25,RLB,58,58,1,32,0,8.0,20,6,0,4,27,1,10.5,283,198,85,22,27,0,2017
181,Anthony Becht,954.67,NYJ,25,TE,46,40,0,0,0,0.0,0,0,1,0,0,0,0.0,5,3,2,0,0,0,2002
182,Anthony Brown,278.75,DAL,26,DB,56,33,4,17,0,4.25,32,3,0,0,0,0,3.0,172,136,36,8,5,0,2019
183,Anthony Bryant,907.5,DET,25,DT,8,3,0,0,0,0.0,0,0,0,1,0,0,0.0,11,5,6,0,0,0,2006
184,Anthony Cannon,762.0,DET,24,LB,32,0,0,0,0,0.0,0,0,0,1,0,0,0.0,23,17,6,0,0,0,2008
185,Anthony Castonzo,1134.0,IND,24,LT,16,16,0,0,0,0.0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,2012
186,Anthony Chickillo,575.0,PIT,26,DE,54,9,0,0,0,0.0,3,3,0,3,0,0,7.0,78,50,28,11,14,0,2018
187,Anthony Davis,1167.0,SFO,23,RT,48,48,0,0,0,0.0,0,0,0,5,0,0,0.0,0,0,0,0,0,0,2012
188,Anthony Denman,649.0,BUF,23,LB,27,0,0,0,0,0.0,0,0,0,0,0,0,0.0,23,19,4,0,0,0,2002
189,Anthony Dixon,740.0,SFO,26,RB,64,1,0,0,0,0.0,1,2,0,2,0,0,0.0,28,23,5,1,0,0,2013
190,Anthony Fasano,1158.0,DAL,23,TE,16,5,0,0,0,0.0,0,0,0,0,0,0,0.0,1,0,1,0,0,0,2007
191,Anthony Gaitor,751.5,TAM,24,DB,12,2,0,0,0,0.0,4,0,0,0,0,0,0.0,12,11,1,0,0,0,2012
192,Anthony Hargrove,1307.25,BUF,24,DE,57,19,0,0,0,0.0,0,1,0,2,0,0,10.5,0,0,0,0,0,0,2007
193,Anthony Henry,158.75,CLE,28,LCB,61,39,17,283,1,42.75,49,3,0,0,0,0,0.0,250,210,40,4,0,0,2004
194,Anthony Hitchens,141.25,DAL,25,MLB,60,48,1,8,0,2.0,8,2,0,0,0,0,3.5,304,193,111,21,14,0,2017
195,Anthony Maddox,757.25,HOU,29,DT,35,12,0,0,0,0.0,1,1,0,1,47,1,5.0,58,43,15,8,3,0,2007
196,Anthony Malbrough,449.0,CLE,24,DB,9,1,0,0,0,0.0,1,0,0,0,0,0,0.0,21,21,0,0,0,0,2000
197,Anthony McCoy,1237.0,SEA,24,TE,16,9,0,0,0,0.0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,2011
198,Anthony Miller,1103.33,CHI,26,WR,47,17,0,0,0,0.0,0,0,4,3,0,0,0.0,3,3,0,0,0,0,2020
199,Anthony Montgomery,629.0,WAS,25,NT,42,22,0,0,0,0.0,6,0,0,2,0,0,3.0,78,55,23,9,7,0,2009
200,Anthony Nelson,638.5,TAM,25,OLB,59,12,0,0,0,0.0,3,4,0,2,0,0,11.5,94,51,43,13,23,0,2022
