Player,Year,Pos,Rec_Tgt,Rec_Rec,Rec_Yds,Rec_Y/R,Rec_TD,Rec_Ctch%,Rec_Y/Tgt,Tkl_Tot,Tkl_Ast,Tkl_Comb,Tkl_TFL,Tkl_QBHits,F_Fmb,F_Fl,F_FF,F_FR,F_Yds,F_TD,OffSnap%,STSnap%
SpriJe00,2020,TE,3.0,1.0,6.0,6.0,0.0,33.3%,2.0,5.0,1.0,6.0,0.0,0.0,,,,,,,0.20124999999999998,0.51
SaubEr00,2020,TE,4,3,16,5.33,0,75.0%,4.00,1,1,2,0,0,,,,,,,0.16555555555555557,0.5411111111111111
HodgBu00,2020,TE,,,,,,,,,,,,,,,,,,,,
SchrMa00,2020,TE,,,,,,,,1.0,0.0,1.0,0.0,0.0,,,,,,,0.03071428571428572,0.38500000000000006
HowaO.00,2021,TE,21.0,14.0,135.0,9.64,1.0,66.7%,6.43,,,,,,,,,,,,0.31000000000000005,0.028235294117647056
EngrEv00,2021,TE,73,46,408,8.87,3,63.0%,5.59,,,,,,1,1,0,0,0,0,0.6588235294117648,0.0
NjokDa00,2021,TE,53,36,475,13.19,4,67.9%,8.96,2,0,2,0,0,0,0,0,1,0,0,0.6082352941176471,0.0
EverGe00,2021,TE,63,48,478,9.96,4,76.2%,7.59,,,,,,2,2,0,0,0,0,0.6635294117647058,0.0
ShahAd00,2021,TE,16,12,110,9.17,0,75.0%,6.88,,,,,,,,,,,,0.31941176470588234,0.11294117647058823
SmitJo01,2021,TE,45,28,294,10.50,1,62.2%,6.53,,,,,,1,0,0,2,0,0,0.48117647058823537,0.024705882352941178
RobeMi01,2021,TE,,,,,,,,,,,,,,,,,,,,
ButtJa00,2021,TE,,,,,,,,,,,,,,,,,,,,
KittGe00,2021,TE,94,71,910,12.82,6,75.5%,9.68,1,0,1,0,0,2,1,0,0,0,0,0.7564705882352941,0.011176470588235295
LeggJo00,2021,TE,,,,,,,,,,,,,,,,,,,,
SpriJe00,2021,TE,3.0,3.0,31.0,10.33,0.0,100.0%,10.33,2.0,0.0,2.0,0.0,0.0,,,,,,,0.15000000000000002,0.5176470588235295
SaubEr00,2021,TE,12.0,8.0,47.0,5.88,1.0,66.7%,3.92,1.0,0.0,1.0,0.0,0.0,,,,,,,0.2647058823529412,0.748235294117647
HodgBu00,2021,TE,,,,,,,,,,,,,,,,,,,,
SchrMa00,2021,TE,,,,,,,,,,,,,,,,,,,0.0,0.010588235294117647
HowaO.00,2022,TE,23,10,145,14.50,2,43.5%,6.30,,,,,,,,,,,,0.30411764705882355,0.06764705882352941
EngrEv00,2022,TE,98,73,766,10.49,4,74.5%,7.82,2,0,2,0,0,,,,,,,0.7747058823529412,0.0023529411764705885
NjokDa00,2022,TE,80,58,628,10.83,4,72.5%,7.85,,,,,,1,1,0,0,0,0,0.6941176470588236,0.0
EverGe00,2022,TE,87,58,555,9.57,4,66.7%,6.38,1,0,1,0,0,,,,,,,0.5535294117647059,0.0
ShahAd00,2022,TE,,,,,,,,,,,,,,,,,,,0.0,0.0
SmitJo01,2022,TE,38,27,245,9.07,0,71.1%,6.45,,,,,,1,0,0,1,0,0,0.39529411764705885,0.1211764705882353
RobeMi01,2022,TE,,,,,,,,,,,,,,,,,,,,
ButtJa00,2022,TE,,,,,,,,,,,,,,,,,,,,
KittGe00,2022,TE,86,60,765,12.75,11,69.8%,8.90,2,0,2,0,0,1,1,1,0,0,0,0.7905882352941177,0.007058823529411764
LeggJo00,2022,TE,,,,,,,,,,,,,,,,,,,,
SpriJe00,2022,TE,,,,,,,,,,,,,,,,,,,,
SaubEr00,2022,TE,24.0,15.0,148.0,9.87,1.0,62.5%,6.17,5.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.35058823529411764,0.6788235294117647
HodgBu00,2022,TE,,,,,,,,,,,,,,,,,,,,
SchrMa00,2022,TE,2,2,6,3.00,0,100.0%,3.00,,,,,,,,,,,,0.05294117647058823,0.0
