,Unnamed: 0.1,Unnamed: 0,Player,Tm,Pos,Rk,Age,G,GS,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds.1,Sk%,NY/A,ANY/A,4QC,GWD,Win,Loss,Att_R,Yds_R,TD_R,1D_R,Lng_R,Y/A_R,Y/G_R,Fmb_R,Year,Rookie,Vet,Con_Len,Con_Sal,Cap,%Cap,New_Con_Len,New_Perc_Cap,Con_Yrs_Lft
10,10,10,Andy Dalton,CIN,QB,-1.045224313,0.050315461,1.054301571,1.060683713,1.033962832,1.005105782,0.55867123,1.074077617,0.31514442,-0.346794635,0.09246883,-0.536503813,1.062401971,1.371597256,0.517819191,0.578459707,0.217646186,0.819316653,0.452760191,0.186733392,1.492906733,1.420166495,0.185562173,0.377321266,0.469488514,0.36932244,-0.298274993,0.317657198,1.307254917,0.966367317,0.711696293,1.91870184,1.158239572,0.23630847,0.609905027,0.357753232,1.29407322,2016,0,1,6,96000000,155270000,0.103046306,0,0.095808383,3
11,11,11,Jameis Winston,TAM,QB,-0.982788347,-1.534621547,1.054301571,1.060683713,0.905266257,1.022743514,-0.093163457,1.005092779,1.174629202,0.549986984,1.81430221,0.388109141,1.182472517,-0.896301418,0.241876069,0.12575211,0.43801295,0.728127251,0.084862655,0.583682231,1.057139362,1.15036284,-0.124665609,0.260788257,0.114954854,-0.200489325,0.775514982,1.052806714,0.698705214,1.261256155,0.566367006,0.009641718,0.698427171,0.145101692,0.27195392,0.244189882,1.560975822,2016,1,0,4,25351277,155270000,0.040818054,0,0.037951013,2
12,12,12,Eli Manning,NYG,QB,-0.920352382,1.408832895,1.054301571,1.060683713,1.122018383,1.159435941,0.274538161,0.967626876,1.002732246,0.233475825,1.469935534,0.13127221,0.882296154,0.763136636,-0.218029133,-0.132937945,-0.443454105,0.679409625,0.078408312,-0.177136378,0.040348831,0.103524661,-0.869212284,0.153219326,0.095616654,0.939134205,2.386199945,1.542906391,0.090155512,-0.086807104,-0.764543306,-0.626711656,-0.566056934,-0.584552531,-1.042300381,-0.787343887,0.760268017,2016,0,1,4,84000000,155270000,0.135248277,0,0.125748503,2
13,13,13,Derek Carr,OAK,QB,-0.857916416,-0.855362829,0.863892592,0.897965189,0.986548304,0.991877482,0.408247841,0.914104158,1.174629202,0.602738844,-0.251897846,-0.690605972,0.882296154,0.763136636,0.057913988,0.578459707,-0.223087341,0.814319974,0.769022985,0.396234168,-0.322790645,-0.576380548,-1.055348953,0.529710585,0.901374974,3.218381263,2.923094933,1.78795623,-0.518394191,0.67147848,-0.160279429,-0.626711656,-0.221197633,0.053894914,-0.216197677,-0.285772422,0.226462814,2016,1,0,4,5371801,155270000,0.008649129,5,0.149700599,1
14,14,14,Blake Bortles,JAX,QB,-0.79548045,-1.081782402,1.054301571,1.060683713,1.061056847,1.278490635,-0.410723946,0.895073858,0.744886811,-0.083035335,1.469935534,0.079904823,1.074409026,-0.564413807,-0.677934335,-0.520973028,-0.516909692,0.584472714,-0.386304365,-0.325992192,0.984511467,0.697092701,-0.310802278,-0.429445717,-0.368500138,-0.200489325,-0.298274993,-0.417492318,2.524354322,1.47189104,2.050255515,1.282348466,1.503098873,1.330789806,1.436007731,1.389287001,1.027170618,2016,1,0,4,20654810,155270000,0.033256279,0,0.030920374,1
15,15,15,Sam Bradford,MIN,QB,-0.733044485,0.050315461,0.863892592,0.897965189,1.243941454,0.956602017,1.711917215,0.878422345,0.487041376,-0.135787195,-0.424081184,-0.793340744,0.97835259,0.541878229,0.057913988,0.44911468,-1.104554395,0.764353178,0.936835896,0.230838818,1.202395152,1.549672249,0.030448282,0.000830007,0.392135716,-0.200489325,-0.298274993,0.562707037,1.002980066,-0.128934081,-0.290310896,-0.626711656,-0.451103833,1.057169472,0.121753429,-0.399335772,1.560975822,2016,0,1,2,36000000,155270000,0.115927095,0,0.107784431,1
16,16,16,Ben Roethlisberger,PIT,QB,-0.670608519,1.182413323,0.673483612,0.735246665,0.79011669,0.766996394,0.5085301,0.843929927,1.26057768,0.972001864,0.95338552,0.079904823,0.798246772,0.597192831,0.517819191,0.578459707,0.217646186,0.942984473,0.685116529,0.638814014,-0.25016275,0.092732515,-0.931257841,0.789668836,0.75956151,0.36932244,0.238619995,1.297856553,-0.21411934,-0.297441988,-0.58861838,0.009641718,-0.451103833,0.145101692,-0.554148784,-0.635926086,1.027170618,2016,0,1,4,87400000,155270000,0.140722612,0,0.130838323,2
17,17,17,Carson Wentz,PHI,QB,-0.608172554,-1.081782402,1.054301571,1.060683713,1.135565391,1.199120839,0.174255902,0.821926143,0.143247464,-0.663305795,1.125568858,-0.074197336,0.894303208,0.652507432,-0.677934335,-0.585645542,-0.95764322,0.488286632,-0.354032652,-0.122004594,0.911883572,0.86976704,-0.310802278,-0.474266105,-0.45874507,-0.200489325,-0.298274993,0.562707037,1.307254917,0.966367317,0.451633358,0.645995092,1.158239572,0.418722026,0.347054166,0.159017369,2.628586228,2016,1,0,4,26676338,155270000,0.042951533,0,0.039934638,3
18,18,18,Dak Prescott,DAL,QB,-0.545736588,-1.308201974,1.054301571,1.060683713,0.674967123,0.546524738,1.076796238,0.753536002,0.744886811,0.602738844,-0.596264522,-0.793340744,0.810253827,1.20565345,0.977724393,1.28985736,0.364557362,0.398346399,1.29827909,1.581567507,0.330860411,0.114316808,-0.310802278,1.049627086,1.326815367,2.078757734,1.849304957,2.033006068,-0.518394191,1.429764063,1.461289457,3.191408589,1.618051974,0.509928804,0.947856133,0.935033598,1.29407322,2016,1,0,4,2723393,155270000,0.004384931,0,0.004076936,3
19,19,19,Tom Brady,NWE,QB,-0.483300622,2.314511185,0.292665654,0.409809617,0.539497045,0.427470044,1.009941398,0.686335256,1.174629202,1.394016744,-0.940631198,-0.99881029,0.570112736,0.984395043,1.161686474,1.742564957,0.658379714,1.235290228,1.76944611,1.680804716,-0.39541854,-0.490043378,-0.869212284,1.47990281,1.93919169,-0.200489325,-0.298274993,1.542906391,-1.126943894,0.208081734,-0.206172888,-0.626711656,0.46852097,0.23630847,-0.028447063,-0.228990746,0.226462814,2016,0,1,2,41000000,155270000,0.13202808,0,0.122754491,1
