Player,Rk,Tm,Age,Pos,G,GS,Intcpt,IntYds,IntTD,Lng,PD,FF,Fmb,FR,FumYds,FumTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Year
Brandon Ghee,883.33,CIN,26,DB,23,0,0,0,0,0.0,5,0,0,0,0,0,0.0,17,13,4,0,0,0,2013
Brandon Harris,665.25,TEN,24,DB,42,0,0,0,0,0.0,10,0,0,0,0,0,0.0,48,38,10,0,0,0,2014
Brandon Harrison,410.0,HOU,23,SS,15,6,0,0,0,0.0,1,0,0,0,0,0,0.0,33,24,9,1,1,0,2008
Brandon Hogan,942.0,CAR,23,DB,3,0,0,0,0,0.0,0,0,0,0,0,0,0.0,3,2,1,0,0,0,2011
Brandon Hughes,657.0,PHI,26,DB,30,1,0,0,0,0.0,2,0,0,1,0,0,0.0,31,27,4,0,0,0,2012
Brandon McDonald,309.0,2TM,25,DB,56,29,8,185,1,34.25,37,2,0,1,-5,0,1.0,173,148,25,7,2,0,2010
Brandon McGee,729.5,STL,24,DB,17,0,0,0,0,0.0,0,0,0,0,0,0,0.0,18,14,4,0,0,0,2014
Brandon Meriweather,218.25,NWE,26,FS,64,40,12,213,1,28.5,27,5,0,1,0,0,2.0,263,183,80,11,2,0,2010
Brandon Taylor,821.0,SDG,22,DB,4,1,0,0,0,0.0,0,0,0,0,0,0,0.5,6,4,2,0,1,0,2012
Brandon Underwood,738.0,GNB,24,DB,23,0,0,0,0,0.0,0,0,0,0,0,0,0.0,21,15,6,2,0,0,2010
Brandyn Thompson,987.0,WAS,22,DB,6,0,0,0,0,0.0,0,0,0,1,0,0,0.0,2,2,0,0,1,0,2011
Brannon Condren,882.0,MIA,25,DB,12,0,0,0,0,0.0,0,0,0,0,0,0,0.0,9,6,3,1,1,0,2008
Brian Allen,980.67,SFO,27,DB,17,1,0,0,0,0.0,0,0,0,0,0,0,0.0,6,4,2,0,0,0,2020
Brian Williams,297.2,MIN,26,RCB,65,51,12,280,1,24.8,42,7,1,1,0,0,4.0,257,205,52,12,0,0,2005
Brice McCain,455.0,HOU,26,DB,56,6,4,134,1,31.0,26,0,0,0,0,0,0.5,92,81,11,0,3,0,2012
Brock Vereen,298.0,CHI,22,DB,16,4,1,0,0,0.0,1,1,0,0,0,0,0.0,39,30,9,2,0,0,2014
Brock Williams,812.5,OAK,25,DB,12,0,0,0,0,0.0,0,0,0,0,0,0,0.0,11,10,1,0,0,0,2004
Brodney Pool,207.5,CLE,24,FS,60,39,7,149,1,31.25,25,2,0,5,0,0,3.0,228,189,39,11,4,0,2008
Bruce Thornton,277.0,SFO,25,LCB,12,11,2,0,0,0.0,8,0,0,0,0,0,0.0,41,37,4,0,0,0,2005
Bryan Scott,214.5,NOR,25,DB,56,35,4,40,0,10.0,18,5,0,3,1,0,3.5,249,214,35,10,0,0,2006
Bryant McFadden,340.0,PIT,27,RCB,51,18,7,89,1,22.25,30,1,0,6,9,0,2.0,143,127,16,3,2,0,2008
Buster Skrine,199.5,CLE,25,RCB,64,37,6,44,0,10.0,47,0,0,1,0,0,1.0,235,196,39,5,2,0,2014
Byron Maxwell,620.5,SEA,26,RCB,47,17,6,29,0,6.75,26,3,0,4,12,0,0.0,82,68,14,1,0,0,2014
C.B. Bryant,1004.0,ARI,24,DB,3,0,0,0,0,0.0,0,0,0,0,0,0,0.0,2,1,1,0,0,0,2016
C.C. Brown,220.25,HOU,25,DB,50,47,3,14,0,3.5,16,4,0,4,19,0,1.0,256,197,59,5,2,0,2008
C.J. Wilson,772.4,CAR,25,DB,38,2,0,0,0,0.0,4,0,0,1,0,0,1.0,46,36,10,2,4,0,2010
Caleb Campbell,947.0,DET,26,DB,2,0,0,0,0,0.0,0,0,0,0,0,0,0.0,3,2,1,0,0,0,2010
Calvin Lowry,492.33,DEN,25,DB,43,14,2,18,0,5.67,14,1,0,0,0,0,0.0,93,68,25,0,0,0,2008
Calvin Pryor,404.75,JAX,25,DB,46,38,2,47,0,7.25,14,2,0,0,0,0,0.5,193,132,61,7,2,0,2017
Captain Munnerlyn,200.0,CAR,24,LCB,61,34,5,144,3,27.75,27,3,5,4,0,0,2.0,207,170,37,3,2,0,2012
Carey Scott,976.0,OAK,25,DB,5,0,0,0,0,0.0,0,0,0,0,0,0,0.0,2,2,0,0,0,0,2003
Carlos Rogers,226.0,WAS,27,RCB,50,41,6,148,1,29.25,52,3,0,1,0,0,0.0,209,181,28,6,0,0,2008
Cary Harris,952.5,BUF,23,DB,6,1,2,7,0,3.5,2,1,0,0,0,0,0.0,6,5,1,0,0,0,2010
Cary Williams,491.0,BAL,27,RCB,38,17,0,0,0,0.0,19,4,0,0,0,0,0.0,104,81,23,1,0,0,2011
Casey Hayward,322.5,GNB,26,DB,51,20,9,194,1,26.5,34,1,0,2,49,1,0.0,168,134,34,6,3,0,2015
Cedric Griffin,98.25,MIN,27,RCB,62,54,7,0,0,0.5,40,11,1,3,46,1,0.0,304,265,39,9,0,0,2009
Chad Williams,268.0,BAL,26,DB,64,5,8,320,3,64.5,24,5,0,4,2,0,4.5,177,154,23,15,0,0,2005
Charles Godfrey,139.5,CAR,26,SS,58,57,9,170,0,21.75,25,7,0,2,0,0,2.0,275,224,51,6,6,0,2011
Charles Mitchell,1054.0,ATL,23,DB,10,0,0,0,0,0.0,0,0,0,0,0,0,0.0,2,1,1,0,0,0,2012
Charles Tillman,100.5,CHI,25,LCB,53,49,14,231,1,35.0,47,8,0,3,44,1,2.0,308,270,38,10,1,0,2006
Charlie Peprah,842.5,ATL,26,DB,39,1,0,0,0,0.0,0,2,0,0,0,0,0.0,27,24,3,0,0,0,2009
Chevis Jackson,381.5,ATL,24,DB,31,3,1,95,1,47.5,7,1,0,1,0,0,1.0,60,52,8,3,2,0,2009
Chimdi Chekwa,616.25,OAK,26,DB,32,4,0,0,0,0.0,4,1,0,1,0,0,0.0,51,44,7,2,1,0,2014
Chip Vaughn,1148.0,IND,25,DB,3,0,0,0,0,0.0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,2010
Chris Cash,348.67,ATL,25,DB,30,17,2,11,0,3.67,16,2,1,2,0,0,0.0,144,126,18,5,0,0,2005
Chris Conte,209.0,CHI,25,FS,57,52,9,124,0,18.75,21,2,0,1,0,0,0.0,230,179,51,4,0,0,2014
Chris Cook,376.75,MIN,26,RCB,34,29,0,0,0,0.0,14,0,0,0,0,0,1.0,123,101,22,3,1,0,2013
Chris Crocker,224.75,ATL,26,FS,60,38,4,83,1,18.0,18,2,0,1,0,0,5.0,223,168,55,9,1,0,2006
Chris Culliver,215.0,SFO,26,RCB,46,20,7,88,0,18.67,33,2,0,2,35,1,0.0,129,113,16,0,0,0,2014
Chris Gamble,127.25,CAR,24,LCB,61,56,17,205,2,23.5,45,3,3,4,0,0,1.0,264,230,34,11,1,0,2007
Chris Greenwood,713.0,DET,24,DB,3,0,0,0,0,0.0,0,0,0,0,0,0,0.0,6,6,0,0,0,0,2013
Chris Harris,127.75,CAR,26,SS,56,51,7,109,0,26.5,21,10,1,6,54,0,1.0,278,229,49,9,0,0,2008
Chris Hope,245.0,PIT,25,FS,62,32,4,101,0,24.0,11,2,0,2,6,0,0.0,249,179,70,3,0,0,2005
Chris Horton,414.33,WAS,26,DB,29,15,3,13,0,3.33,8,1,0,2,5,0,1.0,122,91,31,8,3,0,2010
Chris Houston,165.5,DET,26,LCB,59,52,4,14,1,3.5,46,2,0,2,4,0,0.0,221,197,24,3,0,0,2010
Chris Johnson,218.0,STL,26,DB,13,1,0,0,0,0.0,4,1,2,1,0,0,0.0,45,42,3,3,0,0,2005
Chris Owens,385.5,ATL,26,DB,59,12,3,26,0,6.5,12,1,0,1,0,0,1.0,126,100,26,3,2,0,2012
Chris Prosinski,479.5,2TM,27,DB,56,9,1,6,0,1.0,6,0,0,1,0,0,0.0,100,78,22,1,0,0,2014
Chris Roberson,1088.5,DET,25,DB,7,0,0,0,0,0.0,0,0,0,0,0,0,0.0,3,2,1,0,0,0,2008
Chris Rucker,363.0,IND,23,DB,15,4,0,0,0,0.0,2,0,0,1,-1,0,0.0,37,26,11,1,0,0,2011
Chris Thompson,766.0,CHI,23,DB,12,1,0,0,0,0.0,0,0,0,1,0,0,0.0,10,7,3,0,0,0,2005
Chris Young,978.0,DEN,24,DB,21,0,0,0,0,0.0,0,0,0,0,0,0,0.0,8,5,3,0,0,0,2004
Christian Morton,799.33,CAR,25,DB,14,3,1,8,0,2.67,4,0,0,1,14,0,0.0,23,18,5,0,0,0,2006
Chuck Clark,321.5,BAL,25,SS,63,30,3,17,0,4.25,16,4,1,3,66,1,2.5,203,130,73,5,7,0,2020
Chykie Brown,525.75,2TM,28,DB,54,6,0,0,0,0.0,9,0,0,0,0,0,0.0,80,66,14,1,0,0,2014
Cody Grimm,560.0,TAM,25,DB,23,12,2,24,1,4.33,3,1,0,0,0,0,0.0,73,56,17,0,0,0,2012
Colin Branch,454.33,CAR,26,DB,48,19,4,79,0,25.33,9,0,0,0,0,0,0.0,86,67,19,2,0,0,2006
Colin Jones,621.25,CAR,27,DB,60,2,0,0,0,0.0,3,1,0,2,0,0,1.0,54,43,11,4,2,0,2014
Cooper Taylor,810.0,NYG,25,DB,16,0,0,0,0,0.0,0,0,0,0,0,0,0.0,15,9,6,2,0,0,2015
Corey Graham,341.75,CHI,25,DB,61,10,1,6,0,1.5,9,1,0,1,0,0,0.0,163,142,21,3,1,0,2010
Corey Lynch,620.75,TAM,26,DB,52,8,3,20,0,5.0,8,0,0,0,0,0,0.0,72,52,20,4,3,0,2011
Corey Webster,307.5,NYG,26,RCB,57,31,5,99,1,22.75,44,6,0,2,4,0,2.0,150,141,9,4,1,0,2008
Corey White,393.75,2TM,25,DB,51,20,4,45,0,11.25,18,2,2,2,0,0,1.0,131,110,21,4,5,0,2015
Cortez Allen,284.5,PIT,26,LCB,55,18,6,76,1,18.25,34,3,0,2,21,0,0.0,162,135,27,4,9,0,2014
Cortland Finnegan,100.75,TEN,25,RCB,61,47,11,308,2,48.25,48,2,1,3,92,1,4.0,297,247,50,9,4,0,2009
Cory Bird,446.0,IND,26,DB,45,8,0,0,0,0.0,1,1,0,0,0,0,0.5,114,90,24,1,0,0,2004
Coty Sensabaugh,282.25,TEN,27,RCB,59,27,2,42,1,6.5,23,0,0,3,0,0,1.0,169,131,38,2,1,0,2015
Courtney Brown,784.0,DAL,24,DB,17,1,0,0,0,0.0,0,0,0,1,0,0,0.0,13,10,3,0,0,0,2008
Courtney Greene,540.67,JAX,25,DB,30,13,1,8,0,2.67,4,1,0,1,0,0,0.0,93,70,23,2,0,0,2011
Coy Wire,455.5,BUF,27,DB,57,19,0,0,0,0.0,3,1,0,1,0,0,5.0,160,117,43,10,0,0,2005
Coye Francies,895.33,OAK,26,DB,23,0,0,0,0,0.0,1,0,0,0,0,0,0.0,10,8,2,0,0,0,2012
Craig Steltz,560.75,CHI,25,SS,48,7,1,44,0,11.0,2,2,0,1,0,0,1.0,86,72,14,2,1,0,2011
Crezdon Butler,898.0,SDG,26,DB,24,0,0,0,0,0.0,0,2,0,0,0,0,0.0,8,7,1,0,0,0,2013
Curry Burns,710.0,WAS,25,DB,10,2,1,12,0,6.0,1,0,0,0,0,0,0.0,31,26,5,3,0,0,2006
Curtis Brown,552.67,PIT,25,DB,34,0,0,0,0,0.0,1,1,0,0,0,0,0.0,49,41,8,1,1,0,2013
Curtis Fuller,611.33,GNB,25,DB,35,2,1,3,0,1.0,5,0,0,0,0,0,0.0,61,41,20,0,0,0,2003
Curtis Marsh,770.0,PHI,24,DB,22,0,0,0,0,0.0,2,0,2,0,0,0,0.0,14,13,1,0,0,0,2012
Curtis Taylor,922.5,SFO,25,DB,12,0,0,0,0,0.0,0,0,0,0,0,0,0.0,7,6,1,0,0,0,2010
D.J. Campbell,715.5,MIA,24,DB,9,4,0,0,0,0.0,1,0,0,0,0,0,0.0,15,13,2,1,0,0,2013
D.J. Hayden,221.5,OAK,26,DB,45,25,3,0,0,0.0,26,3,0,0,0,0,1.0,179,160,19,6,0,0,2016
D.J. Moore,293.67,CHI,25,DB,42,3,10,128,2,25.33,22,1,1,0,0,0,1.0,118,95,23,8,6,0,2012
D.J. Swearinger,205.75,ARI,25,DB,59,35,6,44,0,9.25,19,5,0,3,12,0,3.0,229,179,50,11,6,0,2016
Da'Norris Searcy,259.5,BUF,26,SS,62,23,5,102,1,16.0,13,3,0,3,74,1,4.0,209,144,65,10,7,0,2014
DaJuan Morgan,691.0,IND,25,DB,30,2,0,0,0,0.0,0,0,0,2,0,0,0.0,42,40,2,3,1,0,2010
Daimion Stafford,415.5,TEN,25,SS,62,8,2,37,0,9.25,10,1,0,2,0,0,3.0,117,94,23,7,6,0,2016
Damen Wheeler,689.0,JAX,24,DB,5,0,0,0,0,0.0,0,0,0,0,0,0,0.0,10,8,2,0,0,0,2001
Danieal Manning,156.0,CHI,27,FS,61,40,6,136,0,31.25,19,7,2,4,4,0,2.0,273,220,53,4,4,1,2009
Daniel Bullocks,100.5,DET,25,SS,31,22,0,0,0,0.0,4,3,0,1,44,1,1.0,169,119,50,3,1,0,2008
Dante Hughes,605.0,SDG,25,DB,37,1,1,16,0,4.0,4,1,0,0,0,0,0.0,63,55,8,1,1,0,2010
Dante Wesley,553.0,CAR,26,DB,58,2,0,0,0,0.0,12,3,0,2,0,0,1.0,71,63,8,1,0,0,2005
Darcel McBath,713.25,SFO,27,DB,37,1,2,28,0,6.25,4,0,0,1,8,0,0.0,52,44,8,0,0,0,2012
Daren Stone,804.5,BAL,23,DB,20,0,0,0,0,0.0,1,0,0,1,0,0,0.0,14,12,2,0,0,0,2008
Darius Butler,361.75,IND,26,DB,53,18,7,192,3,35.5,28,1,0,2,0,0,0.0,121,104,17,0,0,0,2012
Darius Slay,199.0,DET,25,LCB,58,49,6,66,0,13.25,48,1,0,0,0,0,1.0,198,166,32,3,1,0,2016
Darnell Bing,980.0,DET,25,DB,5,0,0,0,0,0.0,0,0,0,1,0,0,0.0,5,4,1,0,0,0,2009
Darqueze Dennard,350.75,CIN,26,DB,55,10,3,119,1,24.75,11,1,0,0,0,0,3.0,169,121,48,3,3,0,2017
Darrell Stuckey,592.67,SDG,26,DB,42,0,0,0,0,0.0,1,2,0,3,7,0,0.0,45,35,10,0,0,0,2013
Darrelle Revis,197.75,NYJ,25,LCB,61,61,14,179,2,29.5,74,1,0,5,10,0,1.0,232,194,38,2,3,0,2010
Darrent Williams,96.5,DEN,24,RCB,27,23,6,145,2,55.5,19,2,5,4,12,0,1.0,140,125,15,5,0,0,2006
Darrick Vaughn,462.33,HOU,25,DB,48,0,1,0,0,0.0,5,0,4,3,0,0,0.0,79,63,16,3,0,0,2003
Dashon Goldson,306.5,SFO,26,FS,51,34,5,78,1,18.25,15,4,0,1,0,0,3.0,210,168,42,3,3,0,2010
Daven Holly,510.33,CLE,25,LCB,32,18,5,127,1,19.0,18,1,0,2,43,1,0.0,108,100,8,3,0,0,2007
David Amerson,124.25,OAK,25,LCB,62,50,8,73,2,17.25,59,2,0,0,0,0,0.0,233,203,30,3,1,0,2016
David Barrett,215.25,ARI,26,RCB,62,39,6,95,0,17.5,29,5,0,2,21,0,0.0,235,194,41,4,0,0,2003
David Bruton,559.25,DEN,25,DB,61,4,1,-2,0,-0.5,6,1,0,2,0,0,0.0,66,58,8,4,2,0,2012
David Gibson,522.75,TAM,26,DB,47,9,1,0,0,0.0,5,0,0,1,0,0,1.0,111,77,34,7,0,0,2003
David Irons,735.5,ATL,26,DB,20,0,0,0,0,0.0,0,0,0,1,4,0,0.0,17,16,1,0,0,0,2008
David Jones,571.75,JAX,25,LCB,49,12,1,0,0,0.0,10,1,0,1,12,0,0.0,90,76,14,0,0,0,2010
David Macklin,250.75,IND,25,DB,64,37,7,80,0,19.0,37,2,1,1,0,0,0.5,195,165,30,6,0,0,2003
David Pittman,691.0,BAL,24,DB,7,1,2,21,0,29.0,3,0,1,0,0,0,0.0,10,9,1,0,0,0,2007
David Young,798.0,NYJ,24,DB,5,0,0,0,0,0.0,0,0,0,0,0,0,0.0,5,5,0,0,0,0,2003
Davon House,512.75,GNB,25,DB,40,14,2,11,0,2.75,25,1,0,0,0,0,2.0,98,84,14,3,2,0,2014
Dawan Landry,253.5,BAL,27,SS,50,48,9,190,2,21.25,25,1,0,0,0,0,4.0,252,194,58,12,5,0,2009
DeAngelo Hall,180.25,ATL,24,LCB,57,55,17,438,2,51.5,48,3,3,5,167,2,0.5,230,202,28,6,0,0,2007
DeAngelo Smith,672.0,DET,23,DB,7,1,0,0,0,0.0,1,0,0,0,0,0,0.0,16,10,6,0,0,0,2009
DeJon Gomes,466.0,DET,24,DB,46,8,1,49,0,16.33,6,0,0,1,13,0,0.0,84,55,29,3,6,0,2013
DeJuan Groce,365.25,NOR,26,DB,54,20,3,7,0,1.75,17,2,5,1,0,0,0.0,125,116,9,7,0,0,2006
DeMarcus Van Dyke,925.0,PIT,24,DB,25,4,1,2,0,0.67,4,0,0,1,0,0,0.0,17,14,3,1,0,0,2013
Dee Milliner,739.33,NYJ,24,DB,21,14,3,31,0,6.33,19,0,0,0,0,0,0.0,63,50,13,1,0,0,2015
Dee Webb,548.0,JAX,22,DB,11,1,1,1,0,1.0,2,0,1,0,0,0,0.0,17,15,2,0,0,0,2006
Deltha O'Neal,330.25,DEN,26,RCB,61,36,15,191,2,19.0,39,1,12,4,6,0,0.0,177,152,25,3,0,0,2003
Demarcus Faggins,501.5,HOU,26,LCB,39,13,3,47,1,10.75,22,0,0,0,0,0,0.0,113,98,15,0,0,0,2005
Demetri Goodson,703.0,GNB,27,DB,26,3,0,0,0,0.0,2,0,0,0,0,0,0.0,30,22,8,0,1,0,2016
Demetrius McCray,404.0,JAX,24,DB,46,16,0,0,0,0.0,6,0,0,1,0,0,0.0,86,72,14,1,0,0,2015
Deon Grant,115.67,CAR,24,FS,48,48,11,137,0,26.0,41,1,0,2,0,0,2.0,216,178,38,7,0,0,2003
Derek Combs,802.0,GNB,24,DB,12,0,0,0,0,0.0,0,0,0,0,0,0,0.0,8,8,0,0,0,0,2003
Derek Cox,229.5,JAX,26,RCB,47,45,12,38,0,9.0,32,1,1,1,5,0,0.0,203,170,33,4,0,0,2012
Derek Pagel,772.5,NYJ,25,DB,19,0,0,0,0,0.0,0,0,0,0,0,0,0.0,15,13,2,0,0,0,2004
Derek Ross,486.33,MIN,24,DB,33,9,6,17,0,4.0,12,1,2,0,0,0,0.0,84,75,9,2,0,0,2004
Derrick Gibson,278.0,OAK,24,SS,47,25,3,25,0,6.67,13,1,1,1,0,0,1.0,150,123,27,5,0,0,2003
Derrick Martin,674.75,GNB,24,DB,42,4,2,3,0,0.75,7,0,0,1,0,0,0.0,71,57,14,0,0,0,2009
Derrick Strait,572.0,3TM,26,DB,29,5,0,0,0,0.0,1,0,0,1,0,0,0.0,71,56,15,2,0,0,2006
Desmond Trufant,204.75,ATL,26,RCB,57,57,7,28,0,7.0,48,3,0,4,54,1,3.0,204,168,36,4,4,0,2016
Devin McCourty,91.5,NWE,26,FS,61,61,15,201,0,30.5,52,6,1,1,44,0,1.0,320,245,75,12,1,0,2013
Dexter McDougle,913.0,2TM,26,DB,29,0,0,0,0,0.0,1,0,0,0,0,0,0.0,13,9,4,0,0,0,2017
Dexter Reid,637.33,IND,25,DB,39,3,0,0,0,0.0,4,2,0,2,0,0,0.0,46,35,11,0,0,0,2006
Dexter Wynn,660.5,HOU,26,DB,45,1,0,0,0,0.0,13,0,9,5,0,0,1.0,56,43,13,2,0,0,2007
Dezmen Southward,800.5,ATL,25,DB,19,0,1,-5,0,-2.5,2,0,0,0,0,0,1.0,24,17,7,1,2,0,2015
Dominique Barber,646.0,HOU,25,DB,39,7,1,3,0,0.75,5,0,0,2,48,1,1.0,57,48,9,1,2,0,2011
Dominique Franks,853.25,ATL,26,DB,48,4,3,40,0,10.0,9,0,1,0,0,0,0.0,30,22,8,0,3,0,2013
Dominique Rodgers-Cromartie,246.25,PHI,25,DB,61,46,13,320,4,45.0,67,3,2,1,0,0,1.0,165,155,10,4,1,0,2011
Domonique Foxworth,212.75,ATL,25,LCB,60,28,4,69,0,17.25,37,3,0,2,9,0,0.0,212,179,33,2,1,0,2008
Don Carey,408.67,DET,25,SS,29,16,3,58,0,11.67,7,0,0,0,0,0,0.0,105,76,29,5,2,0,2012
Don Jones,650.5,2TM,26,DB,56,0,0,0,0,0.0,0,1,0,0,0,0,0.0,40,35,5,0,0,0,2016
Donald Strickland,578.5,SFO,26,DB,22,15,2,43,0,6.0,6,2,0,0,0,0,0.0,92,68,24,0,0,0,2006
Donald Washington,605.33,KAN,25,DB,32,5,0,0,0,0.0,2,1,0,0,0,0,0.0,52,40,12,1,3,0,2011
Donnie Nickey,637.0,TEN,26,DB,59,6,0,0,0,0.0,1,0,1,1,-2,0,0.0,73,53,20,4,0,0,2006
Dontae Johnson,318.5,SFO,26,RCB,63,22,2,70,2,17.5,21,0,0,2,0,0,0.0,158,135,23,4,5,0,2017
Donte Nicholson,788.5,TAM,27,DB,14,0,0,0,0,0.0,0,0,0,0,0,0,0.0,11,11,0,0,0,0,2008
Donte Whitner,130.25,BUF,24,SS,53,50,4,143,1,28.75,12,2,0,0,0,0,1.0,313,228,85,10,3,0,2009
Drayton Florence,275.25,SDG,26,RCB,58,33,8,87,0,18.0,37,0,2,0,0,0,0.0,176,152,24,4,0,0,2006
Dre Kirkpatrick,415.25,CIN,26,LCB,51,20,6,53,2,12.75,28,0,0,1,9,0,1.0,127,110,17,1,1,0,2015
Drew Coleman,561.25,NYJ,26,DB,51,5,1,1,0,0.25,14,0,0,0,0,0,2.0,86,63,23,4,3,0,2009
Duke Williams,544.25,2TM,26,DB,58,10,1,34,0,8.5,5,1,0,3,22,1,1.0,91,73,18,4,7,0,2016
Dunta Robinson,128.5,HOU,25,LCB,57,57,11,162,1,20.25,48,5,0,1,0,0,4.0,294,243,51,9,1,0,2007
Duron Harmon,488.5,NWE,25,DB,63,12,7,154,0,33.0,12,1,0,2,-1,0,0.0,92,70,22,0,0,0,2016
Dustin Fox,928.0,BUF,26,DB,12,0,0,0,0,0.0,0,0,0,0,0,0,0.0,7,7,0,0,0,0,2008
Dwayne Goodrich,685.0,DAL,24,DB,11,1,0,0,0,0.0,1,0,0,0,0,0,0.0,8,8,0,1,0,0,2002
Dwayne Gratz,430.25,2TM,26,DB,43,25,3,75,1,18.0,12,2,0,0,0,0,0.0,119,91,28,1,0,0,2016
Dwight Lowery,360.25,JAX,25,SS,56,29,9,154,2,26.25,40,5,0,4,25,0,3.0,143,120,23,6,4,0,2011
Dwight Smith,206.25,TAM,26,SS,63,34,12,55,0,12.75,34,6,3,2,0,0,0.0,232,201,31,6,0,0,2004
E.J. Biggers,145.67,TAM,25,LCB,45,24,3,0,0,0.0,28,2,0,0,0,0,1.0,168,145,23,3,1,0,2012
E.J. Gaines,112.67,BUF,25,RCB,37,36,3,1,0,0.33,30,4,0,3,0,0,0.0,185,158,27,3,3,0,2017
Earl Thomas,86.75,SEA,24,FS,64,64,15,176,1,28.25,31,5,0,3,0,0,0.0,345,253,92,9,5,0,2013
Earl Wolff,507.5,PHI,25,DB,18,7,1,0,0,0.0,6,0,0,0,0,0,0.0,52,43,9,1,1,0,2014
Ed Reed,145.5,BAL,27,SS,58,57,22,680,2,60.5,53,4,3,2,44,1,4.0,271,227,44,19,0,0,2005
Ed Reynolds,395.5,CLE,25,FS,16,10,1,7,0,3.5,2,0,0,0,0,0,1.0,64,46,18,2,3,0,2016
Ellis Hobbs,234.0,NWE,25,RCB,63,49,9,87,0,20.5,41,1,3,5,47,1,2.5,201,165,36,6,2,0,2008
Ellis Lankster,602.67,NYJ,25,DB,32,1,2,0,0,0.0,7,2,0,2,0,0,1.0,50,44,6,2,2,0,2012
Eric Berry,46.67,KAN,25,SS,47,47,8,236,3,34.33,30,3,0,2,24,0,5.5,252,216,36,26,13,0,2013
Eric Frampton,621.0,MIN,26,DB,60,0,0,0,0,0.0,0,2,0,0,0,0,0.0,59,46,13,1,0,0,2010
Eric Green,266.0,ARI,26,RCB,51,33,2,14,0,3.5,32,2,0,2,0,0,0.0,169,152,17,3,1,0,2008
Eric Hagg,523.5,CLE,23,DB,22,4,0,0,0,0.0,2,0,0,1,0,0,0.0,33,30,3,0,2,0,2012
Eric Kelly,295.0,MIN,26,DB,48,23,3,33,0,14.0,9,1,0,0,0,0,0.0,161,136,25,2,0,0,2003
Eric King,613.5,TEN,26,DB,52,3,0,0,0,0.0,7,0,0,0,0,0,0.0,63,55,8,5,0,0,2008
Eric Pinkins,1112.5,NYG,25,DB,11,0,0,0,0,0.0,0,0,0,0,0,0,0.0,3,2,1,0,1,0,2016
Eric Reid,132.0,SFO,25,FS,57,57,8,205,0,34.75,30,2,0,2,0,0,1.0,251,204,47,1,8,0,2016
Eric Smith,405.25,NYJ,26,DB,55,14,4,7,0,1.75,17,0,0,2,0,0,0.0,149,103,46,6,3,0,2009
Eric Weddle,84.25,SDG,25,FS,60,45,6,111,2,18.75,28,0,0,1,86,1,4.0,359,296,63,17,7,0,2010
Eric Wright,137.75,CLE,25,LCB,59,55,9,205,1,35.25,47,2,1,4,9,0,1.0,249,225,24,8,5,0,2010
Erik Coleman,122.5,NYJ,25,DB,63,49,7,50,0,11.0,23,0,0,1,0,0,2.0,372,255,117,8,1,0,2007
Erik Olson,756.0,JAX,23,DB,14,0,0,0,0,0.0,0,0,0,0,0,0,0.0,7,5,2,0,0,0,2000
Etric Pruitt,866.5,SEA,24,DB,9,0,0,0,0,0.0,1,0,0,0,0,0,0.0,9,9,0,0,0,0,2005
Eugene Wilson,247.5,NWE,26,DB,51,49,9,69,0,8.5,25,2,0,3,0,0,0.0,223,170,53,2,1,0,2006
Fabian Washington,288.75,BAL,25,LCB,57,40,6,16,0,4.75,43,1,0,1,0,0,0.0,154,140,14,0,0,0,2008
Frank Walker,648.25,NYG,26,DB,41,9,5,165,1,34.25,9,1,0,0,0,0,0.0,71,62,9,1,0,0,2006
Fred Bennett,476.5,2TM,27,DB,49,17,5,73,0,14.0,21,4,0,1,0,0,0.0,125,106,19,1,0,0,2010
Fred Smoot,202.75,WAS,25,RCB,60,59,16,100,0,25.0,48,3,0,2,0,0,0.0,214,185,29,7,0,0,2004
Gary Baxter,231.5,BAL,26,RCB,54,46,5,74,0,16.75,42,2,1,0,0,0,3.0,255,217,38,14,0,0,2004
George Iloka,446.25,CIN,25,SS,51,44,5,57,0,6.75,20,2,0,1,0,0,0.0,189,124,65,4,3,0,2015
Gerald Alexander,413.0,2TM,26,DB,41,30,4,93,0,14.5,14,3,0,4,43,0,2.0,159,121,38,3,2,0,2010
Gerald Sensabaugh,453.75,JAX,25,SS,50,24,6,46,0,7.75,13,1,0,3,0,0,0.0,141,118,23,4,0,0,2008
Gerome Sapp,497.0,BAL,25,DB,58,3,0,1,0,0.25,1,0,0,1,0,0,0.0,95,79,16,0,0,0,2006
Gibril Wilson,68.0,NYG,26,FS,52,51,11,112,0,23.25,27,6,1,3,0,0,6.0,365,296,69,14,4,0,2007
Glenn Earl,282.0,HOU,25,SS,37,31,3,4,0,1.33,10,1,0,0,0,0,2.0,154,118,36,9,2,0,2006
Glover Quin,88.25,HOU,26,FS,63,60,5,34,0,8.0,47,3,0,3,3,0,1.0,314,250,64,14,2,0,2012
Greg Blue,680.0,DET,25,DB,20,2,0,0,0,0.0,1,0,0,1,0,0,0.0,23,18,5,2,0,0,2007
Greg Brooks,927.0,CIN,26,DB,16,0,0,0,0,0.0,0,0,0,0,0,0,0.0,9,7,2,0,0,0,2006
Greg Toler,352.33,ARI,27,DB,38,15,5,168,2,56.0,20,2,1,1,0,0,1.0,128,118,10,3,1,0,2012
