Player,Rk,Tm,Age,Pos,G,GS,Intcpt,IntYds,IntTD,Lng,PD,FF,Fmb,FR,FumYds,FumTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Year
T.J. Ward,132.5,CLE,27,SS,54,54,5,133,1,26.0,22,5,0,1,51,1,3.5,342,248,94,17,6,0,2013
Tanard Jackson,262.0,TAM,25,DB,46,46,8,137,2,21.5,24,5,0,5,21,0,1.0,204,180,24,6,1,0,2010
Tank Williams,178.5,TEN,25,SS,57,57,5,14,0,3.5,19,3,0,3,33,0,3.5,266,197,69,8,0,0,2005
Tarell Brown,488.0,SFO,25,DB,55,5,5,115,1,28.5,16,0,0,0,0,0,0.0,111,97,14,0,1,0,2010
Taurean Nixon,1086.0,DEN,25,DB,2,0,0,0,0,0.0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,2016
Tavon Wilson,574.5,NWE,25,DB,54,4,5,161,1,29.75,10,0,0,2,0,0,0.0,79,60,19,1,2,0,2015
Tay Cody,595.0,SDG,26,DB,19,11,2,3,0,1.0,5,0,0,1,0,0,0.0,73,65,8,1,0,0,2003
Taylor Mays,524.25,CIN,25,DB,50,10,0,0,0,0.0,6,1,0,2,0,0,0.0,89,64,25,1,0,0,2013
Terence Newman,104.75,DAL,28,LCB,64,64,12,82,0,17.5,64,3,4,5,0,0,2.0,269,242,27,11,0,0,2006
Terrance Mitchell,415.33,KAN,25,RCB,30,11,5,38,0,0.0,27,1,0,0,0,0,1.0,85,75,10,0,1,0,2017
Terreal Bierria,383.5,SEA,24,SS,29,12,1,10,0,5.0,5,1,0,0,0,0,0.0,91,63,28,1,0,0,2004
Terrell Thomas,111.67,NYG,25,RCB,44,34,11,156,1,24.67,38,6,0,2,0,0,2.0,231,190,41,13,5,0,2010
Terrence Brooks,653.0,NYJ,25,DB,49,1,3,19,0,4.75,7,2,0,1,0,0,0.0,45,37,8,1,5,0,2017
Terrence Frederick,713.0,NOR,24,DB,5,3,0,0,0,0.0,0,0,0,0,0,0,0.0,19,17,2,2,0,0,2014
Terrence Holt,345.0,DET,26,FS,53,27,8,101,0,22.0,15,3,1,5,38,0,0.5,174,128,46,2,2,0,2006
Terrence Kiel,147.5,SDG,26,SS,59,51,4,46,0,11.5,22,2,0,3,6,0,2.0,278,218,60,7,0,0,2006
Terrence McGee,145.75,BUF,26,LCB,60,43,9,123,1,17.5,47,3,5,4,106,1,3.0,276,228,48,8,0,0,2006
Terrence Wheatley,990.5,NWE,24,DB,11,1,0,0,0,0.0,2,0,0,0,0,0,0.0,4,4,0,0,0,0,2009
Than Merrill,714.0,CHI,24,DB,15,0,0,0,0,0.0,0,0,0,0,0,0,0.0,7,7,0,0,0,0,2001
Tharold Simon,712.0,ARI,25,DB,19,5,1,0,0,0.0,3,0,0,0,0,0,0.0,19,15,4,0,1,0,2016
Thomas DeCoud,264.5,ATL,26,FS,58,47,8,102,0,16.0,17,4,1,1,0,0,2.0,235,186,49,5,5,0,2011
Tim Jennings,353.75,IND,26,LCB,53,21,4,22,0,4.75,20,3,1,2,0,0,0.0,161,132,29,6,0,0,2009
Tim Wansley,136.0,TAM,25,RCB,12,6,2,38,1,23.0,7,1,1,1,0,0,0.0,62,57,5,0,0,0,2003
Todd Franz,675.67,WAS,27,DB,25,1,0,0,0,0.0,1,0,0,1,0,0,0.0,48,36,12,1,0,0,2003
