Player,Rk,Age,G,GS,Win,Loss,Tie,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds.1,Sk%,NY/A,ANY/A,4QC,GWD,Lng_R,Fmb,Att_R,Yds_R,TD_R,1D_R,Y/A_R,Y/G_R,Rnd,Pick,Year,ConLenR,ConSalR,ConLen,ConSal,FTag,PPY,%Cap
Dwayne Haskins,35.0,23.0,16.0,13.0,3.0,10.0,0.0,267.0,444.0,60.0,2804.0,12.0,2.75,14.0,3.15,138.0,62.5,6.35,5.5,10.6,178.65,74.55,49.0,345.0,10.1,4.98,4.2,2.0,2.0,21.0,12.0,40.0,147.0,1.0,13.0,3.7,8.9,1.0,15.0,2019.0,4.0,14.416,1.0,2.54,0.0,2.54,0.0
EJ Manuel,42.75,26.0,28.0,17.0,6.0,11.0,0.0,319.0,547.0,55.25,3502.0,19.0,2.75,15.0,2.2,162.0,54.5,6.12,5.67,11.18,116.67,73.7,43.0,268.0,7.45,5.2,4.79,1.0,3.0,12.75,11.0,94.0,324.0,4.0,34.0,3.35,10.45,1.0,16.0,2013.0,4.0,8.885,1.0,0.8,0.0,0.8,0.0048
Easton Stick,100.0,25.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,83.3,0.0,0.0,0.0,4.0,4.0,0.0,0.0,-2.0,0.0,1.0,-2.0,0.0,0.0,-2.0,-2.0,5.0,166.0,2019.0,4.0,2.797,0.0,0.0,0.0,0.0,0.0
Eli Manning,16.0,26.0,57.0,55.0,30.0,25.0,0.0,987.0,1805.0,53.7,11385.0,77.0,4.05,64.0,3.73,555.0,61.25,6.15,5.28,11.45,190.57,70.55,93.0,670.0,5.12,5.47,4.66,7.0,8.0,14.0,34.0,89.0,205.0,2.0,22.0,2.95,3.62,1.0,1.0,2004.0,7.0,54.0,6.0,97.5,0.0,16.25,0.1125
Gardner Minshew II,35.75,26.0,32.0,24.0,8.0,16.0,0.0,586.0,933.0,63.23,6632.0,44.0,5.0,15.0,2.1,321.0,58.75,7.47,7.53,11.95,181.75,93.83,71.0,390.0,7.3,6.53,6.58,4.0,4.0,12.25,22.0,112.0,521.0,2.0,33.0,3.27,11.88,6.0,178.0,2019.0,4.0,2.71,0.0,0.0,0.0,0.0,0.0
Geno Smith,38.75,26.0,33.0,30.0,12.0,18.0,0.0,501.0,866.0,59.23,5962.0,28.0,4.53,36.0,4.42,284.0,60.0,7.28,6.17,12.35,174.7,78.28,77.0,528.0,10.05,5.83,4.87,3.0,7.0,21.5,17.0,135.0,647.0,7.0,44.0,7.65,19.6,2.0,39.0,2013.0,4.0,5.019,1.0,1.2,0.0,1.2,0.0072
Greg McElroy,45.0,24.0,2.0,1.0,0.0,1.0,0.0,19.0,31.0,61.3,214.0,1.0,3.2,1.0,3.2,13.0,30.0,6.9,6.1,11.3,107.0,79.2,11.0,71.0,26.2,3.4,2.81,1.0,1.0,15.0,1.0,8.0,30.0,0.0,3.0,3.8,15.0,7.0,208.0,2011.0,4.0,2.105,1.0,0.495,0.0,0.495,0.0035
JaMarcus Russell,39.0,24.0,31.0,25.0,7.0,18.0,0.0,354.0,680.0,52.37,4083.0,18.0,2.57,23.0,4.27,185.0,67.33,5.83,4.43,11.1,120.7,61.0,70.0,457.0,9.3,4.68,3.43,3.0,4.0,15.33,25.0,40.0,175.0,1.0,20.0,3.57,4.4,1.0,1.0,2007.0,6.0,61.0,0.0,0.0,0.0,0.0,0.0
Jacob Eason,74.5,25.0,2.0,0.0,0.0,0.0,0.0,5.0,10.0,50.0,84.0,0.0,0.0,2.0,20.0,4.0,29.5,8.4,-0.6,16.1,42.0,39.2,0.0,0.0,0.0,8.4,-0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,122.0,2020.0,4.0,4.027,1.0,0.94,0.0,0.94,0.0
Jacoby Brissett,47.0,27.0,38.0,32.0,12.0,20.0,0.0,584.0,975.0,57.88,6442.0,31.0,1.7,13.0,0.7,308.0,48.0,5.25,5.28,8.7,130.88,77.45,85.0,510.0,6.38,4.38,4.4,2.0,3.0,18.75,18.0,142.0,564.0,9.0,40.0,3.1,14.35,3.0,91.0,2016.0,4.0,3.4,2.0,30.0,0.0,15.0,0.0378
Jake Fromm,57.0,23.0,3.0,2.0,0.0,2.0,0.0,27.0,60.0,45.0,210.0,1.0,1.7,3.0,5.0,10.0,36.0,3.5,1.6,7.8,70.0,38.9,6.0,33.0,9.1,2.68,0.94,0.0,0.0,27.0,2.0,8.0,65.0,0.0,4.0,8.1,21.7,5.0,167.0,2020.0,4.0,3.597,1.0,0.66,0.0,0.66,0.0
