,Unnamed: 0.1,Unnamed: 0,Player,Tm,Pos,Rk,Age,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Lng,Y/Tgt,R/G,Fmb,Year,Rookie,Vet,Con_Len,Con_Sal,Cap,%Cap,New_Con_Len,New_Perc_Cap,Con_Yrs_Lft
0,0,0,Dennis Pitta,BAL,TE,-1.6368963429217902,1.4067205416821662,0.8580741551661776,1.043807338760966,2.3734305980558243,2.564474972195703,0.2895301503922808,1.654103873231423,-0.4195012888032668,0.0459710507583541,1.6154499900464567,0.0791790572810519,-0.3250057598979367,2.22059201182032,1.431024087148162,2016,0.0,1.0,5.0,32000000.0,155270000.0,0.0412185225735815,0,0.0,2
1,1,1,Travis Kelce,KAN,TE,-1.6290558320085369,0.0918963167933078,0.8580741551661776,1.7011939019986848,2.259018756345734,2.5222108976938067,0.3846536925018502,3.107492656057373,0.7650207611702975,0.9960394330976738,2.881490853032304,3.0970693552883577,0.8773359905311157,2.157243834795997,-0.5261117967456477,2016,0.0,1.0,5.0,46842000.0,155270000.0,0.0603361885747407,0,0.0560982035928143,4
2,2,2,Kyle Rudolph,MIN,TE,-1.5976937883555236,0.0918963167933078,0.8580741551661776,1.9203227564112573,2.6880631627585725,2.4376827486900146,-0.2304785464733653,2.0614931532659697,-0.016259739876096,2.4211420066066536,2.529812835536235,0.9241883407230976,-0.1914122320724862,2.093895657771675,-0.5261117967456477,2016,0.0,1.0,5.0,36500000.0,155270000.0,0.0470148773104914,0,0.0437125748502994,2
3,3,3,Greg Olsen,CAR,TE,-1.582012766529017,1.4067205416821662,0.8580741551661776,1.9203227564112573,2.602254281476005,2.310890525184325,-0.2875526717391069,2.9166436239691165,0.8154259547861942,0.521005241928014,2.8111552495330896,2.9763537433680654,0.4431570250984026,1.9671993037230315,-0.5261117967456477,2016,0.0,1.0,3.0,22500000.0,155270000.0,0.0483029561409158,0,0.0449101796407185,1
4,4,4,Zach Ertz,PHI,TE,-1.5506507228760036,-0.2368097394289067,0.3114926727658043,1.043807338760966,1.9443861916429857,2.2263623761805333,0.4480693872415632,1.973408984609852,0.0845506473556967,0.9960394330976738,1.9671280075425253,0.0791790572810519,0.242766733360227,2.347288365868963,-0.5261117967456477,2016,0.0,1.0,5.0,42500000.0,155270000.0,0.0547433502930379,0,0.0508982035928143,4
5,5,5,Jason Witten,DAL,TE,-1.4487240810037103,2.39283871034881,0.8580741551661776,1.9203227564112573,1.6297536269402375,1.8459857056634672,0.3846536925018502,1.448574146367147,-0.0918675302999403,0.521005241928014,1.4044431795488157,0.3809680870817825,0.0423764416220514,1.5237620645527772,1.431024087148162,2016,0.0,1.0,5.0,37000000.0,155270000.0,0.0476589167257036,4,0.0443113772455089,0
6,6,6,Jordan Reed,WAS,TE,-1.4016810155241906,-0.2368097394289067,-0.2350888096345689,0.167291921110674,1.458135864375102,1.7191934821577786,0.4861188040853915,1.4962864043892112,0.0593480505477486,1.9461078154369933,1.8967924040433115,0.2602524751614902,0.242766733360227,2.283940188844641,1.431024087148162,2016,0.0,1.0,5.0,46750000.0,155270000.0,0.0602176853223417,0,0.0559880239520958,4
7,7,7,Jimmy Graham,SEA,TE,-1.3938405046109372,1.0780144854599516,0.8580741551661776,1.7011939019986848,1.6297536269402375,1.6769294076558825,0.1183077745950564,2.3661175698683783,1.0170467292497791,1.9461078154369933,2.1781348180401663,0.8034727288028053,0.910734372487478,1.397065710504133,3.388159971041971,2016,0.0,1.0,4.0,40000000.0,155270000.0,0.0644039415212211,0,0.059880239520958,1
8,8,8,Delanie Walker,TEN,TE,-1.3703189718711772,1.7354265979043806,0.584783413965991,0.386420775523247,1.8299743499328955,1.6769294076558825,-0.1797459906815947,1.9146862055057727,0.5381973898987642,2.4211420066066536,1.4747787830480297,1.1052617586035358,0.2761651153165895,1.5237620645527772,1.431024087148162,2016,0.0,1.0,2.0,13375000.0,155270000.0,0.0430701358923166,0,0.0400449101796407,1
9,9,9,Eric Ebron,DET,TE,-1.3311164173049106,-1.2229279080955504,0.0382019315656176,1.2629361931735388,1.3437240226650118,1.5078731096482971,0.33392113671008,1.5880407467393345,0.3869818090510747,-0.4290631404113057,1.6154499900464567,1.950271042045581,0.4765554070547651,1.7771547726500654,-0.5261117967456477,2016,1.0,0.0,4.0,12249149.0,155270000.0,0.0197223368970181,0,0.0183370494011976,1
10,10,10,Jack Doyle,IND,TE,-1.2997543736518973,-0.2368097394289067,0.8580741551661776,1.4820650475861117,1.057694418389786,1.423344960644505,0.7714894304140999,1.121928687600709,-0.0666649334919922,1.4710736242673337,1.2637719725503882,-0.2829677784798247,0.2761651153165895,1.143673002406845,1.431024087148162,2016,0.0,1.0,1.0,1671000.0,155270000.0,0.010761898628196,3,0.0377245508982035,0
11,11,11,Cameron Brate,TAM,TE,-1.244870797259124,-0.5655157956511213,0.584783413965991,0.60554962993582,1.2293121809549217,1.3388168116407126,0.2451391640744824,1.4008618883450832,0.3617792122431267,2.896176197776313,1.826456800544098,0.5620415049622208,0.3763602611856771,1.2070211794311672,1.431024087148162,2016,0.0,1.0,2.0,1110000.0,155270000.0,0.0035744187544277,1,0.0041317365269461,0
