Player,Rk,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Lng,Y/Tgt,R/G,Y/G,Fmb,Year
JuJu Smith-Schuster,40.75,PIT,24,WR,58,46,443,308,69.03,3726,12.57,26,175,75.25,8.65,5.15,63.12,5,2020
Julian Edelman,229.0,NWE,26,WR,48,13,109,69,57.12,714,10.43,4,34,34.0,5.95,1.62,16.75,6,2012
Julio Jones,45.0,ATL,25,WR,49,48,445,278,62.95,4330,15.6,26,193,80.0,9.78,6.05,92.72,5,2014
Junior Hemingway,238.5,KAN,26,WR,30,3,42,25,59.75,233,9.3,2,14,20.5,5.6,0.85,7.75,2,2014
Juron Criner,290.5,OAK,24,WR,13,0,41,19,43.0,183,10.05,1,12,18.5,4.3,2.15,22.3,1,2013
Justin Blackmon,93.5,JAX,23,WR,20,18,180,93,54.45,1280,13.9,6,58,74.0,7.6,5.65,78.95,1,2013
Justin Brown,242.0,PIT,23,WR,8,1,21,12,57.1,94,7.8,0,4,18.0,4.5,1.5,11.8,1,2014
Justin Gage,219.5,CHI,25,WR,49,16,126,64,49.48,908,15.28,4,45,37.0,7.52,1.27,18.8,2,2006
Justin Hardy,208.5,ATL,27,WR,57,5,118,76,64.65,751,9.88,9,49,24.0,6.38,1.45,14.1,2,2018
Justin Harper,444.0,BAL,24,WR,2,0,1,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,2009
Justin Hunter,205.0,2TM,25,WR,48,18,163,78,49.8,1305,17.1,12,48,56.25,8.12,1.7,27.65,0,2016
Justin Jefferson,6.67,MIN,23,WR,50,48,476,324,68.23,4825,15.0,25,213,63.67,10.23,6.47,96.33,2,2022
Justin McCareins,157.5,NYJ,26,WR,52,28,223,125,64.78,1972,19.05,13,98,51.75,13.53,2.1,34.92,5,2004
Justin Watson,351.67,TAM,24,WR,39,4,40,23,51.53,258,9.67,2,15,19.33,5.43,0.53,6.27,0,2020
Juwann Winfree,403.5,GNB,26,WR,10,0,17,9,43.25,75,12.15,0,6,14.5,4.4,0.7,7.0,2,2022
K.J. Hill,364.0,LAC,24,WR,21,0,14,10,81.8,103,10.2,0,3,22.0,8.3,0.5,4.95,1,2021
K.J. Osborn,63.5,MIN,25,WR,34,18,172,110,63.85,1305,11.95,12,58,65.0,7.6,3.2,38.35,1,2022
KJ Hamler,272.67,DEN,23,WR,23,6,80,42,51.2,620,17.03,3,24,44.0,8.67,1.67,25.87,2,2022
Kaelin Clay,318.0,2TM,25,WR,13,2,19,6,31.6,85,14.2,0,0,28.0,4.5,0.5,6.5,3,2017
Kealoha Pilares,401.0,CAR,24,WR,8,0,4,2,50.0,42,21.0,1,1,36.0,10.5,0.3,5.3,0,2012
Keary Colbert,161.5,CAR,25,WR,55,42,228,109,46.17,1424,12.22,7,67,41.0,5.7,1.95,25.07,3,2007
KeeSean Johnson,217.5,ARI,24,WR,18,5,65,36,57.6,360,10.2,1,17,38.0,6.0,2.0,20.15,1,2020
Keenan Allen,105.25,SDG,24,WR,38,37,322,221,73.05,2617,11.55,16,135,32.75,8.4,6.15,69.8,5,2016
Keenan Burton,189.5,STL,25,WR,22,7,74,38,50.2,425,11.65,1,21,27.5,5.75,1.9,20.65,0,2009
Keenan Howry,392.0,MIN,23,WR,19,1,7,3,66.65,18,5.25,0,1,5.5,2.75,0.2,0.95,0,2004
Keith Mumphery,264.5,HOU,24,WR,27,6,44,24,63.55,198,8.05,0,7,18.5,4.9,0.9,7.2,3,2016
Keke Coutee,235.0,IND,24,WR,25,10,118,84,77.97,946,9.72,4,48,40.0,7.28,2.92,32.12,5,2021
Kelley Washington,202.75,CIN,27,WR,44,6,128,72,59.1,893,12.18,9,49,29.75,7.22,1.62,19.93,0,2006
Kelvin Benjamin,53.0,2TM,26,WR,46,42,341,184,55.07,2641,14.37,19,102,48.0,7.97,3.97,57.07,2,2017
Kelvin Harmon,152.0,WAS,23,WR,16,8,44,30,68.2,365,12.2,0,16,30.0,8.3,1.9,22.8,0,2019
Ken-Yon Rambo,285.0,DAL,24,WR,29,0,39,17,46.2,239,12.2,0,11,30.5,5.55,0.55,7.7,3,2002
Kendall Newson,374.0,MIA,23,WR,6,0,6,2,33.3,55,27.5,0,2,37.0,9.2,0.3,9.2,1,2003
Kendall Wright,57.0,TEN,26,WR,55,37,396,251,62.6,2828,11.28,15,146,45.75,7.08,4.47,50.25,4,2015
Kenny Britt,121.25,TEN,24,WR,45,27,264,146,57.23,2354,16.32,19,106,65.75,9.38,3.75,61.7,5,2012
Kenny Golladay,106.75,DET,27,WR,47,39,315,183,58.9,3068,16.85,21,141,59.25,9.93,3.83,64.08,2,2020
Kenny Moore,310.0,CAR,24,WR,12,1,11,6,54.5,59,9.8,0,1,22.0,5.4,0.5,4.9,1,2009
Kenny Stills,116.75,MIA,24,WR,63,41,277,164,58.67,2738,17.1,20,119,66.5,10.0,2.62,43.77,1,2016
Kerry Meier,474.0,ATL,25,WR,12,0,1,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,2011
Keshawn Martin,238.25,NWE,25,WR,57,10,117,62,51.4,685,11.05,5,35,30.25,5.78,1.27,13.97,4,2015
Kevin Curtis,139.75,STL,28,WR,51,11,209,136,69.03,1714,10.47,12,80,43.5,6.93,2.35,27.85,4,2006
Kevin Dorsey,420.0,GNB,24,WR,3,0,2,1,50.0,4,4.0,0,0,4.0,2.0,0.3,1.3,0,2014
Kevin Kasper,339.0,NWE,27,WR,38,8,45,24,36.48,287,11.38,3,6,17.0,4.58,0.53,6.38,1,2004
Kevin Norwood,380.5,CAR,26,WR,10,2,11,9,45.0,102,5.65,0,5,15.5,5.1,0.5,5.65,0,2015
Kevin Walter,260.25,HOU,25,WR,59,4,63,47,77.6,456,8.72,1,30,18.75,6.7,0.78,7.25,1,2006
Kevin White,335.0,CHI,26,WR,14,5,48,25,50.93,285,11.93,0,11,30.67,6.07,2.4,21.0,0,2018
Koren Robinson,64.0,SEA,24,WR,57,52,405,213,51.55,3167,14.85,12,145,49.0,7.65,3.67,55.05,5,2004
Kris Durham,267.25,TEN,26,WR,27,16,121,55,53.08,699,11.88,3,36,23.25,6.05,1.73,21.35,1,2014
Kyle Williams,275.75,2TM,25,WR,39,9,81,47,68.12,574,11.15,4,24,34.25,7.4,1.05,12.68,3,2013
LaVon Brazill,243.0,IND,24,WR,25,0,51,23,45.1,347,15.15,3,14,35.5,6.9,0.95,14.25,2,2013
Laquon Treadwell,269.5,MIN,24,WR,53,16,107,65,53.17,701,13.5,2,37,30.0,6.97,1.1,12.12,1,2019
Larry Fitzgerald,18.25,ARI,24,WR,60,60,558,330,58.73,4544,13.72,34,227,50.0,8.05,5.5,75.9,4,2007
Laurent Robinson,198.25,STL,25,WR,38,20,178,89,58.77,1000,11.28,4,49,43.5,6.62,2.5,29.52,1,2010
Lavelle Hawkins,246.25,TEN,25,WR,45,3,109,66,63.15,709,11.9,1,35,26.75,7.47,1.23,13.95,1,2011
Laveranues Coles,55.25,WAS,26,WR,61,51,437,252,57.05,3706,15.1,19,179,52.5,8.57,4.03,59.27,2,2003
Laviska Shenault Jr.,89.0,CAR,24,WR,43,26,211,148,73.6,1491,10.07,6,73,53.67,7.43,3.37,34.17,1,2022
LeRon McCoy,197.0,ARI,23,WR,10,4,30,18,60.0,191,10.6,1,11,24.0,6.4,1.8,19.1,0,2005
Lee Evans,46.75,BUF,26,WR,64,57,416,233,56.42,3727,16.07,29,157,75.5,9.1,3.62,58.25,2,2007
Lee Mays,356.67,PIT,26,WR,48,1,28,11,35.27,154,7.9,0,7,18.33,3.9,0.23,3.23,0,2004
Legedu Naanee,227.75,SDG,27,WR,54,10,99,63,66.75,746,10.7,3,42,30.5,6.88,1.25,15.62,1,2010
Leonard Hankerson,242.75,WAS,25,WR,31,14,128,81,47.92,1081,9.82,6,54,30.0,6.3,2.17,28.05,0,2014
Leonte Carroo,360.33,MIA,24,WR,37,2,22,12,52.77,192,22.2,2,8,36.67,11.37,0.3,5.8,0,2018
Limas Sweed,372.5,PIT,25,WR,20,0,15,7,40.0,69,7.85,0,3,11.0,3.7,0.3,3.2,2,2009
Louis Murphy,153.5,CAR,25,WR,57,24,268,115,43.62,1707,14.93,7,81,61.75,6.5,2.0,29.75,3,2012
Lynn Bowden Jr.,155.0,MIA,23,WR,10,4,37,28,75.7,211,7.5,0,13,22.0,5.7,2.8,21.1,0,2020
Mack Hollins,247.33,MIA,27,WR,48,5,70,42,60.07,527,12.53,2,22,39.33,7.57,0.87,10.97,1,2020
Malcolm Kelly,256.0,WAS,23,WR,21,10,52,28,44.15,365,9.95,0,16,45.5,5.05,1.1,12.65,0,2009
Malcolm Mitchell,144.0,NWE,24,WR,14,6,48,32,66.7,401,12.5,4,23,56.0,8.4,2.3,28.6,0,2016
Manuel Johnson,417.0,DAL,24,WR,2,0,5,1,20.0,6,6.0,0,0,6.0,1.2,0.5,3.0,0,2010
Marc Mariani,386.5,TEN,24,WR,32,0,14,5,20.85,24,2.4,0,0,3.0,1.0,0.15,0.75,4,2011
Marcell Ateman,291.5,OAK,25,WR,18,6,41,20,49.2,270,16.75,1,11,34.0,8.3,1.3,16.25,1,2019
Marcus Easley,384.0,BUF,26,WR,16,0,5,2,40.0,13,6.5,0,0,9.0,2.6,0.1,0.8,0,2013
Marcus Maxwell,418.0,CIN,24,WR,5,0,2,1,50.0,5,5.0,0,1,5.0,2.5,0.2,1.0,0,2007
Marcus Smith,466.0,BAL,23,WR,7,0,4,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,2008
Mardy Gilyard,347.5,2TM,26,WR,19,2,22,8,35.4,78,9.0,0,4,16.0,3.2,0.4,3.8,1,2012
Mario Alford,419.0,CIN,23,WR,1,0,1,1,100.0,15,15.0,0,1,15.0,15.0,1.0,15.0,0,2015
Mario Manningham,131.5,NYG,25,WR,49,28,275,160,59.85,2315,12.5,18,95,49.75,7.4,2.95,41.25,2,2011
Mark Bradley,213.0,2TM,26,WR,44,12,139,68,48.45,963,14.35,7,23,51.0,7.22,1.73,24.38,1,2008
Mark Clayton,65.0,BAL,26,WR,62,47,371,200,53.45,2636,13.2,10,115,64.0,7.05,3.23,42.23,0,2008
Marko Mitchell,347.0,WAS,24,WR,10,0,7,4,57.1,32,8.0,0,2,11.0,4.6,0.4,3.2,0,2009
Markus Wheaton,212.25,PIT,25,WR,47,22,187,107,51.98,1508,13.18,8,73,42.5,6.9,1.98,27.35,0,2016
Marqise Lee,118.25,JAX,26,WR,53,29,302,171,54.7,2166,12.53,8,116,40.75,6.88,3.05,38.73,2,2017
Marques Colston,33.0,NOR,26,WR,57,46,453,285,62.05,4074,14.65,33,204,67.25,9.0,4.95,71.35,4,2009
Marques Hagans,348.5,KAN,26,WR,6,1,17,9,51.65,108,9.8,0,7,15.0,5.1,1.25,14.4,2,2008
Marquess Wilson,271.5,CHI,24,WR,31,14,102,56,57.75,777,12.28,3,36,28.0,6.95,2.02,29.2,0,2016
Marquez Valdes-Scantling,152.0,GNB,27,WR,59,39,247,123,49.55,2153,17.52,13,82,71.75,8.72,2.12,36.7,1,2021
Marquise Brown,47.25,ARI,25,WR,58,51,424,262,61.92,3070,11.93,24,133,62.25,7.35,4.55,52.98,4,2022
Marquise Goodwin,298.0,BUF,26,WR,39,10,111,49,51.7,780,21.38,6,36,49.75,7.95,1.1,17.12,2,2016
Martavis Bryant,101.33,PIT,26,WR,36,16,224,126,56.0,1917,16.17,17,70,77.67,8.97,3.47,54.87,1,2017
Marvin Jones,106.67,CIN,25,WR,43,21,215,134,61.07,1729,12.6,15,81,38.33,7.7,2.97,37.93,0,2015
Marvin McNutt,480.5,CAR,24,WR,5,0,3,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,2013
Matt Hazel,456.5,IND,25,WR,9,1,2,1,50.0,1,0.5,0,0,0.5,0.5,0.15,0.15,0,2017
Matt Jones,92.5,JAX,25,WR,54,15,302,166,53.7,2153,13.15,15,117,43.5,7.05,3.15,40.67,4,2008
Matthew Slater,452.67,NWE,26,WR,45,3,6,1,11.1,46,15.33,0,1,15.33,5.1,0.03,0.97,3,2011
Maurice Stovall,271.5,TAM,24,WR,44,10,80,44,56.17,579,11.7,2,28,21.75,6.45,0.93,11.6,1,2009
Mecole Hardman,124.5,KAN,24,WR,57,26,220,151,68.53,2088,14.5,16,93,55.25,9.78,2.7,36.62,8,2022
Michael Campanaro,334.5,BAL,26,WR,24,0,43,31,57.88,310,7.67,2,17,12.0,5.88,1.15,11.9,4,2017
Michael Clayton,105.0,TAM,25,WR,56,36,282,167,57.4,2222,12.75,8,109,45.5,7.4,2.92,38.1,5,2007
Michael Crabtree,40.25,SFO,25,WR,58,56,429,260,59.95,3345,12.9,21,165,52.75,7.72,4.47,57.62,1,2012
Michael Floyd,70.75,ARI,26,WR,63,39,387,209,53.92,3293,15.68,19,148,66.75,8.43,3.33,52.35,4,2015
Michael Gallup,88.0,DAL,25,WR,55,43,348,193,54.9,2902,14.8,15,143,51.75,8.12,3.6,53.23,0,2021
Michael Jenkins,134.25,ATL,25,WR,61,34,259,135,48.77,1595,13.07,14,84,41.75,6.2,2.23,26.62,1,2007
Michael Pittman Jr.,44.0,IND,25,WR,46,41,331,227,68.0,2510,11.4,11,127,43.33,7.73,4.83,53.37,3,2022
Michael Robinson,257.0,SFO,26,WR,62,2,56,43,74.78,346,6.92,0,17,19.0,5.45,0.7,5.5,2,2009
Michael Thomas,3.5,NOR,26,WR,63,57,602,470,77.83,5512,11.8,32,306,52.5,9.18,7.42,87.3,5,2019
Mike Evans,24.0,TAM,24,WR,61,60,579,309,53.35,4579,14.93,32,246,52.75,7.92,5.03,74.95,2,2017
Mike Sims-Walker,110.67,JAX,26,WR,38,28,221,122,54.63,1648,13.5,14,86,44.0,7.33,3.03,40.7,3,2010
Mike Thomas,223.29,LAR,25,WR,100,33,316,186,54.31,1940,10.73,7,93,30.29,6.11,1.77,19.03,8,2019
Mike Wallace,53.5,PIT,26,WR,63,48,403,235,58.1,4042,17.52,32,162,73.25,10.2,3.75,64.05,5,2012
Mike Williams,136.92,LAC,26,WR,166,114,929,493,51.07,6989,13.43,47,346,46.54,6.9,2.78,38.22,8,2020
Miles Boykin,331.75,PIT,26,WR,56,25,59,35,70.85,481,10.18,7,25,27.5,6.7,0.55,7.62,0,2022
Milton Wynn,378.0,BAL,24,WR,4,0,7,4,33.35,69,8.65,0,3,18.0,5.75,2.0,34.5,0,2002
Mohamed Massaquoi,147.75,CLE,26,WR,54,43,275,118,44.62,1745,14.78,7,77,52.5,6.53,2.15,31.7,2,2012
Mohamed Sanu,125.75,CIN,26,WR,57,34,249,152,62.35,1793,11.32,11,93,48.5,7.05,2.58,29.88,3,2015
N'Keal Harry,244.75,CHI,25,WR,40,18,112,64,60.05,714,12.53,5,33,35.0,7.78,1.52,17.25,2,2022
Nate Burleson,118.75,SEA,25,WR,60,40,248,145,55.98,1981,13.03,14,96,44.0,7.35,2.42,32.65,4,2006
Neal Sterling,312.33,NYJ,26,WR,26,6,34,24,70.0,239,10.23,0,13,21.33,7.0,0.97,9.3,0,2018
Nelson Agholor,96.5,PHI,25,WR,60,52,305,185,58.95,2152,11.57,15,92,62.0,6.85,3.02,35.02,3,2018
Nick Toon,287.5,NOR,26,WR,16,5,35,21,53.6,283,14.8,1,15,29.5,7.5,1.3,17.7,1,2014
Noah Brown,316.33,DAL,24,WR,37,4,41,23,55.07,241,10.03,0,12,18.67,5.63,0.6,6.3,0,2020
Odell Beckham Jr.,46.25,NYG,25,WR,47,44,498,313,62.9,4424,13.75,38,206,72.5,8.68,6.65,91.6,6,2017
Olabisi Johnson,199.5,MIN,23,WR,32,9,64,45,71.3,483,11.5,3,26,26.0,8.2,1.4,15.1,0,2020
Paris Warren,326.0,TAM,24,WR,8,0,7,5,71.4,63,12.6,0,2,26.0,9.0,0.6,7.9,0,2006
Parris Campbell,220.25,IND,25,WR,32,24,144,97,65.22,983,11.25,5,49,37.0,7.03,2.75,29.3,4,2022
Patrick Crayton,141.25,DAL,28,WR,50,20,179,120,69.9,1716,14.3,14,84,53.5,9.97,2.27,32.52,6,2007
Patrick Turner,395.0,NYJ,25,WR,22,1,22,10,51.1,122,8.33,1,6,15.33,6.47,0.3,3.87,0,2012
Paul Hubbard,413.0,BUF,25,WR,1,1,3,1,33.3,8,8.0,0,0,8.0,2.7,1.0,8.0,0,2010
Paul Richardson,220.25,SEA,25,WR,47,19,161,95,69.8,1302,19.75,8,68,43.0,15.75,1.77,30.3,1,2017
Paul Williams,443.0,TEN,25,WR,5,0,3,1,33.3,7,7.0,0,1,7.0,2.3,0.2,1.4,0,2008
Percy Harvin,27.5,MIN,24,WR,54,43,406,280,68.95,3302,11.85,20,167,50.25,8.18,5.35,62.58,6,2012
Peter Warrick,41.25,CIN,26,WR,62,54,466,253,55.45,2684,10.72,18,144,48.25,5.95,4.1,43.42,9,2003
Pharoh Cooper,294.75,2TM,24,WR,46,5,73,50,50.92,433,6.22,1,19,19.25,4.28,1.0,8.65,4,2019
Phillip Dorsett,185.5,NWE,25,WR,57,11,158,95,61.25,1237,13.45,6,57,39.5,8.1,1.65,21.68,3,2018
Pierre Garcon,116.0,IND,25,WR,58,43,349,188,64.9,2519,11.82,16,118,55.5,6.95,3.23,42.85,3,2011
Plaxico Burress,61.25,PIT,26,WR,60,56,453,226,47.85,3466,14.75,17,164,47.75,7.17,3.65,55.6,5,2003
Quentin McCord,284.67,ATL,25,WR,25,2,47,23,56.37,427,18.03,1,18,39.67,10.43,0.87,16.37,0,2003
Quez Watkins,189.33,PHI,24,WR,40,20,126,83,62.63,1107,13.6,5,43,62.33,8.5,1.87,25.53,1,2022
Quincy Enunwa,122.5,NYJ,24,WR,28,19,151,80,51.5,1172,14.55,4,47,58.5,7.5,2.7,39.95,0,2016
Quincy Morgan,95.25,2TM,27,WR,63,52,316,155,48.28,2316,14.55,15,72,70.0,7.08,2.48,36.62,6,2004
Quinten Lawrence,413.0,KAN,25,WR,6,1,2,1,50.0,9,9.0,0,0,9.0,4.5,0.2,1.5,0,2009
Quintez Cephus,285.67,DET,24,WR,22,6,60,37,64.0,568,12.87,4,26,34.67,8.1,1.67,23.8,0,2022
Quinton Patton,255.75,SFO,26,WR,40,18,133,73,52.2,880,12.53,1,39,37.5,6.42,1.45,17.6,2,2016
R. Jay Soward,209.0,JAX,22,WR,13,2,34,14,41.2,154,11.0,1,5,45.0,4.5,1.1,11.8,3,2000
Ramses Barden,303.5,NYG,26,WR,29,1,48,29,71.38,394,13.72,0,18,24.75,10.12,0.85,11.53,0,2012
Randall Cobb,84.0,GNB,24,WR,52,28,309,227,73.8,3049,13.75,25,151,54.5,10.15,4.47,60.3,10,2014
Rashad Greene,295.67,JAX,26,WR,25,1,51,30,63.93,185,7.1,2,13,13.0,4.73,1.17,7.27,7,2018
Rashard Higgins,235.75,CLE,25,WR,54,6,126,76,53.5,1016,13.22,7,48,37.5,7.1,1.4,18.77,3,2019
Rashaun Woods,302.0,SFO,24,WR,14,0,23,7,30.4,160,22.9,1,6,59.0,7.0,0.5,11.4,0,2004
Rasheed Marshall,411.0,SFO,24,WR,12,0,6,1,16.7,-1,-1.0,0,0,-1.0,-0.2,0.1,-0.1,4,2005
Ray-Ray McCloud,224.0,PIT,25,WR,42,8,94,64,77.77,390,6.07,0,24,17.67,4.57,1.4,8.57,8,2021
Reche Caldwell,190.0,SDG,26,WR,47,14,149,76,50.48,950,12.32,7,42,35.5,6.53,1.77,23.9,6,2005
Reggie Brown,91.5,PHI,27,WR,58,43,313,168,53.27,2419,14.45,17,107,50.25,7.67,2.8,40.17,2,2008
Reggie Germany,232.0,BUF,23,WR,16,1,21,12,57.1,203,16.9,0,8,39.0,9.7,0.8,12.7,0,2001
Reggie Wayne,61.75,IND,26,WR,61,48,343,221,63.45,3109,13.85,23,163,55.0,8.8,3.58,49.83,2,2004
Reggie Williams,102.75,JAX,24,WR,63,42,268,152,56.5,1958,12.75,15,93,48.75,7.35,2.42,31.25,7,2007
Ricardo Louis,181.5,CLE,23,WR,32,12,96,45,47.85,562,12.3,0,25,39.5,5.9,1.4,17.55,1,2017
Richie James,273.33,SFO,25,WR,40,10,59,38,63.33,689,19.67,3,24,52.33,12.37,1.07,18.7,5,2020
Riley Cooper,188.75,PHI,26,WR,56,25,184,93,47.38,1514,16.23,13,65,45.25,7.65,1.62,25.82,0,2013
Riley Ridley,363.0,CHI,24,WR,10,1,11,10,92.85,108,10.65,0,7,25.0,9.85,1.0,10.8,0,2020
Rishard Matthews,175.0,MIA,26,WR,49,17,170,107,60.3,1396,12.82,8,74,33.75,7.83,2.2,29.18,1,2015
Robert Davis,406.0,2TM,24,WR,6,3,5,2,40.0,17,8.5,0,2,11.0,3.4,0.3,2.8,0,2019
Robert Ferguson,139.0,GNB,25,WR,44,18,161,84,51.53,1180,14.1,8,58,45.0,7.27,1.9,27.07,1,2004
Robert Herron,319.0,TAM,22,WR,8,0,12,6,50.0,58,9.7,1,3,16.0,4.8,0.8,7.3,0,2014
Robert Meachem,138.67,NOR,26,WR,46,17,150,101,65.67,1649,18.2,17,65,61.0,11.83,2.17,35.2,2,2010
Robert Woods,80.0,BUF,24,WR,57,48,345,203,58.88,2451,12.3,12,122,41.25,7.15,3.58,43.05,3,2016
Rod Gardner,46.5,WAS,27,WR,64,61,463,227,48.83,2997,13.3,22,138,53.5,6.42,3.55,46.83,3,2004
Roddy White,70.75,ATL,27,WR,64,43,419,230,52.08,3536,15.62,16,153,62.0,8.1,3.6,55.25,6,2008
Ron Dixon,235.33,NYG,26,WR,37,3,81,36,41.4,696,20.27,4,29,43.0,8.37,1.07,20.17,3,2002
Ron Dugans,133.0,CIN,25,WR,46,13,156,89,54.47,797,8.97,3,47,26.33,4.9,1.9,16.97,0,2002
Ron Johnson,332.0,BAL,23,WR,22,4,29,11,35.9,126,11.7,1,8,22.5,4.2,0.4,4.55,0,2003
Ronald Curry,243.33,OAK,26,WR,30,5,82,57,73.8,722,8.6,6,34,29.0,6.27,1.83,21.5,2,2005
Roscoe Parrish,158.25,BUF,26,WR,55,6,168,97,57.77,1052,10.9,5,52,37.0,6.3,1.73,18.65,7,2008
Roy Hall,418.0,IND,25,WR,4,0,4,1,25.0,9,9.0,0,1,9.0,2.3,0.3,2.3,0,2008
Roy Williams,41.75,DET,26,WR,55,52,468,245,52.25,3652,14.88,28,165,62.0,7.72,4.45,65.72,5,2007
Roydell Williams,171.67,TEN,26,WR,40,16,153,84,50.33,1139,14.13,6,59,39.33,7.07,2.03,27.8,0,2007
Rueben Randle,96.75,NYG,24,WR,64,33,327,188,57.8,2644,14.45,20,125,53.5,8.35,2.95,41.3,4,2015
Russell Gage,119.75,ATL,25,WR,61,21,287,193,65.62,2065,10.55,9,114,31.25,6.92,3.17,34.05,3,2021
Ryan Broyles,280.0,DET,26,WR,21,6,51,32,55.3,420,12.4,2,22,27.67,6.93,1.3,16.73,0,2014
Ryan Grant,214.5,WAS,27,WR,64,15,141,84,54.52,985,10.62,6,57,28.25,5.93,1.3,15.43,0,2017
Ryan Switzer,252.33,PIT,25,WR,41,1,62,50,80.07,321,5.73,1,21,14.67,4.73,1.2,7.13,4,2019
Ryan Whalen,326.5,CIN,23,WR,13,0,17,11,69.15,80,7.2,0,5,11.5,4.9,0.9,6.35,0,2012
Ryne Robinson,348.0,CAR,23,WR,16,0,8,4,50.0,35,8.8,0,2,12.0,4.4,0.3,2.2,2,2007
Sam Aiken,298.33,BUF,25,WR,37,2,39,18,43.13,240,13.17,0,11,31.67,5.67,0.53,6.63,0,2005
Sam Simmons,463.0,MIA,24,WR,11,0,2,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,2003
Samie Parker,155.5,KAN,26,WR,47,31,180,110,62.52,1529,14.03,7,80,41.0,8.82,2.38,33.42,3,2007
Sammie Coates,343.0,HOU,25,WR,44,6,64,29,49.35,528,13.85,2,20,33.25,6.7,0.57,9.93,0,2018
Sammie Stroughter,276.25,TAM,26,WR,33,4,107,60,55.5,639,11.95,1,35,26.25,6.58,1.4,15.32,2,2012
Sammy Watkins,91.0,LAR,24,WR,52,51,346,192,55.7,3052,15.8,25,142,69.0,8.85,3.7,58.8,1,2017
Santana Moss,144.25,NYJ,25,WR,51,29,264,151,47.6,2416,16.98,19,107,53.5,7.7,2.5,40.48,8,2004
Santonio Holmes,47.25,PIT,25,WR,60,48,423,235,55.9,3835,16.4,20,184,63.75,9.22,3.92,64.17,11,2009
Scott Miller,230.75,TAM,25,WR,50,8,128,74,56.35,924,11.55,4,37,33.0,6.5,1.38,16.95,0,2022
Scotty Anderson,186.0,DET,24,WR,34,8,121,54,44.9,858,16.53,4,39,58.33,7.5,1.6,26.53,1,2003
Shaun McDonald,160.5,STL,25,WR,56,3,182,106,58.15,1215,10.38,4,61,31.0,6.15,1.82,19.98,8,2006
Shelton Gibson,428.0,PHI,24,WR,20,0,6,3,50.0,59,26.75,0,2,27.0,9.85,0.25,2.7,0,2018
Sidney Rice,141.75,MIN,24,WR,48,26,247,146,54.0,2129,13.62,18,111,48.0,7.38,2.9,42.5,1,2010
Sinorice Moss,291.0,NYG,26,WR,37,2,66,39,52.95,421,11.62,3,21,18.75,5.82,0.93,9.78,2,2009
Skyler Green,355.0,CIN,23,WR,7,0,4,3,75.0,33,11.0,0,1,18.0,8.3,0.4,4.7,0,2007
Snoop Minnis,246.5,KAN,25,WR,15,11,71,34,37.15,515,9.75,1,24,30.0,4.3,1.5,20.65,0,2002
Stacy Coley,496.0,2TM,24,WR,3,0,1,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,1,2018
Stedman Bailey,205.67,STL,25,WR,38,8,96,59,60.4,843,14.33,2,36,44.67,8.6,1.57,22.67,0,2015
Stefon Diggs,30.25,MIN,25,WR,55,48,440,302,68.2,3493,11.97,24,169,55.0,8.12,5.47,63.4,2,2018
Stephen Burton,326.67,JAX,24,WR,19,3,27,15,57.9,149,11.83,1,7,18.67,7.23,1.03,11.53,0,2013
Stephen Hill,179.0,NYJ,22,WR,23,19,106,45,42.7,594,13.15,4,34,42.0,5.6,1.95,25.7,1,2013
Sterling Shepard,47.25,NYG,26,WR,53,52,379,247,65.62,2862,11.55,17,154,50.75,7.55,4.83,55.33,2,2019
Steve Breaston,104.5,ARI,27,WR,60,26,296,187,61.58,2528,13.2,7,112,40.5,8.12,3.15,42.85,3,2010
Steve Johnson,167.25,BUF,25,WR,48,30,292,170,63.25,2189,10.38,19,115,31.5,6.42,2.8,35.3,1,2011
Steve Smith,101.25,NYG,25,WR,46,26,328,220,64.7,2386,10.1,11,128,34.5,6.6,4.3,45.9,1,2010
Steve Smith Sr.,155.75,CAR,25,WR,47,26,269,158,58.45,2196,13.53,10,92,46.0,7.78,3.95,49.45,18,2004
Sylvester Morris,71.0,KAN,23,WR,15,14,105,48,45.7,678,14.1,3,32,47.0,6.5,3.2,45.2,3,2000
Syndric Steptoe,188.0,CLE,24,WR,16,5,41,19,46.3,182,9.6,0,8,53.0,4.4,1.2,11.4,1,2008
T.J. Graham,264.25,NOR,26,WR,47,18,128,61,57.65,794,15.28,4,32,45.75,7.17,1.2,14.35,1,2015
T.J. Houshmandzadeh,96.33,CIN,27,WR,44,19,219,135,59.0,1698,12.1,5,89,38.67,7.2,3.0,36.97,6,2004
T.J. Jones,257.33,DET,25,WR,27,6,81,45,50.83,624,15.03,2,29,33.0,7.33,1.6,24.23,3,2017
T.Y. Hilton,38.5,IND,26,WR,62,41,494,283,57.17,4413,15.78,24,190,73.5,9.03,4.55,71.28,6,2015
Tab Perry,358.0,CIN,25,WR,20,1,16,10,61.1,109,9.5,1,6,16.67,6.37,1.1,15.1,2,2007
