Player,Rk,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Lng,Y/Tgt,R/G,Y/G,Fmb,Year
David Moore,167.0,SEA,25,WR,46,14,134,78,57.87,1163,15.57,13,51,57.0,8.73,1.67,25.13,5,2020
David Reed,428.0,IND,26,WR,36,0,12,6,29.15,68,3.8,0,3,6.25,2.92,0.28,3.38,3,2013
David Terrell,134.5,CHI,25,WR,53,29,247,128,60.48,1602,12.82,9,80,53.0,7.85,2.3,29.4,2,2004
David Tyree,241.0,NYG,26,WR,61,5,90,50,55.9,615,12.38,4,28,37.0,6.92,0.8,9.8,1,2006
DeAndre Hopkins,30.75,HOU,24,WR,64,64,561,317,56.6,4487,14.3,23,235,63.5,8.12,4.97,70.1,4,2016
DeAndre Smelter,456.0,SFO,25,WR,2,0,1,1,100.0,23,23.0,0,1,23.0,23.0,0.5,11.5,0,2016
DeMarco Sampson,367.0,ARI,26,WR,12,0,8,3,37.5,36,12.0,0,3,15.0,4.5,0.3,3.0,0,2011
DeSean Jackson,48.25,PHI,25,WR,60,59,436,229,52.5,4085,18.1,21,154,71.0,9.45,3.83,68.4,12,2011
DeVante Parker,117.75,MIA,25,WR,53,31,280,163,56.73,2217,14.25,9,103,46.75,8.03,3.05,41.12,1,2018
DeVier Posey,325.0,HOU,24,WR,26,1,40,22,67.63,272,18.27,0,9,36.0,14.13,0.87,16.33,0,2014
Dede Westbrook,184.25,JAX,27,WR,40,25,254,160,70.88,1720,9.38,9,86,33.25,6.05,3.23,34.8,6,2020
Deebo Samuel,72.0,SFO,26,WR,51,43,340,223,67.15,3230,13.85,12,134,54.25,9.28,4.4,61.45,9,2022
Deion Branch,60.5,NWE,26,WR,53,43,348,213,62.25,2744,12.82,14,143,48.0,7.95,3.98,50.98,2,2005
Demarcus Ayers,321.0,PIT,22,WR,2,1,13,6,46.2,53,8.8,1,3,15.0,4.1,3.0,26.5,0,2016
Demarcus Robinson,174.33,KAN,25,WR,48,23,127,75,59.57,949,12.4,8,44,55.33,7.43,1.57,19.8,0,2019
Demaryius Thomas,82.5,DEN,26,WR,53,39,394,240,58.15,3698,15.22,30,166,56.75,8.82,4.2,64.35,7,2013
Demetrius Williams,217.0,BAL,26,WR,44,4,132,63,48.77,1008,16.02,4,46,53.75,7.8,1.55,23.62,0,2009
Denard Robinson,309.0,JAX,26,WR,55,13,67,47,51.05,310,5.12,0,16,11.5,3.48,0.9,5.95,8,2016
Denarius Moore,134.5,OAK,26,WR,51,37,303,142,46.5,2169,14.47,17,101,59.25,6.75,2.65,40.48,5,2014
Dennis Northcutt,102.5,CLE,26,WR,54,21,260,157,60.42,1963,12.53,7,105,37.5,7.72,2.8,35.52,8,2003
Denzel Mims,258.33,NYJ,25,WR,30,15,92,42,43.7,676,16.33,0,27,44.33,7.1,1.47,23.47,0,2022
Deon Butler,213.67,SEA,25,WR,34,8,119,57,57.6,611,10.3,4,32,36.67,5.67,1.63,16.9,0,2011
Deon Cain,283.0,2TM,23,WR,13,6,20,9,45.0,124,13.8,0,7,35.0,6.2,0.7,9.5,0,2019
Derek Hagan,231.75,NYG,25,WR,52,1,110,61,64.0,746,13.25,4,39,22.25,8.35,1.1,14.05,0,2009
Derek Stanley,384.0,STL,23,WR,13,0,13,6,25.0,119,9.9,1,2,40.0,4.95,0.3,5.95,3,2008
Derrick Hamilton,452.0,SFO,23,WR,2,0,1,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,2004
Derrick Williams,344.0,DET,24,WR,18,1,18,9,53.1,82,9.35,0,3,18.0,5.0,0.45,4.5,2,2010
Devard Darling,286.0,BAL,25,WR,19,1,41,20,73.1,331,10.3,3,16,28.5,5.45,0.9,11.05,1,2007
Devery Henderson,156.67,NOR,25,WR,44,19,147,74,49.93,1497,19.8,11,60,65.33,10.07,1.77,35.27,0,2007
Devin Aromashodu,227.5,CHI,25,WR,16,3,60,31,48.5,394,13.05,4,20,33.5,6.25,1.8,22.9,0,2009
Devin Duvernay,154.33,BAL,25,WR,46,23,122,90,74.2,880,9.77,5,41,30.33,7.27,2.0,19.57,2,2022
Devin Smith,383.0,NYJ,24,WR,14,3,31,10,32.7,135,16.4,1,6,21.0,5.4,0.6,8.25,1,2016
Devin Street,399.0,IND,25,WR,36,2,26,10,33.03,152,15.1,1,8,18.0,4.9,0.27,4.23,1,2016
Devin Thomas,301.75,NYG,25,WR,55,11,78,43,52.2,482,8.32,3,26,18.0,5.9,0.72,8.25,0,2011
Devon Wylie,321.0,KAN,24,WR,6,1,12,6,50.0,53,8.8,0,2,16.0,4.4,1.0,8.8,0,2012
Dexter McCluster,99.0,KAN,24,WR,58,23,263,172,64.28,1500,8.85,5,80,38.5,5.65,2.9,25.48,10,2013
Dez Bryant,34.75,DAL,25,WR,59,45,473,293,62.0,4104,13.88,40,193,65.0,8.62,4.9,68.05,12,2013
Dez White,111.25,CHI,24,WR,60,31,305,155,50.12,1754,10.75,8,84,45.5,5.4,2.6,29.07,2,2003
Dezmin Lewis,485.0,BUF,24,WR,1,0,1,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,2016
Dezmon Briscoe,269.67,WAS,23,WR,25,2,63,43,64.77,502,12.53,7,25,38.0,8.43,1.83,24.6,0,2012
Dezmon Patmon,437.0,IND,24,WR,9,0,10,4,41.65,45,11.25,1,2,15.5,4.65,1.15,13.3,0,2022
Diontae Johnson,22.0,PIT,26,WR,64,56,552,340,61.75,3646,10.8,20,184,44.75,6.68,5.35,57.12,10,2022
Domenik Hixon,237.0,NYG,25,WR,46,10,102,59,70.83,788,10.47,3,39,35.67,6.63,1.3,17.0,4,2009
Donnie Avery,160.0,TEN,27,WR,39,28,210,103,42.6,1308,13.4,9,56,47.33,5.6,2.27,29.1,2,2011
Donovan Peoples-Jones,149.33,CLE,23,WR,43,25,174,109,64.03,1740,17.7,8,69,59.0,11.4,2.4,39.1,3,2022
Donte Moncrief,124.0,IND,24,WR,53,27,257,152,58.8,1875,12.65,18,100,52.75,7.47,2.88,35.08,0,2017
Donte' Stallworth,78.5,NOR,25,WR,56,33,359,195,53.85,2791,15.05,23,131,55.25,7.97,3.38,49.2,4,2005
Dorial Green-Beckham,130.0,PHI,23,WR,31,12,141,68,48.2,941,14.05,6,55,36.5,6.75,2.2,30.2,0,2016
Doug Gabriel,179.5,2TM,26,WR,57,12,206,101,62.2,1550,15.75,8,58,39.5,9.9,1.7,25.98,3,2006
Drew Carter,177.0,CAR,26,WR,33,9,141,71,46.3,977,15.67,8,46,43.67,6.93,2.03,30.7,0,2007
Drew Haddad,373.0,IND,24,WR,1,0,1,1,100.0,11,11.0,0,1,11.0,11.0,1.0,11.0,0,2002
Dri Archer,300.0,PIT,23,WR,12,0,10,7,70.0,23,3.3,0,0,15.0,2.3,0.6,1.9,0,2014
Dwayne Bowe,33.25,KAN,26,WR,59,56,493,275,55.8,3768,13.68,31,186,52.5,7.65,4.65,63.05,2,2010
Dwayne Harris,261.33,DAL,27,WR,45,3,57,33,59.13,418,12.87,3,16,38.67,7.53,0.73,9.13,7,2014
Dwayne Jarrett,289.5,CAR,24,WR,32,3,68,35,48.4,428,13.9,1,23,24.5,6.55,1.0,13.0,0,2010
Earl Bennett,185.25,CHI,24,WR,51,22,203,124,45.5,1659,10.35,6,73,42.0,6.22,2.23,29.88,4,2011
Early Doucet,157.5,ARI,26,WR,42,11,197,111,63.25,1284,10.75,7,63,36.75,6.55,2.48,27.23,1,2011
Eddie Berlin,317.0,TEN,26,WR,57,1,50,24,58.02,370,22.98,2,16,28.5,12.62,0.42,6.1,2,2004
Eddie Royal,90.25,DEN,25,WR,57,45,363,206,52.88,2107,9.72,9,106,45.0,5.28,3.5,35.5,7,2011
Emmanuel Sanders,117.5,PIT,26,WR,56,18,281,161,56.3,2030,12.93,11,103,39.75,7.25,2.8,35.12,6,2013
Equanimeous St. Brown,280.33,GNB,25,WR,37,10,66,37,55.0,543,14.4,1,25,34.67,7.97,1.03,14.87,0,2021
Eric Decker,104.5,DEN,26,WR,62,44,362,222,63.62,3070,14.72,33,150,52.5,9.47,3.48,48.23,6,2013
Ernest Wilford,113.25,JAX,28,WR,63,37,257,141,54.77,1994,14.25,14,107,40.25,7.75,2.25,31.48,1,2007
Frank Murphy,275.0,TAM,24,WR,11,0,17,8,47.1,71,8.9,1,4,20.0,4.2,0.7,6.5,2,2001
