Player,Year,Pos,Rus_Att,Rus_Yds,Rus_Y/A,Rus_TD,Rec_Tgt,Rec_Rec,Rec_Yds,Rec_Y/R,Rec_TD,Rec_Ctch%,Rec_Y/Tgt,F_Fmb,F_Fl,F_FF,F_FR,F_Yds,F_TD,OffSnap%,STSnap%
JoneAa00,2020,RB,201,1104,5.49,9,63,47,355,7.55,2,74.6%,5.63,2,0,0,1,0,0,0.5275,0.0
McGuEl00,2020,RB,,,,,,,,,,,,,,,,,,0.0,0.0
HendDe01,2020,RB,,,,,,,,,,,,,,,,,,,
WilsBr01,2020,RB,,,,,,,,,,,,0,0,1,0,0,0,0.0,0.568125
MaysDe00,2020,RB,,,,,,,,,,,,,,,,,,,
MuhaKh00,2020,RB,,,,,,,,,,,,,,,,,,,
HoodEl00,2020,RB,,,,,,,,,,,,,,,,,,,
CarsCh00,2020,RB,141,681,4.83,5,46,37,287,7.76,4,80.4%,6.24,1,0,0,0,0,0,0.385,0.0
DayeMa00,2020,RB,,,,,,,,,,,,,,,,,,,
FourLe00,2021,RB,180,812,4.51,8,84,69,454,6.58,2,82.1%,5.40,1,0,0,0,0,0,0.5223529411764707,0.0
McCaCh01,2021,RB,99,442,4.46,1,41,37,343,9.27,1,90.2%,8.37,1,0,0,1,3,0,0.24941176470588236,0.004705882352941177
CookDa01,2021,RB,249,1159,4.65,6,49,34,224,6.59,0,69.4%,4.57,3,2,0,0,0,0,0.5335294117647059,0.0
MixoJo00,2021,RB,292,1205,4.13,13,48,42,314,7.48,3,87.5%,6.54,2,1,0,2,0,0,0.6294117647058823,0.0
KamaAl00,2021,RB,240,898,3.74,4,67,47,439,9.34,5,70.1%,6.55,0,0,0,1,0,0,0.5788235294117646,0.007647058823529412
HuntKa00,2021,RB,78,386,4.95,5,27,22,174,7.91,0,81.5%,6.44,,,,,,,0.20588235294117646,0.0
ForeDO00,2021,RB,133,566,4.26,3,11,9,123,13.67,0,81.8%,11.18,2,1,0,1,3,0,0.38333333333333325,0.0
ConnJa00,2021,RB,202,752,3.72,15,39,37,375,10.14,3,94.9%,9.62,2,0,0,1,0,0,0.5117647058823529,0.015882352941176472
PeriSa00,2021,RB,55,246,4.47,1,31,27,196,7.26,1,87.1%,6.32,,,,,,,0.2482352941176471,0.5723529411764706
CoheTa00,2021,RB,,,,,,,,,,,,,,,,,,0.0,0.0
WillJo12,2021,RB,,,,,,,,,,,,,,,,,,,
PumpDo00,2021,RB,,,,,,,,,,,,,,,,,,,
WillJa06,2021,RB,153,601,3.93,3,28,26,157,6.04,0,92.9%,5.61,1,0,0,0,0,0,0.291764705882353,0.0
GallWa00,2021,RB,28,104,3.71,0,3,1,21,21.00,0,33.3%,7.00,,,,,,,0.048124999999999994,0.10875000000000001
MackMa00,2021,RB,28,101,3.61,0,5,2,8,4.00,0,40.0%,1.60,,,,,,,0.052941176470588235,0.0
HillBr02,2021,RB,,,,,,,,,,,,,,,,,,0.0,0.25
McNiJe00,2021,RB,41,156,3.80,0,38,28,240,8.57,1,73.7%,6.32,,,,,,,0.2375,0.036250000000000004
LogaT.00,2021,RB,,,,,,,,,,,,,,,,,,,
JoneAa00,2021,RB,171,799,4.67,4,65,52,391,7.52,6,80.0%,6.02,2,1,0,0,0,0,0.52,0.01
McGuEl00,2021,RB,,,,,,,,,,,,,,,,,,0.0,0.0
HendDe01,2021,RB,,,,,,,,,,,,,,,,,,,
WilsBr01,2021,RB,,,,,,,,,,,,,,,,,,0.0,0.28647058823529414
MaysDe00,2021,RB,,,,,,,,,,,,,,,,,,,
MuhaKh00,2021,RB,,,,,,,,,,,,,,,,,,,
HoodEl00,2021,RB,,,,,,,,,,,,,,,,,,,
CarsCh00,2021,RB,54,232,4.30,3,6,6,29,4.83,0,100.0%,4.83,1,1,0,0,0,0,0.13470588235294118,0.0
DayeMa00,2021,RB,,,,,,,,,,,,,,,,,,,
FourLe00,2022,RB,189,668,3.53,3,83,73,523,7.16,3,88.0%,6.30,,,,,,,0.5635294117647058,0.0
McCaCh01,2022,RB,244,1139,4.67,8,108,85,741,8.72,5,78.7%,6.86,1,0,0,1,0,0,0.7435294117647059,0.006470588235294118
CookDa01,2022,RB,264,1173,4.44,8,56,39,295,7.56,2,69.6%,5.27,4,4,0,3,14,0,0.72,0.0
MixoJo00,2022,RB,210,814,3.88,7,75,60,441,7.35,2,80.0%,5.88,0,0,0,1,0,0,0.5662499999999999,0.0
KamaAl00,2022,RB,223,897,4.02,2,77,57,490,8.60,2,74.0%,6.36,4,4,0,1,6,0,0.6152941176470588,0.001764705882352941
HuntKa00,2022,RB,123,468,3.8,3,44,35,210,6.0,1,79.5%,4.77,1,0,0,1,0,0,0.4158823529411765,0.0
ForeDO00,2022,RB,203.0,914.0,4.5,5.0,9.0,5.0,26.0,5.2,0.0,55.6%,2.89,1.0,0.0,0.0,0.0,0.0,0.0,0.3347058823529412,0.0
ConnJa00,2022,RB,183,782,4.27,7,58,46,300,6.52,1,79.3%,5.17,3,1,0,4,0,0,0.5488235294117647,0.0
PeriSa00,2022,RB,95,394,4.15,2,51,38,287,7.55,4,74.5%,5.63,0,0,1,1,-5,0,0.40249999999999997,0.42875
CoheTa00,2022,RB,,,,,,,,,,,,,,,,,,,
WillJo12,2022,RB,,,,,,,,,,,,,,,,,,,
PumpDo00,2022,RB,,,,,,,,,,,,,,,,,,,
WillJa06,2022,RB,262,1066,4.07,17,16,12,73,6.08,0,75.0%,4.56,3,2,0,0,0,0,0.4011764705882353,0.0
GallWa00,2022,RB,,,,,,,,,,,,,,,,,,0.0,0.0
MackMa00,2022,RB,16,84,5.25,1,10,8,99,12.38,1,80.0%,9.90,0,0,0,1,0,0,0.059375,0.01375
HillBr02,2022,RB,,,,,,,,,,,,,,,,,,,
McNiJe00,2022,RB,,,,,,,,,,,,,,,,,,0.0,0.0
LogaT.00,2022,RB,,,,,,,,,,,,,,,,,,,
JoneAa00,2022,RB,213,1121,5.26,2,72,59,395,6.69,5,81.9%,5.49,5,3,0,2,0,0,0.5823529411764706,0.006470588235294119
McGuEl00,2022,RB,,,,,,,,,,,,,,,,,,,
HendDe01,2022,RB,,,,,,,,,,,,,,,,,,,
WilsBr01,2022,RB,,,,,,,,,,,,,,,,,,0.0,0.0
MaysDe00,2022,RB,,,,,,,,,,,,,,,,,,,
MuhaKh00,2022,RB,,,,,,,,,,,,,,,,,,,
HoodEl00,2022,RB,,,,,,,,,,,,,,,,,,,
CarsCh00,2022,RB,,,,,,,,,,,,,,,,,,,
DayeMa00,2022,RB,,,,,,,,,,,,,,,,,,,
