Player,Rk,Tm,Age,Pos,G,GS,Win,Loss,Tie,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds.1,Sk%,NY/A,ANY/A,4QC,GWD,Year
Armanti Edwards,84.66666666666667,CAR,24,QB,35,0,0,0,0,2,3,66.66666666666667,11,0,0.0,0,0.0,1,3.6666666666666665,3.6666666666666665,3.6666666666666665,3.6666666666666665,0.2333333333333333,77.10000000000001,0,0,0.0,3.6666666666666665,3.6666666666666665,0,0,2012
Arnaz Battle,76.5,SFO,26,WR,26,23,0,0,0,2,3,50.0,27,0,0.0,0,0.0,1,12.0,6.75,6.75,6.75,1.35,79.15,0,0,0.0,6.75,6.75,0,0,2006
B.J. Daniels,75.0,2TM,27,QB,8,0,0,0,0,1,2,50.0,7,0,0.0,0,0.0,0,7.0,3.5,3.5,7.0,0.9,58.3,0,0,0.0,3.5,3.5,0,0,2015
B.J. Sander,84.0,GNB,25,P,14,0,0,0,0,1,1,100.0,4,0,0.0,0,0.0,0,4.0,4.0,4.0,4.0,0.3,83.3,0,0,0.0,4.0,4.0,0,0,2005
Baker Mayfield,18.25,CLE,26,QB,60,59,29,30,0,1185,1924,61.625,14125,92,4.7749999999999995,56,2.875,681,76.5,7.35,7.0,11.925,235.75,87.875,134,889,6.575,6.4275,6.1075,6,7,2021
Ben DiNucci,57.0,DAL,24,QB,3,1,0,1,0,23,43,53.5,219,0,0.0,0,0.0,11,32.0,5.1,5.1,9.5,73.0,67.9,7,73,14.0,2.92,2.92,0,0,2020
Ben Roethlisberger,16.25,PIT,25,QB,56,55,39,16,0,908,1436,63.525000000000006,11673,84,5.95,54,3.675,585,73.25,8.275,7.85,13.0,207.625,94.05,146,969,9.1,6.915,6.495,9,12,2007
Bernard Scott,93.0,CIN,27,RB,16,1,0,0,0,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,39.6,0,0,0.0,0.0,0.0,0,0,2011
Bilal Powell,63.0,NYJ,25,RB,16,11,0,0,0,1,1,100.0,30,0,0.0,0,0.0,1,30.0,30.0,30.0,30.0,1.9,118.7,0,0,0.0,30.0,30.0,0,0,2013
Blaine Gabbert,43.75,SFO,25,QB,29,27,5,22,0,417,784,50.199999999999996,4395,23,5.4,24,3.25,208,60.25,5.6,5.2250000000000005,11.25,128.025,69.7,74,518,7.075,4.725,4.4725,1,1,2014
Blake Bortles,14.25,JAX,25,QB,62,61,21,40,0,1318,2229,59.15,14928,90,3.95,64,2.925,758,69.75,6.65,6.15,11.3,239.75,80.3,164,985,6.95,5.81,5.335,6,7,2017
Brad Smith,82.0,NYJ,26,WR,44,12,0,0,0,2,4,50.0,45,0,0.0,0,0.0,1,15.0,12.0,12.0,15.0,1.0999999999999999,79.83333333333333,0,0,0.0,12.0,12.0,0,0,2009
Braden Mann,85.0,NYJ,25,P,17,0,0,0,0,1,2,50.0,17,0,0.0,0,0.0,1,17.0,8.5,8.5,17.0,1.0,79.2,0,0,0.0,8.5,8.5,0,0,2022
Bradlee Van Pelt,83.0,DEN,25,QB,3,0,0,0,0,2,8,25.0,7,0,0.0,0,0.0,0,5.0,0.9,0.9,3.5,2.3,39.6,0,0,0.0,0.88,0.88,0,0,2005
Brady Quinn,49.333333333333336,CLE,25,QB,14,12,3,9,0,184,353,47.06666666666666,1902,10,1.7666666666666668,9,1.6333333333333335,99,39.666666666666664,5.533333333333334,5.166666666666667,12.1,117.2,63.53333333333333,20,113,2.6666666666666665,5.260000000000001,4.886666666666667,1,2,2009
Brandon Allen,46.0,DEN,27,QB,3,3,1,2,0,39,84,46.4,515,3,3.6,2,2.4,20,75.0,6.1,5.8,13.2,171.7,68.3,9,59,9.7,4.9,4.58,0,0,2019
Brandon LaFell,97.0,CAR,24,WR,14,2,0,0,0,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,39.6,0,0,0.0,0.0,0.0,0,0,2010
Brandon Weeden,35.0,2TM,32,QB,34,25,6,19,0,559,965,59.5,6462,31,4.25,30,3.25,266,69.0,6.975,6.35,11.775,169.125,81.35,66,452,5.85,6.1475,5.5725,2,3,2015
Brett Hundley,51.0,GNB,24,QB,15,9,3,6,0,194,326,40.4,1853,9,1.4,13,6.9,90,32.0,3.75,0.9500000000000002,9.05,85.60000000000001,35.3,29,197,4.2,3.225,0.45500000000000007,2,2,2017
Brian Brohm,59.5,BUF,25,QB,3,2,0,2,0,27,52,51.05,252,0,0.0,5,9.95,12,24.0,4.8,0.29999999999999993,9.6,89.5,30.55,5,13,9.0,4.165,0.12,0,0,2010
Brian St. Pierre,113.0,PIT,25,QB,1,0,0,0,0,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,39.6,0,0,0.0,0.0,0.0,1,1,2004
Brian Urlacher,106.0,CHI,24,MLB,16,16,0,0,0,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,39.6,0,0,0.0,0.0,0.0,0,0,2002
Brian Westbrook,74.0,PHI,23,RB,15,3,0,0,0,1,1,100.0,25,1,100.0,0,0.0,1,25.0,25.0,45.0,25.0,1.7,158.3,0,0,0.0,25.0,45.0,0,0,2002
Brock Osweiler,57.0,DEN,25,QB,21,7,5,2,0,187,305,55.15,2126,11,3.4,6,0.55,100,34.0,5.325,5.75,9.8,71.275,79.275,25,159,4.7,4.78,5.2225,2,2,2015
Brodie Croyle,51.75,KAN,26,QB,16,9,0,9,0,173,300,56.525,1631,8,1.925,8,7.825,77,29.5,4.95,1.8,8.75,75.0,63.400000000000006,22,139,7.475,3.9825,1.2449999999999999,0,0,2009
Brooks Bollinger,52.333333333333336,MIN,27,QB,14,9,2,7,0,168,293,61.4,1764,7,0.8666666666666667,7,2.6333333333333333,87,45.333333333333336,6.8999999999999995,5.8999999999999995,11.200000000000001,91.53333333333335,74.0,39,243,15.233333333333334,4.703333333333333,3.9333333333333336,1,0,2006
Bruce Gradkowski,51.75,OAK,26,QB,26,16,5,11,0,279,523,49.05,2824,15,1.675,16,5.800000000000001,131,40.0,4.6,2.325,8.850000000000001,79.3,50.425,42,249,9.4,3.7199999999999998,1.755,4,5,2009
Bryan Anger,76.0,JAX,26,P,16,0,0,0,0,1,1,100.0,19,0,0.0,0,0.0,1,19.0,19.0,19.0,19.0,1.2,118.7,0,0,0.0,19.0,19.0,0,0,2014
Bryce Petty,41.0,NYJ,26,QB,10,7,1,6,0,130,245,52.75,1353,4,1.5999999999999999,10,4.0,60,49.0,5.5,4.0,10.350000000000001,135.4,57.55,21,134,7.800000000000001,4.54,3.185,1,1,2017
Bubba Franks,71.0,GNB,24,TE,16,15,0,0,0,1,1,100.0,31,1,100.0,0,0.0,1,31.0,31.0,51.0,31.0,1.9,158.3,0,0,0.0,31.0,51.0,0,0,2002
Byron Leftwich,24.5,JAX,26,QB,46,44,24,20,0,789,1344,58.65,9042,51,3.875,36,2.625,435,61.25,6.675,6.3,11.4,196.05,80.875,76,362,5.375,6.0725,5.6850000000000005,7,10,2006
C.J. Beathard,37.333333333333336,SFO,27,QB,19,12,2,10,0,291,497,59.6,3469,18,4.1000000000000005,13,2.2666666666666666,169,71.33333333333333,7.133333333333333,6.8999999999999995,11.933333333333332,181.4,85.56666666666666,46,368,8.466666666666667,5.833333333333333,5.6499999999999995,0,0,2020
Cam Newton,14.75,CAR,25,QB,62,62,30,31,1,1144,1923,59.475,14426,82,4.275,54,2.8,675,75.75,7.475,7.075,12.6,232.4,85.4,152,1140,7.325,6.3875,6.0075,9,8,2014
Cardale Jones,58.0,BUF,24,QB,1,0,0,0,0,6,11,54.5,96,0,0.0,1,9.1,2,64.0,8.7,4.6,16.0,96.0,46.0,1,2,8.3,7.83,4.08,0,0,2016
Carson Palmer,9.333333333333334,CIN,27,QB,45,45,25,20,0,932,1461,63.666666666666664,10768,78,5.3,43,3.033333333333333,538,73.33333333333333,7.333333333333333,7.033333333333334,11.533333333333333,238.26666666666665,90.76666666666667,80,516,5.2,6.62,6.336666666666666,5,9,2006
Carson Wentz,16.75,PHI,27,QB,56,56,32,24,0,1311,2055,64.02499999999999,14191,97,4.925,35,1.7,725,64.0,7.025,7.225,10.95,255.45,94.125,129,807,6.025,6.21,6.4174999999999995,6,8,2019
Cecil Shorts,71.0,JAX,27,WR,13,12,0,0,0,2,2,100.0,32,1,50.0,0,0.0,2,23.0,16.0,26.0,16.0,2.5,158.3,0,0,0.0,16.0,26.0,0,0,2014
Cedrick Wilson,92.0,SFO,25,WR,16,4,0,0,0,1,1,100.0,6,0,0.0,0,0.0,0,6.0,6.0,6.0,6.0,0.4,91.7,0,0,0.0,6.0,6.0,0,0,2003
Cedrick Wilson Jr.,73.5,DAL,26,WR,32,4,0,0,0,5,5,100.0,111,1,25.0,0,0.0,4,23.5,20.4,25.4,20.4,3.45,136.45,0,0,0.0,20.415,25.415,0,0,2021
Chad Henne,34.5,MIA,26,QB,36,31,13,18,0,646,1065,59.4,7114,31,2.35,37,2.65,367,46.0,6.625,5.9,11.175,166.25,75.9,67,421,5.05,5.9399999999999995,5.2675,3,4,2011
Chad Pennington,40.0,NYJ,27,QB,28,21,12,9,0,476,721,55.625,5418,37,8.725,18,1.375,291,49.5,8.25,9.375,16.325,133.725,98.45,49,307,8.625,6.9350000000000005,7.8875,3,4,2003
Charlie Frye,49.75,SEA,27,QB,23,20,6,14,0,366,590,54.025,3573,16,3.4,25,6.5,171,38.5,4.825,2.575,8.825,101.85,52.05,74,447,16.674999999999997,3.085,1.335,1,1,2008
Chase Claypool,95.0,2TM,24,WR,15,11,0,0,0,1,1,100.0,1,1,100.0,0,0.0,1,1.0,1.0,21.0,1.0,0.1,118.7,0,0,0.0,1.0,21.0,0,0,2022
Chris Johnson,95.0,TEN,24,RB,16,16,0,0,0,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,39.6,0,0,0.0,0.0,0.0,0,0,2009
Chris Redman,61.0,BAL,26,QB,10,6,3,3,0,106,198,57.93333333333334,1111,7,1.2666666666666666,5,5.666666666666667,54,21.333333333333332,5.5,3.1666666666666665,9.5,70.26666666666667,62.03333333333333,17,113,12.433333333333335,4.006666666666667,2.436666666666667,0,0,2003
Chris Simms,39.333333333333336,TAM,26,QB,19,15,7,8,0,291,492,57.73333333333333,3087,12,1.8333333333333333,17,4.3,156,69.33333333333333,6.133333333333333,4.533333333333333,10.633333333333333,157.79999999999998,63.93333333333334,43,312,8.033333333333333,5.033333333333333,3.5666666666666664,3,3,2006
Chris Weinke,37.5,CAR,30,QB,21,16,1,15,0,310,578,49.5,3111,11,1.0,22,5.7,148,36.0,5.050000000000001,2.75,10.3,112.7,44.1,32,212,9.1,4.085,1.985,0,0,2002
Christian Kirk,75.0,ARI,25,WR,17,11,0,0,0,1,1,100.0,33,0,0.0,0,0.0,1,33.0,33.0,33.0,33.0,1.9,118.7,0,0,0.0,33.0,33.0,0,0,2021
Christian McCaffrey,80.5,CAR,23,RB,32,32,0,0,0,1,3,50.0,50,1,50.0,0,0.0,1,25.0,25.0,35.0,25.0,1.55,98.95,0,0,0.0,25.0,35.0,0,0,2019
Christian Ponder,36.0,MIN,26,QB,38,36,14,21,1,632,1057,57.5,6658,38,2.775,36,3.825,354,50.5,6.1,4.95,10.6,161.5,68.75,95,501,9.425,5.0275,3.9875,2,3,2014
Clinton Portis,82.0,WAS,24,RB,31,31,0,0,0,2,4,50.0,32,2,50.0,0,0.0,2,16.0,8.0,18.0,16.0,1.05,116.65,0,0,0.0,8.0,18.0,0,0,2005
Cody Kessler,44.0,JAX,25,QB,17,12,2,10,0,224,349,59.43333333333334,2215,8,1.5333333333333332,5,2.2666666666666666,110,36.666666666666664,6.0,5.233333333333333,10.200000000000001,112.36666666666667,72.10000000000001,49,337,14.933333333333332,4.03,3.4499999999999997,0,0,2018
Cody Pickett,64.5,SFO,25,QB,6,2,0,2,0,18,45,40.0,195,0,0.0,4,12.85,8,23.0,4.75,-1.05,11.9,41.5,23.5,5,30,12.3,3.34,-1.595,0,0,2005
Colin Kaepernick,34.0,SFO,27,QB,48,39,25,14,0,671,1117,60.325,8415,50,3.4,21,1.35,400,55.0,7.5,7.575,12.475,140.4,89.375,107,687,6.300000000000001,6.625,6.695,6,6,2014
Colt McCoy,44.25,SFO,27,QB,28,21,6,15,0,410,703,67.725,4401,21,2.9000000000000004,20,1.625,225,34.25,7.65,7.5,10.95,109.2,88.25,59,330,8.725,6.6575,6.4975000000000005,1,3,2013
Connor Cook,53.0,OAK,23,QB,1,0,0,0,0,14,21,66.7,150,1,4.8,1,4.8,6,32.0,7.1,6.0,10.7,150.0,83.4,2,7,8.7,6.22,5.13,0,0,2016
Cooper Kupp,92.0,LAR,26,WR,31,20,0,0,0,0,2,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,39.6,0,0,0.0,0.0,0.0,0,0,2019
Courtland Sutton,72.5,DEN,26,WR,33,30,0,0,0,2,2,100.0,54,0,0.0,0,0.0,2,27.0,27.0,27.0,27.0,1.65,118.7,0,0,0.0,27.0,27.0,0,0,2021
Craig Krenzel,39.0,CHI,23,QB,6,5,3,2,0,59,127,46.5,718,3,2.4,6,4.7,31,49.0,5.7,4.0,12.2,119.7,52.5,23,158,15.3,3.73,2.33,1,1,2004
Craig Nall,54.0,GNB,25,QB,5,0,0,0,0,23,33,69.7,314,4,12.1,0,0.0,19,43.0,9.5,11.9,13.7,62.8,139.4,2,8,5.7,8.74,11.03,0,0,2004
Curtis Painter,48.0,IND,26,QB,11,8,0,8,0,140,271,41.45,1624,6,1.25,11,5.4,74,54.5,4.65,2.45,11.05,106.35,38.199999999999996,19,120,7.949999999999999,3.855,1.855,0,0,2011
D'Andre Swift,113.0,DET,22,RB,13,4,0,0,0,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,39.6,0,0,0.0,0.0,0.0,0,0,2021
D.J. Moore,109.0,CAR,23,WR,15,14,0,0,0,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,39.6,0,0,0.0,0.0,0.0,0,0,2020
Dak Prescott,13.0,DAL,26,QB,64,64,40,24,0,1363,2071,65.875,15778,97,4.675,36,1.725,782,79.0,7.6,7.75,11.525,246.55,97.025,136,826,6.1499999999999995,6.7625,6.915,8,14,2019
Dan Orlovsky,51.5,DET,25,QB,12,7,0,7,0,150,272,48.650000000000006,1679,8,1.55,8,1.55,79,58.0,5.0,4.65,10.15,96.55,62.199999999999996,15,98,5.4,4.49,4.12,0,0,2008
Daniel Jones,21.75,NYG,25,QB,54,53,21,31,1,1113,1740,63.974999999999994,11603,60,3.425,34,1.9500000000000002,569,61.75,6.675,6.475,10.45,216.0,86.35,149,984,7.725,5.6375,5.4525,6,8,2022
Daniel Sepulveda,80.0,PIT,23,P,16,0,0,0,0,1,1,100.0,32,0,0.0,0,0.0,1,32.0,32.0,32.0,32.0,2.0,118.7,0,0,0.0,32.0,32.0,0,0,2007
Dante Pettis,79.5,NYG,26,WR,14,4,0,0,0,2,2,100.0,32,0,0.0,0,0.0,2,16.0,16.0,16.0,16.0,3.4,118.7,0,0,0.0,16.0,16.0,0,0,2021
Darren McFadden,100.0,OAK,23,RB,13,13,0,0,0,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,39.6,0,0,0.0,0.0,0.0,0,0,2010
Dave Ragone,57.0,HOU,24,QB,2,2,0,2,0,20,40,50.0,135,0,0.0,1,2.5,8,24.0,3.4,2.3,6.8,67.5,47.4,8,39,16.7,2.0,1.06,0,0,2003
Dave Zastudil,107.0,BAL,24,P,16,0,0,0,0,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,39.6,0,0,0.0,0.0,0.0,0,0,2002
David Carr,20.5,HOU,26,QB,60,59,16,43,0,941,1628,57.7,10624,48,2.95,53,3.35,514,70.25,6.525,5.625,11.325,176.5,73.25,208,1226,10.675,5.215,4.3950000000000005,5,7,2005
David Fales,59.5,MIA,27,QB,3,0,0,0,0,31,48,53.7,287,1,1.15,1,1.15,17,19.0,5.300000000000001,5.0,10.05,77.25,67.85,2,13,9.5,4.335,4.05,0,0,2017
David Garrard,50.5,JAX,27,QB,17,8,5,3,0,168,298,59.025,1808,8,3.925,4,1.575,106,30.75,6.0,6.075,10.2,88.475,82.775,21,120,6.35,5.3025,5.42,2,3,2005
David Givens,103.0,NWE,23,WR,13,5,0,0,0,0,1,0.0,0,0,0.0,1,100.0,0,0.0,0.0,-45.0,0.0,0.0,0.0,0,0,0.0,0.0,-45.0,0,0,2003
David Montgomery,110.0,CHI,24,RB,13,13,0,0,0,0,1,0.0,0,0,0.0,1,100.0,0,0.0,0.0,-45.0,0.0,0.0,0.0,0,0,0.0,0.0,-45.0,0,0,2021
DeSean Jackson,94.0,PHI,22,WR,16,15,0,0,0,0,1,0.0,0,0,0.0,1,100.0,0,0.0,0.0,-45.0,0.0,0.0,0.0,0,0,0.0,0.0,-45.0,0,0,2008
DeShaun Foster,91.0,CAR,25,RB,15,5,0,0,0,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,39.6,0,0,0.0,0.0,0.0,0,0,2005
DeShone Kizer,38.5,GNB,22,QB,18,15,0,15,0,275,518,50.6,3081,11,1.15,24,4.699999999999999,139,42.5,5.3,3.4,10.350000000000001,127.6,50.5,42,264,8.05,4.215,2.485,0,0,2018
Dede Westbrook,106.0,JAX,25,WR,16,9,0,0,0,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,39.6,0,0,0.0,0.0,0.0,0,0,2018
Dee Brown,87.0,CAR,24,RB,14,3,0,0,0,0,1,0.0,0,0,0.0,1,100.0,0,0.0,0.0,-45.0,0.0,0.0,0.0,0,0,0.0,0.0,-45.0,0,0,2002
DeeJay Dallas,98.0,SEA,24,RB,15,0,0,0,0,0,1,0.0,0,0,0.0,1,100.0,0,0.0,0.0,-45.0,0.0,0.0,0.0,0,0,0.0,0.0,-45.0,0,0,2022
Deebo Samuel,78.0,SFO,25,WR,16,15,0,0,0,1,2,50.0,24,1,50.0,0,0.0,1,24.0,12.0,22.0,24.0,1.5,133.3,0,0,0.0,12.0,22.0,0,0,2021
Demaryius Thomas,96.0,DEN,24,WR,11,5,0,0,0,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,39.6,0,0,0.0,0.0,0.0,0,0,2011
Denard Robinson,90.0,JAX,24,RB,29,9,0,0,0,0,2,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,39.6,0,0,0.0,0.0,0.0,0,0,2014
Dennis Dixon,66.0,PIT,25,QB,4,3,2,1,0,35,59,71.66666666666667,402,1,1.2666666666666666,2,2.3000000000000003,14,29.333333333333332,5.5,4.7,8.866666666666667,91.66666666666667,73.06666666666668,5,41,4.5,4.78,4.053333333333334,0,1,2010
Dennis Northcutt,116.0,CLE,26,WR,15,6,0,0,0,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,39.6,0,0,0.0,0.0,0.0,0,0,2003
Derek Anderson,28.0,CLE,25,QB,31,27,13,14,0,506,927,54.36666666666667,6195,43,4.333333333333333,35,4.3999999999999995,305,71.33333333333333,6.566666666666666,5.466666666666666,12.033333333333333,185.6,70.7,36,262,4.566666666666667,5.919999999999999,4.8566666666666665,4,5,2008
Derek Carr,15.0,OAK,26,QB,62,62,28,34,0,1378,2247,61.425,14690,103,4.6,44,1.975,710,76.75,6.575,6.6,10.65,237.3,87.7,91,559,3.875,6.07,6.1,13,13,2017
Derrick Henry,80.0,TEN,24,RB,16,12,0,0,0,2,3,66.7,14,0,0.0,0,0.0,1,8.0,4.7,4.7,7.0,0.9,77.1,0,0,0.0,4.67,4.67,0,0,2018
Deshaun Watson,14.0,HOU,25,QB,54,53,28,25,0,1186,1748,66.9,14539,104,6.45,36,2.35,712,69.0,8.3,8.525,12.45,265.3,104.125,174,1050,8.975,7.02,7.2275,8,10,2020
Deuce McAllister,99.0,NOR,25,RB,32,20,0,0,0,1,4,25.0,12,1,25.0,0,0.0,1,6.0,3.0,8.0,6.0,0.4,73.95,0,0,0.0,3.0,8.0,0,0,2003
Domanick Williams,98.0,HOU,25,RB,11,11,0,0,0,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,39.6,0,0,0.0,0.0,0.0,0,0,2005
Drew Brees,25.25,SDG,25,QB,43,42,21,21,0,802,1309,59.875,8772,56,4.2,38,2.25,411,59.75,7.05,6.875,11.85,207.125,86.0,65,501,5.3,6.3025,6.135,3,7,2004
Drew Henson,63.0,DAL,24,QB,7,1,1,0,0,10,18,55.6,78,1,5.6,1,5.6,7,16.0,4.3,2.9,7.8,11.1,61.8,2,26,10.0,2.6,1.35,0,0,2004
Drew Lock,33.333333333333336,DEN,25,QB,24,21,8,13,0,421,710,60.599999999999994,4740,25,3.3000000000000003,20,2.3666666666666667,231,61.333333333333336,6.733333333333333,6.333333333333333,11.133333333333333,186.9333333333333,81.83333333333333,33,201,4.8999999999999995,6.126666666666666,5.739999999999999,2,3,2021
Drew Stanton,48.666666666666664,DET,26,QB,12,4,2,2,0,104,187,53.96666666666667,1158,5,3.1,9,4.766666666666667,57,52.666666666666664,6.233333333333333,4.699999999999999,11.5,85.33333333333333,66.5,17,104,13.266666666666667,4.5633333333333335,3.0999999999999996,2,2,2010
Duke Johnson,89.0,CLE,23,RB,16,1,0,0,0,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,39.6,0,0,0.0,0.0,0.0,0,0,2016
Dwayne Haskins,35.0,WAS,23,QB,16,13,3,10,0,267,444,60.0,2804,12,2.75,14,3.15,138,62.5,6.35,5.5,10.6,178.64999999999998,74.55,49,345,10.1,4.984999999999999,4.2,2,2,2020
EJ Manuel,42.75,BUF,26,QB,28,17,6,11,0,319,547,55.25,3502,19,2.75,15,2.2,162,54.5,6.125,5.675,11.175,116.675,73.7,43,268,7.45,5.1975,4.785,1,3,2016
Easton Stick,100.0,LAC,25,QB,1,0,0,0,0,1,1,100.0,4,0,0.0,0,0.0,0,4.0,4.0,4.0,4.0,4.0,83.3,0,0,0.0,4.0,4.0,0,0,2020
Eddie Royal,101.0,DEN,22,WR,15,15,0,0,0,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,39.6,0,0,0.0,0.0,0.0,0,0,2008
Eli Manning,16.0,NYG,26,QB,57,55,30,25,0,987,1805,53.7,11385,77,4.05,64,3.7249999999999996,555,61.25,6.15,5.275,11.45,190.575,70.55000000000001,93,670,5.125,5.4725,4.6625,7,8,2007
Emmanuel Sanders,79.0,PIT,24,WR,11,0,0,0,0,1,1,100.0,15,0,0.0,0,0.0,1,15.0,15.0,15.0,15.0,1.4,118.7,0,0,0.0,15.0,15.0,0,0,2011
Eric Decker,86.0,DEN,24,WR,16,13,0,0,0,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,39.6,0,0,0.0,0.0,0.0,0,0,2011
Freddie Mitchell,92.33333333333333,PHI,25,WR,47,8,0,0,0,1,3,33.333333333333336,25,1,33.333333333333336,0,0.0,1,8.333333333333334,8.333333333333334,15.0,8.333333333333334,0.5333333333333333,79.16666666666667,0,0,0.0,8.333333333333334,15.0,0,0,2003
Gardner Minshew II,35.75,PHI,26,QB,32,24,8,16,0,586,933,63.224999999999994,6632,44,5.0,15,2.1,321,58.75,7.475,7.525,11.95,181.75,93.825,71,390,7.3,6.5325,6.58,4,4,2022
Geno Smith,38.75,NYJ,26,QB,33,30,12,18,0,501,866,59.225,5962,28,4.525,36,4.425,284,60.0,7.275,6.175,12.350000000000001,174.7,78.275,77,528,10.05,5.8325,4.87,3,7,2016
Gibran Hamdan,90.0,WAS,22,QB,1,0,0,0,0,1,2,50.0,7,0,0.0,0,0.0,0,7.0,3.5,3.5,7.0,7.0,58.3,1,2,33.3,1.67,1.67,0,0,2003
Golden Tate,69.0,SEA,24,WR,15,15,0,0,0,1,1,100.0,23,1,100.0,0,0.0,1,23.0,23.0,43.0,23.0,1.5,158.3,0,0,0.0,23.0,43.0,0,0,2012
Greg McElroy,45.0,NYJ,24,QB,2,1,0,1,0,19,31,61.3,214,1,3.2,1,3.2,13,30.0,6.9,6.1,11.3,107.0,79.2,11,71,26.2,3.4,2.81,1,1,2012
Isaiah McKenzie,97.0,BUF,25,WR,16,7,0,0,0,1,1,100.0,12,1,100.0,0,0.0,1,12.0,12.0,32.0,12.0,0.8,156.2,0,0,0.0,12.0,32.0,0,0,2020
J.J. Arrington,90.0,ARI,25,RB,11,3,0,0,0,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,39.6,0,0,0.0,0.0,0.0,0,0,2008
J.P. Losman,39.5,BUF,26,QB,37,31,10,21,0,495,837,58.875,5627,31,2.55,29,7.55,248,60.75,6.575,3.675,11.2,124.525,66.47500000000001,88,632,11.05,5.3425,2.8875,3,6,2007
JK Scott,105.0,GNB,23,K,16,0,0,0,0,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,39.6,0,0,0.0,0.0,0.0,0,0,2018
JaMarcus Russell,39.0,OAK,24,QB,31,25,7,18,0,354,680,52.36666666666667,4083,18,2.566666666666667,23,4.266666666666667,185,67.33333333333333,5.833333333333333,4.433333333333334,11.1,120.7,61.0,70,457,9.3,4.683333333333334,3.4299999999999997,3,4,2009
Jabar Gaffney,90.0,HOU,24,WR,48,37,0,0,0,1,5,33.333333333333336,39,1,33.333333333333336,0,0.0,1,13.0,13.0,19.666666666666668,13.0,0.7999999999999999,79.16666666666667,0,0,0.0,13.0,19.666666666666668,0,0,2004
Jacob Eason,74.5,CAR,25,QB,2,0,0,0,0,5,10,50.0,84,0,0.0,2,20.0,4,29.5,8.4,-0.6000000000000001,16.1,42.0,39.2,0,0,0.0,8.4,-0.6000000000000001,0,0,2022
Jacoby Brissett,47.0,IND,27,QB,38,32,12,20,0,584,975,57.875,6442,31,1.7,13,0.7,308,48.0,5.25,5.275,8.7,130.875,77.45,85,510,6.375,4.3825,4.404999999999999,2,3,2019
Jahvid Best,91.0,DET,21,RB,16,9,0,0,0,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,39.6,0,0,0.0,0.0,0.0,0,0,2010
Jake Elliott,94.0,PHI,24,K,16,0,0,0,0,0,1,0.0,0,0,0.0,1,100.0,0,0.0,0.0,-45.0,0.0,0.0,0.0,0,0,0.0,0.0,-45.0,0,0,2019
Jake Fromm,57.0,NYG,23,QB,3,2,0,2,0,27,60,45.0,210,1,1.7,3,5.0,10,36.0,3.5,1.6,7.8,70.0,38.9,6,33,9.1,2.68,0.94,0,0,2021
Jake Locker,38.75,TEN,26,QB,30,23,9,14,0,408,709,56.875,4967,27,4.275,22,2.625,221,63.0,7.2,6.875,12.75,156.875,82.75,60,378,7.800000000000001,6.135,5.8375,1,3,2014
Jake Luton,44.0,JAX,24,QB,3,3,0,3,0,60,110,54.5,624,2,1.8,6,5.5,31,73.0,5.7,3.6,10.4,208.0,54.5,7,52,6.0,4.89,2.92,0,0,2020
Jake Rudock,71.0,DET,24,QB,3,0,0,0,0,3,5,60.0,24,0,0.0,1,20.0,1,13.0,4.8,-4.2,8.0,8.0,32.5,0,0,0.0,4.8,-4.2,0,0,2017
