Player,Rk,Tm,Age,Pos,G,GS,Win,Loss,Tie,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds.1,Sk%,NY/A,ANY/A,4QC,GWD,Year
Randy Fasani,56.0,CAR,24,QB,4,1,0,1,0,15,44,34.1,171,0,0.0,4,9.1,8,27.0,3.9,-0.2,11.4,42.8,8.8,7,60,13.7,2.18,-1.35,0,0,2002
Ray Rice,91.0,BAL,24,RB,32,31,0,0,0,1,2,50.0,1,1,50.0,0,0.0,1,0.5,0.5,10.5,0.5,0.05,79.15,0,0,0.0,0.5,10.5,0,0,2011
Reche Caldwell,76.0,SDG,23,WR,16,2,0,0,0,1,1,100.0,20,0,0.0,0,0.0,1,20.0,20.0,20.0,20.0,1.3,118.7,0,0,0.0,20.0,20.0,0,0,2002
Reggie Bush,80.0,NOR,21,RB,16,8,0,0,0,0,1,0.0,0,0,0.0,1,100.0,0,0.0,0.0,-45.0,0.0,0.0,0.0,0,0,0.0,0.0,-45.0,0,0,2006
Rex Grossman,40.0,CHI,26,QB,24,23,17,6,0,367,675,53.675,4496,27,2.8499999999999996,26,3.575,216,53.75,6.65,5.6,12.4,169.275,69.075,31,214,4.4,6.03,5.0325,1,3,2006
Riley Dixon,74.0,DEN,23,P,16,0,0,0,0,1,1,100.0,16,0,0.0,0,0.0,1,16.0,16.0,16.0,16.0,1.0,118.7,0,0,0.0,16.0,16.0,0,0,2016
Robert Griffin III,24.666666666666668,WAS,24,QB,37,35,14,21,0,679,1063,64.8,8097,40,3.5,23,2.233333333333333,380,73.0,7.666666666666667,7.366666666666667,11.866666666666667,215.96666666666667,90.5,101,718,9.4,6.3066666666666675,6.04,4,5,2014
Rod Gardner,87.66666666666667,WAS,27,WR,48,45,0,0,0,2,7,22.233333333333334,46,2,22.233333333333334,0,0.0,2,12.0,5.1000000000000005,9.566666666666666,7.666666666666667,0.9666666666666667,76.16666666666667,0,0,0.0,5.11,9.556666666666667,0,0,2004
Rohan Davey,76.66666666666667,NWE,26,QB,7,0,0,0,0,8,19,44.300000000000004,88,0,0.0,0,0.0,6,13.0,3.766666666666667,3.766666666666667,8.933333333333334,15.333333333333334,56.76666666666667,0,0,0.0,3.776666666666667,3.776666666666667,0,0,2004
Ronald Curry,94.0,OAK,25,WR,12,3,0,0,0,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,39.6,0,0,0.0,0.0,0.0,0,0,2004
Ronnie Brown,71.5,MIA,27,RB,29,25,0,0,0,2,4,33.35,41,1,16.65,0,0.0,1,11.0,6.85,10.15,10.25,1.3,94.45,1,8,12.5,4.125,6.625,0,0,2008
Roscoe Parrish,85.0,BUF,23,WR,10,1,0,0,0,1,1,100.0,3,0,0.0,0,0.0,0,3.0,3.0,3.0,3.0,0.3,79.2,0,0,0.0,3.0,3.0,0,0,2005
Roy Williams,115.0,DET,23,WR,28,24,0,0,0,0,2,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,39.6,0,0,0.0,0.0,0.0,0,0,2004
Russell Gage,73.0,ATL,24,WR,16,8,0,0,0,1,2,50.0,39,1,50.0,0,0.0,1,39.0,19.5,29.5,39.0,2.4,135.4,0,0,0.0,19.5,29.5,0,0,2020
Russell Wilson,16.5,SEA,27,QB,64,64,46,18,0,1123,1735,64.6,13974,106,6.1,34,1.975,661,76.75,8.025,8.375,12.475,218.35,101.575,164,982,8.625,6.835,7.14,9,14,2015
Rusty Smith,60.5,TEN,25,QB,3,1,0,1,0,23,45,55.0,234,0,0.0,4,5.0,9,34.5,5.9,3.65,10.65,67.0,52.7,1,0,1.2,5.84,3.645,0,0,2012
Ryan Finley,53.5,CIN,26,QB,8,4,1,3,0,58,119,50.1,638,3,2.7,4,4.3,28,38.5,5.25,3.9000000000000004,10.6,95.4,57.1,20,156,16.6,3.175,2.07,0,0,2020
Ryan Fitzpatrick,36.0,CIN,26,QB,17,15,4,10,1,297,507,57.849999999999994,2682,12,2.6,17,4.15,139,67.5,5.449999999999999,4.1,9.399999999999999,170.4,64.1,47,242,7.800000000000001,4.619999999999999,3.3449999999999998,1,1,2008
Ryan Lindley,48.666666666666664,IND,26,QB,10,6,1,5,0,140,274,53.46666666666667,1372,3,4.066666666666666,11,2.7999999999999994,73,29.0,5.3999999999999995,4.966666666666666,10.200000000000001,123.53333333333335,71.03333333333333,18,137,4.233333333333333,4.873333333333333,4.496666666666666,0,0,2015
Ryan Mallett,60.0,HOU,26,QB,7,2,1,1,0,42,79,39.85,417,2,1.35,3,13.85,24,29.0,4.8,-1.15,13.4,68.80000000000001,36.4,1,5,0.65,4.725,-1.23,0,0,2014
Ryan Nassib,62.5,NYG,25,QB,5,0,0,0,0,9,10,90.0,128,1,10.0,0,0.0,6,27.0,12.8,14.8,14.3,41.5,137.5,2,11,14.3,10.3,12.3,0,0,2015
Ryan Tannehill,12.5,MIA,27,QB,64,64,29,35,0,1392,2248,61.75,15460,87,3.8249999999999997,54,2.4,775,62.75,6.9,6.575,11.15,241.575,84.825,184,1390,7.5,5.7925,5.4925,9,7,2015
Sage Rosenfels,75.33333333333333,MIA,26,QB,9,1,0,1,0,20,48,35.9,314,2,6.433333333333334,3,2.566666666666667,11,32.333333333333336,5.033333333333334,5.166666666666667,9.666666666666666,37.666666666666664,70.83333333333333,3,16,2.3666666666666667,4.743333333333333,4.946666666666666,0,0,2004
Sam Bradford,22.25,STL,26,QB,49,49,18,30,1,1032,1760,58.425,11065,59,3.4749999999999996,38,2.025,554,67.5,6.3,6.05,10.775,227.075,80.125,120,822,6.5,5.445,5.24,6,5,2013
Sam Darnold,26.0,CAR,24,QB,50,49,17,32,0,972,1625,59.775,10624,54,3.275,52,3.175,509,75.0,6.525,5.725,10.925,211.9,76.625,133,854,7.625,5.535,4.8125,3,4,2021
Sam Martin,72.0,DET,24,P,16,0,0,0,0,2,2,100.0,27,0,0.0,0,0.0,1,24.0,13.5,13.5,13.5,1.7,118.7,0,0,0.0,13.5,13.5,0,0,2014
Santonio Holmes,94.0,PIT,25,WR,16,16,0,0,0,0,1,0.0,0,0,0.0,1,100.0,0,0.0,0.0,-45.0,0.0,0.0,0.0,0,0,0.0,0.0,-45.0,0,0,2009
Sean Mannion,66.25,LAR,26,QB,10,1,0,1,0,33,53,65.475,258,0,0.0,1,4.175,12,22.0,5.075,3.2,7.85,23.675,66.15,3,20,1.875,4.85,2.9749999999999996,0,0,2018
Sean Renfree,73.0,ATL,25,QB,2,0,0,0,0,3,7,42.9,11,0,0.0,1,14.3,1,11.0,1.6,-4.9,3.7,5.5,10.7,2,17,22.2,-0.67,-5.67,0,0,2015
