,Unnamed: 0.1,Unnamed: 0,Player,Tm,Pos,Rush_Rk,Age,G,GS,Att,Rush_Yds,Rush_TD,Rush_1D,Rush_Lng,Y/A,Y/G,Rush_Fmb,Rec_Rk,Tgt,Rec,Ctch%,Rec_Yds,Y/R,Rec_TD,Rec_1D,Rec_Lng,Y/Tgt,R/G,Rec_Fmb,Year,Rookie,Vet,Con_Len,Con_Sal,Cap,%Cap,New_Con_Len,New_Perc_Cap,Con_Yrs_Lft
0,0,0,Ezekiel Elliott,DAL,RB,-1.0808780199321275,-1.631695198778388,0.6463674887053168,1.7664400580417647,2.382109908102026,2.950529242630564,2.9276642865425053,3.218168741578208,1.356207167347384,1.0237073247668116,2.726732393036625,2.740406941594744,-0.7817184769743822,0.4309905072086115,0.5772604927817071,0.4980685396592813,1.1906885192489278,1.0569747895664332,0.1563386139790202,0.3846470971805943,3.41095990659418,1.1645558267276117,0.3099939611875393,2.8175227285940423,2016,1.0,0.0,4.0,24956341.0,155270000.0,0.0401821681586913,0,0.0373597919161676,3
1,1,1,LeGarrette Blount,NWE,RB,-1.064842822701312,1.4193513030469538,0.8914484948394161,0.3669098130509635,2.121034553980565,1.7590181086849943,3.691767871844708,1.981534303345856,0.5688715869415663,-0.1135138335702772,1.3446444179140211,0.5592667227744376,0.6537631727668706,-0.8585502442105876,-0.7964948506880077,0.7953771448712837,-0.8573503049175086,-0.7433426868290125,-0.6861528057968111,-0.8801247138878007,-0.6093209118598597,-0.3814557863095002,-1.0352166756499672,0.6194017794764383,2016,0.0,1.0,1.0,1000000.0,155270000.0,0.0064403941521221,1,0.0074850299401197,0
2,2,2,David Johnson,ARI,RB,-1.0488076254704963,-0.2756745313004584,0.8914484948394161,1.966372950183308,2.052927939861923,1.9567582543185145,3.1823654816432394,2.210540680796292,1.2577902197966568,0.1707914560139953,1.528412348124229,2.740406941594744,-1.858329714280322,3.800435696400712,3.21487075224356,-0.3498115566860578,4.442344006233178,0.9654332229700544,2.6838128733065147,4.305439711492619,1.910855123588941,0.4774395542666728,2.604765047557404,2.8175227285940423,2016,1.0,0.0,4.0,2919373.0,155270000.0,0.0047004781992657,0,0.0043703188622754,2
3,3,3,DeMarco Murray,TEN,RB,-1.0327724282396806,0.7413409693079889,0.8914484948394161,1.966372950183308,2.052927939861923,2.078444497785296,1.3994571159381,1.9357330278557687,2.0943342739778386,0.3603283157368436,1.6432673045056092,1.2863134623812065,-1.3506593747376836,1.5957369923614364,1.7312149812962674,0.3328970923192801,1.2789117301360975,-0.2246071427828673,1.8413214535306832,1.52294172714215,0.5307587232241215,-0.1066092773251249,1.2595544107198966,1.3521087625156396,2016,0.0,1.0,4.0,25250000.0,155270000.0,0.0406549880852708,0,0.0377994011976047,3
4,4,4,Todd Gurley,LAR,RB,-1.016737231008865,-1.292690031908906,0.8914484948394161,1.966372950183308,1.882661404565318,1.059322208751,0.6353535306358974,1.111310069034201,-0.415297888565706,-0.7768928426002456,0.6823141694480648,0.5592667227744376,-1.1405888894096954,1.2213541935623142,1.1817128439083815,0.0576113467526114,0.9638288341104918,-0.0720378651222363,-0.6861528057968111,1.0170330027147918,0.4107503405837024,-0.1066092773251249,0.7847741859537182,0.6194017794764383,2016,1.0,0.0,4.0,13823183.0,155270000.0,0.0222566867392284,0,0.0206933877245509,2
5,5,5,Lamar Miller,HOU,RB,-1.0007020337780492,-0.2756745313004584,0.4012864825712174,1.5665071659002214,1.7691503810342482,1.535926662329228,0.3806523355351632,1.3861177219747236,0.6180800607169299,-0.018745403708853,1.497784359755861,0.5592667227744376,-0.7467067294197175,0.4309905072086115,0.5223102790429185,0.3549199519646139,0.0878983831593081,-0.5297456981041293,0.1563386139790202,0.1316927349669153,-0.6093209118598597,-0.3814557863095002,0.3891239986485691,0.6194017794764383,2016,0.0,1.0,4.0,26000000.0,155270000.0,0.0418625619887937,0,0.0389221556886227,3
6,6,6,Frank Gore,IND,RB,-0.9846668365472334,2.436366803655401,0.8914484948394161,1.966372950183308,1.712394869268713,1.4142404188624464,0.125951140434429,1.1571113445242882,-0.5137148361164333,-0.1135138335702772,1.019222041500112,0.5592667227744376,-1.0092948360797027,0.7637752172522758,0.9069617752144384,0.4319999607232814,0.6487459380848862,-0.1635794317186149,2.6838128733065147,0.7640786405011128,1.3708174017070551,-0.0035418364559839,0.5473840735706286,0.6194017794764383,2016,0.0,1.0,3.0,12000000.0,155270000.0,0.0257615766084884,0,0.0239520958083832,1
7,7,7,Le'Veon Bell,PIT,RB,-0.9686316393164176,-0.614679698169941,-0.0888755296969811,1.1666413816171357,1.689692664562499,2.030277026413028,0.8900547257366316,2.0731368543260302,0.5688715869415663,0.8341704650439641,2.611877436655245,2.013360201987976,-1.77080034539366,2.718885388758804,2.9401196835496166,0.3714370966986138,2.785007973138492,0.1110452680705207,0.9988300337548516,3.040667900424224,0.3507461492634929,0.2369488589053442,3.6334555345507904,2.084815745554841,2016,1.0,0.0,4.0,4120600.0,155270000.0,0.0066345720358085,1,0.0725748502994012,0
8,8,8,Jay Ajayi,MIA,RB,-0.952596442085602,-0.9536848650394232,0.6463674887053168,1.1666413816171357,1.678341562209392,2.0404175467019265,1.144755920837366,1.7525279258954205,1.4546241148981114,0.8341704650439641,1.8117212405316323,2.013360201987976,-0.5891538654237264,0.2645981521867794,0.3025094240877641,0.2227827940926126,-0.1452629598996399,-0.6823149757647603,-0.6861528057968111,0.0052155538600758,-0.6693251031800693,-0.5532348544247349,0.0726038488044499,2.084815745554841,2016,1.0,0.0,4.0,2500813.0,155270000.0,0.0040265553551877,0,0.0037437320359281,2
9,9,9,Melvin Gordon,SDG,RB,-0.9365612448547864,-0.9536848650394232,0.1562054764371181,0.9667084894755924,1.61023494809075,1.343256776840157,1.6541583110388345,1.7067266504053331,0.7657054820430208,-0.1135138335702772,1.5016128583019073,0.5592667227744376,-1.1055771418550306,1.179756104806856,1.0718124164308045,-0.0635143812967221,1.543581362797606,0.7213223787130447,0.9988300337548516,1.6494189082489894,0.5307587232241215,0.5117953678897199,1.180424373258867,0.6194017794764383,2016,1.0,0.0,4.0,10669773.0,155270000.0,0.0171793859084175,0,0.0159727140718562,2
