Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,-9999
6,207,CIN,Brandon Wilson,RB,23,2021,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,36,,,WilsBr01
6,208,ARI,Rudy Ford,S,22,2022,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,98,4,0.5,FordRu00
6,209,WAS,Robert Davis,WR,22,2019,0,0,0,7,0,0,0,0,0,0,0,0,2,17,0,1,,,DaviRo00
6,210,SEA,Justin Senior,T,23,,0,0,0,,,,,,,,,,,,,,,,SeniJu00
6,211,NWE,Conor McDermott,T,24,2022,0,0,0,49,0,0,0,0,0,0,0,0,1,1,1,,,,McDeCo00
6,212,GNB,Kofi Amichia,C,23,,0,0,0,,,,,,,,,,,,,,,,AmicKo00
6,213,PIT,Colin Holba,LS,23,2020,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,,,,HolbCo00
6,214,PHI,Elijah Qualls,DT,22,2017,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,,,QualEl00
6,215,DET,Brad Kaaya,QB,22,,0,0,0,,,,,,,,,,,,,,,,KaayBr00
6,216,DAL,Marquez White,CB,22,,0,0,0,,,,,,,,,,,,,,,,WhitMa03
6,217,TEN,Corey Levin,OL,23,2022,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,1,,,LeviCo00
6,218,KAN,Leon McQuay,S,22,2017,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,,,McQuLe01
7,219,MIN,Stacy Coley,WR,23,2018,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,,,,ColeSt00
7,220,MIN,Ifeadi Odenigbo,DL,23,2022,0,0,1,55,0,0,0,0,0,0,0,0,0,0,0,50,,14,OdenIf00
7,221,OAK,Shalom Luani,S,23,2019,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,21,,,LuanSh00
7,222,JAX,Jalen Myrick,CB,22,2017,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,,,,MyriJa00
7,223,TAM,Stevie Tu'ikolovatu,NT,26,,0,0,0,,,,,,,,,,,,,,,,TuikSt00
7,224,CLE,Zane Gonzalez,K,22,2021,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,1,,,GonzZa00
7,225,LAC,Isaac Rochell,DT,22,2022,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,63,1,9.5,RochIs00
7,226,SEA,David Moore,WR,22,2021,0,0,2,50,0,0,0,0,0,12,91,0,78,1163,13,,,,MoorDa03
7,227,TEN,Josh Carraway,OLB,23,2017,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,CarrJo00
7,228,DAL,Joey Ivie,DT,22,2019,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,,,,IvieJo00
7,229,SFO,Adrian Colbert,DB,23,2022,0,0,1,41,0,0,0,0,0,0,0,0,0,0,0,84,,,ColbAd00
7,230,WAS,Josh Harvey-Clemons,S,23,2019,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,29,,1.5,HarvJo01
7,231,OAK,Jylan Ware,T,23,2017,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,WareJy00
7,232,MIN,Elijah Lee,LB,21,2022,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,82,,1,LeexEl00
7,233,CAR,Harrison Butker,K,22,2022,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,2,,,ButkHa00
7,234,LAR,Ejuan Price,DE,24,2017,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,PricEj00
7,235,WAS,Joshua Holsey,DB,23,2018,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,4,,,HolsJo01
7,236,TEN,Brad Seaton,T,23,,0,0,0,,,,,,,,,,,,,,,,SeatBr00
7,237,MIA,Isaiah Ford,WR,21,2021,0,0,0,32,0,0,0,0,0,1,11,0,63,681,2,1,,,FordIs00
7,238,GNB,Devante Mays,RB,23,2017,0,0,0,8,0,0,0,0,0,4,1,0,3,0,0,,,,MaysDe00
7,239,DAL,Noah Brown,WR,21,2022,0,0,0,66,0,0,0,0,0,1,4,0,82,980,3,9,,,BrowNo00
7,240,JAX,Marquez Williams,FB,23,2017,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,WillMa09
7,241,TEN,Khalfani Muhammad,RB,22,,0,0,0,,,,,,,,,,,,,,,,MuhaKh00
7,242,OAK,Elijah Hood,RB,21,2017,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,HoodEl00
7,243,HOU,Kyle Fuller,C,23,2022,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,,,,FullKy01
7,244,OAK,Treyvon Hester,DT,24,2019,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,19,,2,HestTr00
7,245,MIN,Jack Tocho,CB,21,,0,0,0,,,,,,,,,,,,,,,,TochJa00
7,246,DAL,Jordan Carrell,DT,23,,0,0,0,,,,,,,,,,,,,,,,CarrJo01
7,247,GNB,Malachi Dupre,WR,21,2018,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,DuprMa01
7,248,PIT,Keion Adams,OLB,22,,0,0,0,,,,,,,,,,,,,,,,AdamKe02
7,249,SEA,Chris Carson,RB,22,2021,0,0,3,49,0,0,0,0,0,769,3502,24,107,804,7,,,,CarsCh00
7,250,DET,Pat O'Connor,DE,23,2022,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,12,,1.5,OConPa00
7,251,CIN,Mason Schreck,TE,23,2022,0,0,0,26,0,0,0,0,0,0,0,0,2,6,0,1,,,SchrMa00
7,252,CLE,Matthew Dayes,RB,23,2018,0,0,0,23,0,0,0,0,0,5,13,0,4,29,0,9,,,DayeMa00
7,253,DEN,Chad Kelly,QB,23,2018,0,0,0,1,0,0,0,0,0,1,-1,0,0,0,0,,,,KellCh00
