Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk
7,230,JAX,Leon Jacobs,OLB,22,2020,0,0,1,29,0,0,0,0,0,0,0,0,0,0,0,50,,2
7,231,LAR,Travin Howard,OLB,22,2022,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,35,1,
7,232,GNB,James Looney,DE,23,2018,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,,
7,233,PHI,Jordan Mailata,T,21,2022,0,0,2,45,0,0,0,0,0,0,0,0,0,0,0,1,,
7,234,CAR,Andre Smith,ILB,21,2022,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,22,,
7,235,IND,Zaire Franklin,LB,22,2022,0,0,1,82,0,0,0,0,0,0,0,0,0,0,0,155,1,3
7,236,DAL,Bo Scarbrough,RB,23,2020,0,0,0,7,0,0,0,0,0,95,408,1,1,5,0,,,
7,237,DET,Nick Bawden,RB,22,2021,0,0,0,19,0,0,0,0,0,0,0,0,5,37,0,1,,
7,238,BAL,Zach Sieler,DE,23,2022,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,110,,10
7,239,GNB,Hunter Bradley,LS,24,2022,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,1,,
7,240,SFO,Richie James,WR,23,2022,0,0,1,57,0,0,0,0,0,4,5,0,95,1258,7,2,,
7,241,WAS,Greg Stroman,CB,22,2022,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,35,2,
7,242,CAR,Kendrick Norton,DT,21,,0,0,0,,,,,,,,,,,,,,,
7,243,NWE,Keion Crossen,CB,22,2022,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,85,,1
7,244,LAR,Justin Lawler,DE,23,2021,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,4,,
7,245,NOR,Will Clapp,C,22,2022,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,,,
7,246,PIT,Joshua Frazier,DT,22,,0,0,0,,,,,,,,,,,,,,,
7,247,JAX,Logan Cooke,P,23,2022,0,0,0,78,3,3,20,0,0,0,0,0,0,0,0,2,,
7,248,GNB,Kendall Donnerson,OLB,22,,0,0,0,,,,,,,,,,,,,,,
7,249,CIN,Logan Woodside,QB,23,2022,0,0,0,12,1,3,7,0,0,13,4,0,0,0,0,,,
7,250,NWE,Ryan Izzo,TE,22,2021,0,0,1,19,0,0,0,0,0,0,0,0,19,313,1,,,
7,251,LAC,Justin Jackson,RB,22,2022,0,0,0,59,0,0,0,0,0,248,1210,5,77,609,1,10,,
7,252,CIN,Rod Taylor,G,23,,0,0,0,,,,,,,,,,,,,,,
7,253,CIN,Auden Tate,WR,21,2021,0,0,1,35,0,0,0,0,0,0,0,0,61,799,2,,,
7,254,ARI,Korey Cunningham,T,23,2022,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,,,
7,255,BUF,Austin Proehl,WR,22,,0,0,0,,,,,,,,,,,,,,,
7,256,WAS,Trey Quinn,WR,22,2020,0,0,0,16,0,0,0,0,0,1,0,0,35,273,2,,,
