Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk
2,53,TAM,M.J. Stewart,CB,22,2022,0,0,0,67,0,0,0,0,0,1,3,0,0,0,0,141,2,1
2,54,CIN,Jessie Bates III,S,21,2022,0,0,4,79,0,0,0,0,0,0,0,0,0,0,0,327,14,
2,55,CAR,Donte Jackson,CB,22,2022,0,0,4,64,0,0,0,0,0,0,0,0,0,0,0,199,14,1
2,56,NWE,Duke Dawson,CB,22,2020,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,17,,
2,57,OAK,P.J. Hall,DT,23,2020,0,0,2,40,0,0,0,0,0,0,0,0,0,0,0,52,,2.5
2,58,ATL,Isaiah Oliver,CB,21,2022,0,0,2,62,0,0,0,0,0,0,0,0,0,0,0,153,2,2
2,59,WAS,Derrius Guice,RB,21,2019,0,0,0,5,0,0,0,0,0,42,245,2,7,79,1,,,
2,60,PIT,James Washington,WR,22,2022,0,0,2,62,0,0,0,0,0,2,13,0,114,1629,11,1,,
2,61,JAX,DJ Chark,WR,21,2022,0,1,2,54,0,0,0,0,0,2,20,0,177,2544,18,6,,
2,62,MIN,Brian O'Neill,T,22,2022,0,1,4,79,0,0,0,0,0,0,0,0,0,0,0,1,,
2,63,TAM,Carlton Davis,CB,21,2022,0,0,3,64,0,0,0,0,0,0,0,0,0,0,0,228,7,
2,64,IND,Tyquan Lewis,DE,23,2022,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,49,1,9.5
3,65,OAK,Brandon Parker,T,22,2021,0,0,2,54,0,0,0,0,0,0,0,0,0,0,0,2,,
3,66,NYG,Lorenzo Carter,DE,22,2022,0,0,3,66,0,0,0,0,0,0,0,0,0,0,0,123,2,18.5
3,67,CLE,Chad Thomas,DE,22,2019,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,17,,4
3,68,HOU,Justin Reid,S,21,2022,0,0,4,74,0,0,0,0,0,0,0,0,0,0,0,289,7,3
3,69,NYG,B.J. Hill,DT,23,2022,0,0,2,80,0,0,0,0,0,0,0,0,0,0,0,121,,16
3,70,SFO,Fred Warner,OLB,21,2022,2,2,4,81,0,0,0,0,0,0,0,0,0,0,0,411,4,6.5
3,71,DEN,Royce Freeman,RB,22,2022,0,0,0,65,0,0,0,0,0,394,1473,8,85,519,1,4,,
3,72,NYJ,Nathan Shepherd,DT,24,2022,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,52,,6
3,73,MIA,Jerome Baker,OLB,21,2022,0,0,4,81,0,0,0,0,0,0,0,0,0,0,0,331,3,21
3,74,WAS,Geron Christian,T,21,2022,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,1,,
3,75,KAN,Derrick Nnadi,DT,22,2022,0,0,3,81,0,0,0,0,0,0,0,0,0,0,0,90,1,4
3,76,PIT,Mason Rudolph,QB,23,2021,0,0,1,17,236,384,2366,16,11,33,89,0,0,0,0,,,
3,77,CIN,Sam Hubbard,DE,23,2022,0,0,3,75,0,0,0,0,0,0,0,0,0,0,0,173,,30.5
3,78,CIN,Malik Jefferson,OLB,21,2021,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,9,,
3,79,SEA,Rasheem Green,DT,21,2022,0,0,2,69,0,0,0,0,0,0,0,0,0,0,0,83,,17
3,80,HOU,Martinas Rankin,T,23,2020,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,,,
3,81,DAL,Michael Gallup,WR,22,2022,0,0,3,69,0,0,0,0,0,0,0,0,232,3326,19,1,,
3,82,DET,Tracy Walker,S,23,2022,0,0,2,62,0,0,0,0,0,0,0,0,0,0,0,249,3,3
3,83,BAL,Orlando Brown Jr.,T,22,2022,0,4,4,81,0,0,0,0,0,0,0,0,0,0,0,,,
3,84,LAC,Justin Jones,DT,22,2022,0,0,3,68,0,0,0,0,0,0,0,0,0,0,0,91,,7.5
3,85,CAR,Rashaan Gaulden,CB,23,2020,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,14,,
3,86,BAL,Mark Andrews,TE,23,2022,1,3,0,77,0,0,0,0,0,4,8,0,336,4313,34,5,,
3,87,OAK,Arden Key,DE,22,2022,0,0,1,71,0,0,0,0,0,0,0,0,0,0,0,61,,14
3,88,GNB,Oren Burks,ILB,23,2022,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,78,,1
3,89,LAR,Joseph Noteboom,T,23,2022,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,,,
3,90,ATL,Deadrin Senat,DT,24,2022,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,27,,1
3,91,NOR,Tre'Quan Smith,WR,22,2022,0,0,3,66,0,0,0,0,0,1,3,0,131,1764,18,5,,
3,92,PIT,Chukwuma Okorafor,T,21,2022,0,0,2,63,0,0,0,0,0,0,0,0,0,0,0,,,
3,93,JAX,Ronnie Harrison,S,21,2022,0,0,3,67,0,0,0,0,0,0,0,0,0,0,0,148,5,5.5
3,94,TAM,Alex Cappa,T,23,2022,0,0,3,68,0,0,0,0,0,0,0,0,0,0,0,,,
3,95,SFO,Tarvarius Moore,S,22,2022,0,0,1,61,0,0,0,0,0,0,0,0,0,0,0,80,,
3,96,BUF,Harrison Phillips,DT,22,2022,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,88,,3
3,97,ARI,Mason Cole,C,22,2022,0,0,2,77,0,0,0,0,0,0,0,0,0,0,0,,,
3,98,HOU,Jordan Akins,TE,26,2022,0,0,1,73,0,0,0,0,0,2,7,0,151,1755,8,1,,
3,99,DEN,Isaac Yiadom,CB,22,2022,0,0,2,70,0,0,0,0,0,0,0,0,0,0,0,88,1,0.5
3,100,KAN,Dorian O'Daniel,OLB,24,2021,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,37,,1
4,101,CAR,Ian Thomas,TE,22,2022,0,0,1,82,0,0,0,0,0,0,0,0,111,999,4,2,,
4,102,MIN,Jalyn Holmes,DE,22,2022,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,29,,1
4,103,HOU,Keke Coutee,WR,21,2022,0,0,0,33,0,0,0,0,0,5,14,1,85,966,4,,,
